lding","Nitrous oxide","kg/2021 USD, purchaser price","1.16e-05","6.23e-06","1.78e-05","336612"
336612,"Boat Building","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.77e-10","8.07e-11","7.58e-10","336612"
336612,"Boat Building","Perfluoropropane","kg/2021 USD, purchaser price","7.90e-10","9.42e-11","8.84e-10","336612"
336612,"Boat Building","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.45e-08","4.11e-09","1.86e-08","336612"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.48e-01","5.37e-02","2.02e-01","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","5.40e-07","6.97e-09","5.47e-07","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","8.78e-08","1.73e-09","8.95e-08","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.86e-08","1.35e-07","2.24e-07","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.71e-07","3.47e-07","6.18e-07","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.30e-08","5.05e-08","8.35e-08","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.27e-08","2.94e-09","1.56e-08","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","5.96e-10","9.10e-10","1.51e-09","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.35e-08","8.17e-08","1.35e-07","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.93e-08","1.36e-07","2.26e-07","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Methane","kg/2021 USD, purchaser price","3.65e-04","1.97e-04","5.61e-04","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.66e-09","4.77e-10","3.13e-09","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","8.29e-06","8.16e-06","1.64e-05","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.40e-10","1.33e-10","8.73e-10","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.63e-10","1.55e-10","1.02e-09","336991"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.21e-08","4.91e-09","3.70e-08","336991"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.39e-01","1.38e-02","3.53e-01","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.44e-07","1.40e-09","9.45e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.52e-07","3.46e-10","1.53e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.71e-07","2.92e-08","2.00e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.40e-07","7.48e-08","6.15e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.36e-08","1.09e-08","7.44e-08","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.41e-08","7.70e-10","3.49e-08","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.15e-09","1.96e-10","1.34e-09","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.03e-07","1.76e-08","1.21e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.72e-07","2.94e-08","2.01e-07","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Methane","kg/2021 USD, purchaser price","8.31e-04","5.64e-05","8.88e-04","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.85e-09","9.58e-11","3.94e-09","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.36e-05","1.46e-06","2.51e-05","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.07e-09","2.67e-11","1.10e-09","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.25e-09","3.11e-11","1.28e-09","336992"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.15e-08","6.30e-10","7.21e-08","336992"
336999,"All Other Transportation Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.13e-01","4.58e-02","2.59e-01","336999"
336999,"All Other Transportation Equipment Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.55e-07","4.87e-09","2.60e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.59e-08","1.18e-09","4.70e-08","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.65e-07","1.06e-07","2.72e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.57e-07","2.72e-07","7.29e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.17e-08","3.96e-08","1.01e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.13e-08","1.84e-09","2.32e-08","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.11e-09","7.14e-10","1.83e-09","336999"
336999,"All Other Transportation Equipment Manufacturing","HFC-32","kg/2021 USD, purchaser price","9.99e-08","6.42e-08","1.64e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.67e-07","1.07e-07","2.74e-07","336999"
336999,"All Other Transportation Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","5.49e-04","1.60e-04","7.09e-04","336999"
336999,"All Other Transportation Equipment Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.42e-09","3.15e-10","4.74e-09","336999"
336999,"All Other Transportation Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.86e-05","6.46e-06","2.51e-05","336999"
336999,"All Other Transportation Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.23e-09","8.76e-11","1.32e-09","336999"
336999,"All Other Transportation Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.44e-09","1.02e-10","1.54e-09","336999"
336999,"All Other Transportation Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.94e-08","4.17e-09","3.36e-08","336999"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.07e-01","6.46e-02","1.72e-01","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.06e-08","6.48e-09","4.71e-08","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.05e-08","1.57e-09","1.21e-08","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.07e-07","1.44e-07","2.52e-07","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.78e-07","3.70e-07","6.49e-07","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.01e-08","5.39e-08","9.39e-08","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-23","kg/2021 USD, purchaser price","9.10e-09","2.60e-09","1.17e-08","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.22e-10","9.71e-10","1.69e-09","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.49e-08","8.72e-08","1.52e-07","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.08e-07","1.45e-07","2.54e-07","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Methane","kg/2021 USD, purchaser price","3.61e-04","2.31e-04","5.93e-04","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.04e-09","4.18e-10","3.46e-09","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.31e-05","8.52e-06","2.16e-05","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.46e-10","1.16e-10","9.62e-10","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.86e-10","1.36e-10","1.12e-09","337110"
337110,"Wood Kitchen Cabinet and Countertop Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","9.55e-09","5.29e-09","1.48e-08","337110"
