her Motor Vehicle Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","4.80e-04","0.00e+00","4.80e-04","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","3.02e-09","0.00e+00","3.02e-09","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.15e-06","0.00e+00","1.15e-06","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-09","0.00e+00","1.47e-09","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.54e-09","0.00e+00","4.54e-09","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.71e-07","0.00e+00","2.71e-07","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","423100"
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.28e-01","0.00e+00","1.28e-01","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","4.80e-04","0.00e+00","4.80e-04","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","3.02e-09","0.00e+00","3.02e-09","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.15e-06","0.00e+00","1.15e-06","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.73e-08","0.00e+00","4.73e-08","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.54e-09","0.00e+00","4.54e-09","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.71e-07","0.00e+00","2.71e-07","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","1.36e-08","0.00e+00","1.36e-08","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.29e-05","0.00e+00","1.29e-05","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.52e-07","0.00e+00","4.52e-07","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","9.64e-09","0.00e+00","9.64e-09","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.49e-07","0.00e+00","4.49e-07","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-09","0.00e+00","1.26e-09","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-09","0.00e+00","1.47e-09","423100"
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","423100"
423130,"Tire and Tube Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.28e-01","0.00e+00","1.28e-01","423100"
423130,"Tire and Tube Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","4.80e-04","0.00e+00","4.80e-04","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","3.02e-09","0.00e+00","3.02e-09","423100"
423130,"Tire and Tube Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.73e-08","0.00e+00","4.73e-08","423100"
423130,"Tire and Tube Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.54e-09","0.00e+00","4.54e-09","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.71e-07","0.00e+00","2.71e-07","423100"
423130,"Tire and Tube Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","1.36e-08","0.00e+00","1.36e-08","423100"
423130,"Tire and Tube Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.29e-05","0.00e+00","1.29e-05","423100"
423130,"Tire and Tube Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.52e-07","0.00e+00","4.52e-07","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","9.64e-09","0.00e+00","9.64e-09","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.49e-07","0.00e+00","4.49e-07","423100"
423130,"Tire and Tube Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-09","0.00e+00","1.26e-09","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.15e-06","0.00e+00","1.15e-06","423100"
423130,"Tire and Tube Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-09","0.00e+00","1.47e-09","423100"
423130,"Tire and Tube Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","423100"
423130,"Tire and Tube Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","423100"
