nt Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.14e-08","0.00e+00","1.14e-08","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","9.38e-02","0.00e+00","9.38e-02","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.46e-07","0.00e+00","3.46e-07","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","1.03e-09","0.00e+00","1.03e-09","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.88e-08","0.00e+00","2.88e-08","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","3.18e-04","0.00e+00","3.18e-04","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.14e-08","0.00e+00","1.14e-08","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.16e-09","0.00e+00","3.16e-09","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.31e-09","0.00e+00","2.31e-09","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","3.44e-07","0.00e+00","3.44e-07","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.01e-05","0.00e+00","1.01e-05","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.08e-07","0.00e+00","2.08e-07","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","8.82e-07","0.00e+00","8.82e-07","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.80e-10","0.00e+00","8.80e-10","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","6.49e-09","0.00e+00","6.49e-09","423600"
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.28e-07","0.00e+00","1.28e-07","423600"
423710,"Hardware Merchant Wholesalers","HFC-32","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","423A00"
423710,"Hardware Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.87e-09","0.00e+00","1.87e-09","423A00"
423710,"Hardware Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","423A00"
423710,"Hardware Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.78e-08","0.00e+00","3.78e-08","423A00"
423710,"Hardware Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.30e-05","0.00e+00","1.30e-05","423A00"
423710,"Hardware Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.17e-07","0.00e+00","4.17e-07","423A00"
423710,"Hardware Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.26e-01","0.00e+00","1.26e-01","423A00"
423710,"Hardware Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.22e-10","0.00e+00","5.22e-10","423A00"
423710,"Hardware Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","8.43e-09","0.00e+00","8.43e-09","423A00"
423710,"Hardware Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","7.28e-09","0.00e+00","7.28e-09","423A00"
423710,"Hardware Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.55e-07","0.00e+00","1.55e-07","423A00"
423710,"Hardware Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","423A00"
423710,"Hardware Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.15e-07","0.00e+00","4.15e-07","423A00"
423710,"Hardware Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.79e-09","0.00e+00","2.79e-09","423A00"
423710,"Hardware Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","5.11e-04","0.00e+00","5.11e-04","423A00"
423710,"Hardware Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.64e-08","0.00e+00","1.64e-08","423A00"
423720,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","1.30e-05","0.00e+00","1.30e-05","423A00"
423720,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","423A00"
423720,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.26e-01","0.00e+00","1.26e-01","423A00"
