Beverage Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.19e-07","0.00e+00","4.19e-07","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.56e-07","0.00e+00","1.56e-07","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.82e-09","0.00e+00","2.82e-09","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.22e-07","0.00e+00","4.22e-07","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.11e-09","0.00e+00","2.11e-09","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.89e-10","0.00e+00","5.89e-10","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.11e-08","0.00e+00","1.11e-08","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Nitrous oxide","kg/2021 USD, purchaser price","6.23e-05","0.00e+00","6.23e-05","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Perfluoropropane","kg/2021 USD, purchaser price","6.87e-10","0.00e+00","6.87e-10","424A00"
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers","Methane","kg/2021 USD, purchaser price","5.96e-04","0.00e+00","5.96e-04","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFC-23","kg/2021 USD, purchaser price","4.86e-08","0.00e+00","4.86e-08","424A00"
424910,"Farm Supplies Merchant Wholesalers","Hexafluoroethane","kg/2021 USD, purchaser price","6.88e-09","0.00e+00","6.88e-09","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFC-134a","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","424A00"
424910,"Farm Supplies Merchant Wholesalers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.57e-08","0.00e+00","2.57e-08","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFC-125","kg/2021 USD, purchaser price","4.19e-07","0.00e+00","4.19e-07","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFC-143a","kg/2021 USD, purchaser price","1.56e-07","0.00e+00","1.56e-07","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFC-236fa","kg/2021 USD, purchaser price","2.82e-09","0.00e+00","2.82e-09","424A00"
424910,"Farm Supplies Merchant Wholesalers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.22e-07","0.00e+00","4.22e-07","424A00"
424910,"Farm Supplies Merchant Wholesalers","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.11e-09","0.00e+00","2.11e-09","424A00"
424910,"Farm Supplies Merchant Wholesalers","Carbon dioxide","kg/2021 USD, purchaser price","1.48e-01","0.00e+00","1.48e-01","424A00"
