 Coal and Lignite Surface Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","2.70e-10","9.62e-10","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-236fa","kg/2021 USD, purchaser price","9.05e-10","2.27e-09","3.17e-09","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-125","kg/2021 USD, purchaser price","1.35e-07","3.37e-07","4.72e-07","212100"
212111,"Bituminous Coal and Lignite Surface Mining","Nitrous oxide","kg/2021 USD, purchaser price","5.77e-05","1.30e-05","7.07e-05","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-32","kg/2021 USD, purchaser price","8.13e-08","2.04e-07","2.85e-07","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-134a","kg/2021 USD, purchaser price","3.49e-07","8.63e-07","1.21e-06","212100"
212111,"Bituminous Coal and Lignite Surface Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.93e-10","7.50e-11","2.68e-10","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-23","kg/2021 USD, purchaser price","2.09e-08","5.31e-09","2.62e-08","212100"
212111,"Bituminous Coal and Lignite Surface Mining","HFC-143a","kg/2021 USD, purchaser price","5.02e-08","1.26e-07","1.76e-07","212100"
212112,"Bituminous Coal Underground Mining","HFC-143a","kg/2021 USD, purchaser price","5.02e-08","1.26e-07","1.76e-07","212100"
212112,"Bituminous Coal Underground Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.85e-08","7.14e-09","2.56e-08","212100"
212112,"Bituminous Coal Underground Mining","Carbon dioxide","kg/2021 USD, purchaser price","5.88e-01","2.39e-01","8.28e-01","212100"
212112,"Bituminous Coal Underground Mining","HFC-23","kg/2021 USD, purchaser price","2.09e-08","5.31e-09","2.62e-08","212100"
212112,"Bituminous Coal Underground Mining","Hexafluoroethane","kg/2021 USD, purchaser price","3.82e-09","1.44e-09","5.26e-09","212100"
212112,"Bituminous Coal Underground Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","2.70e-10","9.62e-10","212100"
212112,"Bituminous Coal Underground Mining","HFC-236fa","kg/2021 USD, purchaser price","9.05e-10","2.27e-09","3.17e-09","212100"
212112,"Bituminous Coal Underground Mining","HFC-125","kg/2021 USD, purchaser price","1.35e-07","3.37e-07","4.72e-07","212100"
212112,"Bituminous Coal Underground Mining","Nitrous oxide","kg/2021 USD, purchaser price","5.77e-05","1.30e-05","7.07e-05","212100"
212112,"Bituminous Coal Underground Mining","HFC-32","kg/2021 USD, purchaser price","8.13e-08","2.04e-07","2.85e-07","212100"
212112,"Bituminous Coal Underground Mining","HFC-134a","kg/2021 USD, purchaser price","3.49e-07","8.63e-07","1.21e-06","212100"
212112,"Bituminous Coal Underground Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.93e-10","7.50e-11","2.68e-10","212100"
212112,"Bituminous Coal Underground Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.36e-07","3.40e-07","4.75e-07","212100"
212112,"Bituminous Coal Underground Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.23e-08","4.54e-09","1.69e-08","212100"
212112,"Bituminous Coal Underground Mining","Perfluoropropane","kg/2021 USD, purchaser price","2.25e-10","8.75e-11","3.12e-10","212100"
212112,"Bituminous Coal Underground Mining","Methane","kg/2021 USD, purchaser price","4.55e-02","9.39e-04","4.65e-02","212100"
212113,"Anthracite Mining","Methane","kg/2021 USD, purchaser price","4.55e-02","9.39e-04","4.65e-02","212100"
212113,"Anthracite Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.36e-07","3.40e-07","4.75e-07","212100"
212113,"Anthracite Mining","Hexafluoroethane","kg/2021 USD, purchaser price","3.82e-09","1.44e-09","5.26e-09","212100"
212113,"Anthracite Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","2.70e-10","9.62e-10","212100"
212113,"Anthracite Mining","HFC-236fa","kg/2021 USD, purchaser price","9.05e-10","2.27e-09","3.17e-09","212100"
212113,"Anthracite Mining","HFC-125","kg/2021 USD, purchaser price","1.35e-07","3.37e-07","4.72e-07","212100"
212113,"Anthracite Mining","Nitrous oxide","kg/2021 USD, purchaser price","5.77e-05","1.30e-05","7.07e-05","212100"
212113,"Anthracite Mining","HFC-32","kg/2021 USD, purchaser price","8.13e-08","2.04e-07","2.85e-07","212100"
212113,"Anthracite Mining","HFC-134a","kg/2021 USD, purchaser price","3.49e-07","8.63e-07","1.21e-06","212100"
212113,"Anthracite Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.93e-10","7.50e-11","2.68e-10","212100"
212113,"Anthracite Mining","Carbon dioxide","kg/2021 USD, purchaser price","5.88e-01","2.39e-01","8.28e-01","212100"
212113,"Anthracite Mining","HFC-143a","kg/2021 USD, purchaser price","5.02e-08","1.26e-07","1.76e-07","212100"
212113,"Anthracite Mining","Perfluoropropane","kg/2021 USD, purchaser price","2.25e-10","8.75e-11","3.12e-10","212100"
212113,"Anthracite Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.85e-08","7.14e-09","2.56e-08","212100"
212113,"Anthracite Mining","HFC-23","kg/2021 USD, purchaser price","2.09e-08","5.31e-09","2.62e-08","212100"
212113,"Anthracite Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.23e-08","4.54e-09","1.69e-08","212100"
212210,"Iron Ore Mining","HFC-32","kg/2021 USD, purchaser price","9.10e-08","9.35e-08","1.84e-07","2122A0"
212210,"Iron Ore Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.52e-07","1.56e-07","3.08e-07","2122A0"
212210,"Iron Ore Mining","Carbon dioxide","kg/2021 USD, purchaser price","1.05e+00","1.07e-01","1.15e+00","2122A0"
