cts","Methane","kg/2021 USD, purchaser price","2.31e-02","0.00e+00","2.31e-02","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-236fa","kg/2021 USD, purchaser price","9.55e-10","0.00e+00","9.55e-10","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-134a","kg/2021 USD, purchaser price","3.65e-07","0.00e+00","3.65e-07","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.33e-08","0.00e+00","1.33e-08","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.56e-10","0.00e+00","3.56e-10","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-32","kg/2021 USD, purchaser price","8.58e-08","0.00e+00","8.58e-08","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-143a","kg/2021 USD, purchaser price","5.30e-08","0.00e+00","5.30e-08","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Hexafluoroethane","kg/2021 USD, purchaser price","2.54e-09","0.00e+00","2.54e-09","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Nitrous oxide","kg/2021 USD, purchaser price","9.35e-06","0.00e+00","9.35e-06","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.43e-07","0.00e+00","1.43e-07","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-23","kg/2021 USD, purchaser price","4.79e-09","0.00e+00","4.79e-09","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","HFC-125","kg/2021 USD, purchaser price","1.42e-07","0.00e+00","1.42e-07","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.90e-11","0.00e+00","9.90e-11","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Perfluoropropane","kg/2021 USD, purchaser price","1.16e-10","0.00e+00","1.16e-10","486000"
486910,"Pipeline Transportation of Refined Petroleum Products","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.43e-08","0.00e+00","1.43e-08","486000"
486990,"All Other Pipeline Transportation","Carbon dioxide","kg/2021 USD, purchaser price","9.75e-01","0.00e+00","9.75e-01","486000"
486990,"All Other Pipeline Transportation","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.33e-08","0.00e+00","1.33e-08","486000"
486990,"All Other Pipeline Transportation","Hexafluoroethane","kg/2021 USD, purchaser price","2.54e-09","0.00e+00","2.54e-09","486000"
486990,"All Other Pipeline Transportation","Nitrous oxide","kg/2021 USD, purchaser price","9.35e-06","0.00e+00","9.35e-06","486000"
486990,"All Other Pipeline Transportation","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.43e-07","0.00e+00","1.43e-07","486000"
486990,"All Other Pipeline Transportation","HFC-23","kg/2021 USD, purchaser price","4.79e-09","0.00e+00","4.79e-09","486000"
486990,"All Other Pipeline Transportation","HFC-125","kg/2021 USD, purchaser price","1.42e-07","0.00e+00","1.42e-07","486000"
486990,"All Other Pipeline Transportation","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.90e-11","0.00e+00","9.90e-11","486000"
486990,"All Other Pipeline Transportation","Methane","kg/2021 USD, purchaser price","2.31e-02","0.00e+00","2.31e-02","486000"
486990,"All Other Pipeline Transportation","HFC-236fa","kg/2021 USD, purchaser price","9.55e-10","0.00e+00","9.55e-10","486000"
486990,"All Other Pipeline Transportation","HFC-134a","kg/2021 USD, purchaser price","3.65e-07","0.00e+00","3.65e-07","486000"
486990,"All Other Pipeline Transportation","Perfluoropropane","kg/2021 USD, purchaser price","1.16e-10","0.00e+00","1.16e-10","486000"
486990,"All Other Pipeline Transportation","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.56e-10","0.00e+00","3.56e-10","486000"
486990,"All Other Pipeline Transportation","HFC-32","kg/2021 USD, purchaser price","8.58e-08","0.00e+00","8.58e-08","486000"
486990,"All Other Pipeline Transportation","HFC-143a","kg/2021 USD, purchaser price","5.30e-08","0.00e+00","5.30e-08","486000"
486990,"All Other Pipeline Transportation","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.43e-08","0.00e+00","1.43e-08","486000"
487110,"Scenic and Sightseeing Transportation, Land","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-23","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.71e-08","0.00e+00","1.71e-08","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
487110,"Scenic and Sightseeing Transportation, Land","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
487110,"Scenic and Sightseeing Transportation, Land","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
487210,"Scenic and Sightseeing Transportation, Water","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
487210,"Scenic and Sightseeing Transportation, Water","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
487210,"Scenic and Sightseeing Transportation, Water","HFC-23","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
487210,"Scenic and Sightseeing Transportation, Water","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
487210,"Scenic and Sightseeing Transportation, Water","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
487210,"Scenic and Sightseeing Transportation, Water","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
