 and Harbor Operations","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488310,"Port and Harbor Operations","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
488310,"Port and Harbor Operations","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488310,"Port and Harbor Operations","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
488310,"Port and Harbor Operations","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488310,"Port and Harbor Operations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488310,"Port and Harbor Operations","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
488310,"Port and Harbor Operations","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
488310,"Port and Harbor Operations","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
488310,"Port and Harbor Operations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488310,"Port and Harbor Operations","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488320,"Marine Cargo Handling","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488320,"Marine Cargo Handling","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
488320,"Marine Cargo Handling","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488320,"Marine Cargo Handling","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
