ties for Road Transportation","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
488490,"Other Support Activities for Road Transportation","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
488490,"Other Support Activities for Road Transportation","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.71e-08","0.00e+00","1.71e-08","48A000"
488490,"Other Support Activities for Road Transportation","HFC-23","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","48A000"
488490,"Other Support Activities for Road Transportation","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
488490,"Other Support Activities for Road Transportation","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488490,"Other Support Activities for Road Transportation","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
488490,"Other Support Activities for Road Transportation","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488490,"Other Support Activities for Road Transportation","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
488490,"Other Support Activities for Road Transportation","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
488490,"Other Support Activities for Road Transportation","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488490,"Other Support Activities for Road Transportation","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488490,"Other Support Activities for Road Transportation","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488510,"Freight Transportation Arrangement","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.78e-10","0.00e+00","1.78e-10","48A000"
488510,"Freight Transportation Arrangement","HFC-23","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","48A000"
488510,"Freight Transportation Arrangement","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
488510,"Freight Transportation Arrangement","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488510,"Freight Transportation Arrangement","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
488510,"Freight Transportation Arrangement","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
488510,"Freight Transportation Arrangement","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488510,"Freight Transportation Arrangement","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488510,"Freight Transportation Arrangement","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
488510,"Freight Transportation Arrangement","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488510,"Freight Transportation Arrangement","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
