nd Quarrying","HFC-143a","kg/2021 USD, purchaser price","3.77e-08","5.57e-08","9.34e-08","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","Hexafluoroethane","kg/2021 USD, purchaser price","2.09e-09","9.82e-10","3.07e-09","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","Nitrous oxide","kg/2021 USD, purchaser price","1.83e-05","6.29e-06","2.46e-05","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.02e-07","1.50e-07","2.52e-07","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","HFC-23","kg/2021 USD, purchaser price","7.04e-09","2.83e-09","9.87e-09","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","HFC-125","kg/2021 USD, purchaser price","1.01e-07","1.49e-07","2.51e-07","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.65e-11","6.44e-11","1.61e-10","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","Perfluoropropane","kg/2021 USD, purchaser price","1.13e-10","7.52e-11","1.88e-10","212310"
212312,"Crushed and Broken Limestone Mining and Quarrying","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.89e-09","2.38e-09","1.13e-08","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Carbon dioxide","kg/2021 USD, purchaser price","1.90e-01","9.54e-02","2.85e-01","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Methane","kg/2021 USD, purchaser price","7.02e-04","3.77e-04","1.08e-03","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.04e-08","4.37e-09","1.48e-08","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.47e-10","2.32e-10","5.78e-10","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Hexafluoroethane","kg/2021 USD, purchaser price","2.09e-09","9.82e-10","3.07e-09","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Nitrous oxide","kg/2021 USD, purchaser price","1.83e-05","6.29e-06","2.46e-05","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.02e-07","1.50e-07","2.52e-07","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-23","kg/2021 USD, purchaser price","7.04e-09","2.83e-09","9.87e-09","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-125","kg/2021 USD, purchaser price","1.01e-07","1.49e-07","2.51e-07","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.65e-11","6.44e-11","1.61e-10","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-236fa","kg/2021 USD, purchaser price","6.80e-10","1.00e-09","1.68e-09","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-134a","kg/2021 USD, purchaser price","2.61e-07","3.82e-07","6.43e-07","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","Perfluoropropane","kg/2021 USD, purchaser price","1.13e-10","7.52e-11","1.88e-10","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-32","kg/2021 USD, purchaser price","6.11e-08","9.02e-08","1.51e-07","212310"
212313,"Crushed and Broken Granite Mining and Quarrying","HFC-143a","kg/2021 USD, purchaser price","3.77e-08","5.57e-08","9.34e-08","212310"
