m Product Warehousing and Storage","HFC-134a","kg/2021 USD, purchaser price","6.41e-07","0.00e+00","6.41e-07","493000"
493130,"Farm Product Warehousing and Storage","Perfluoropropane","kg/2021 USD, purchaser price","3.54e-10","0.00e+00","3.54e-10","493000"
493130,"Farm Product Warehousing and Storage","HFC-143a","kg/2021 USD, purchaser price","9.26e-08","0.00e+00","9.26e-08","493000"
493130,"Farm Product Warehousing and Storage","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.03e-08","0.00e+00","5.03e-08","493000"
493190,"Other Warehousing and Storage","Carbon dioxide","kg/2021 USD, purchaser price","5.21e-01","0.00e+00","5.21e-01","493000"
493190,"Other Warehousing and Storage","Methane","kg/2021 USD, purchaser price","1.31e-03","0.00e+00","1.31e-03","493000"
493190,"Other Warehousing and Storage","HFC-236fa","kg/2021 USD, purchaser price","1.67e-09","0.00e+00","1.67e-09","493000"
493190,"Other Warehousing and Storage","HFC-134a","kg/2021 USD, purchaser price","6.41e-07","0.00e+00","6.41e-07","493000"
493190,"Other Warehousing and Storage","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.75e-08","0.00e+00","2.75e-08","493000"
493190,"Other Warehousing and Storage","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.09e-09","0.00e+00","1.09e-09","493000"
493190,"Other Warehousing and Storage","HFC-32","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","493000"
493190,"Other Warehousing and Storage","HFC-143a","kg/2021 USD, purchaser price","9.26e-08","0.00e+00","9.26e-08","493000"
493190,"Other Warehousing and Storage","Hexafluoroethane","kg/2021 USD, purchaser price","5.76e-09","0.00e+00","5.76e-09","493000"
493190,"Other Warehousing and Storage","Nitrous oxide","kg/2021 USD, purchaser price","3.34e-05","0.00e+00","3.34e-05","493000"
493190,"Other Warehousing and Storage","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","493000"
493190,"Other Warehousing and Storage","HFC-23","kg/2021 USD, purchaser price","1.02e-08","0.00e+00","1.02e-08","493000"
493190,"Other Warehousing and Storage","HFC-125","kg/2021 USD, purchaser price","2.49e-07","0.00e+00","2.49e-07","493000"
493190,"Other Warehousing and Storage","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.04e-10","0.00e+00","3.04e-10","493000"
493190,"Other Warehousing and Storage","Perfluoropropane","kg/2021 USD, purchaser price","3.54e-10","0.00e+00","3.54e-10","493000"
493190,"Other Warehousing and Storage","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.03e-08","0.00e+00","5.03e-08","493000"
511110,"Newspaper Publishers","Carbon dioxide","kg/2021 USD, purchaser price","6.69e-02","4.78e-02","1.15e-01","511110"
511110,"Newspaper Publishers","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.22e-08","4.82e-09","1.70e-08","511110"
511110,"Newspaper Publishers","Hexafluoroethane","kg/2021 USD, purchaser price","3.00e-09","1.18e-09","4.18e-09","511110"
