ution","HFC-23","kg/2021 USD, purchaser price","2.35e-09","5.52e-10","2.90e-09","512100"
512120,"Motion Picture and Video Distribution","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.54e-11","2.44e-11","1.10e-10","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.17e-07","2.21e-08","2.39e-07","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Methane","kg/2021 USD, purchaser price","1.77e-04","3.06e-05","2.08e-04","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.07e-10","8.77e-11","3.94e-10","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Nitrous oxide","kg/2021 USD, purchaser price","6.25e-06","1.32e-06","7.58e-06","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.54e-11","2.44e-11","1.10e-10","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Carbon dioxide","kg/2021 USD, purchaser price","5.27e-02","8.03e-03","6.07e-02","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Perfluoropropane","kg/2021 USD, purchaser price","9.96e-11","2.85e-11","1.28e-10","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.39e-09","1.24e-09","7.62e-09","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-236fa","kg/2021 USD, purchaser price","1.45e-09","1.48e-10","1.59e-09","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Hexafluoroethane","kg/2021 USD, purchaser price","1.39e-09","3.11e-10","1.70e-09","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-32","kg/2021 USD, purchaser price","1.30e-07","1.33e-08","1.43e-07","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-125","kg/2021 USD, purchaser price","2.15e-07","2.20e-08","2.37e-07","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.97e-09","7.54e-10","4.72e-09","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-134a","kg/2021 USD, purchaser price","5.50e-07","5.63e-08","6.07e-07","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-143a","kg/2021 USD, purchaser price","8.02e-08","8.19e-09","8.84e-08","512100"
512131,"Motion Picture Theaters (except Drive-Ins)","HFC-23","kg/2021 USD, purchaser price","2.35e-09","5.52e-10","2.90e-09","512100"
