Stations","HFC-143a","kg/2021 USD, purchaser price","1.66e-06","0.00e+00","1.66e-06","515100"
515112,"Radio Stations","Perfluoropropane","kg/2021 USD, purchaser price","2.10e-10","0.00e+00","2.10e-10","515100"
515112,"Radio Stations","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.17e-08","0.00e+00","3.17e-08","515100"
515112,"Radio Stations","HFC-23","kg/2021 USD, purchaser price","4.43e-09","0.00e+00","4.43e-09","515100"
515112,"Radio Stations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.15e-09","0.00e+00","7.15e-09","515100"
515120,"Television Broadcasting","Carbon dioxide","kg/2021 USD, purchaser price","6.06e-02","0.00e+00","6.06e-02","515100"
515120,"Television Broadcasting","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.48e-06","0.00e+00","4.48e-06","515100"
515120,"Television Broadcasting","Perfluoropropane","kg/2021 USD, purchaser price","2.10e-10","0.00e+00","2.10e-10","515100"
515120,"Television Broadcasting","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.17e-08","0.00e+00","3.17e-08","515100"
515120,"Television Broadcasting","Methane","kg/2021 USD, purchaser price","1.97e-04","0.00e+00","1.97e-04","515100"
515120,"Television Broadcasting","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.15e-09","0.00e+00","7.15e-09","515100"
515120,"Television Broadcasting","Hexafluoroethane","kg/2021 USD, purchaser price","5.27e-09","0.00e+00","5.27e-09","515100"
515120,"Television Broadcasting","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.48e-10","0.00e+00","6.48e-10","515100"
515120,"Television Broadcasting","HFC-236fa","kg/2021 USD, purchaser price","2.99e-08","0.00e+00","2.99e-08","515100"
515120,"Television Broadcasting","HFC-125","kg/2021 USD, purchaser price","4.45e-06","0.00e+00","4.45e-06","515100"
515120,"Television Broadcasting","Nitrous oxide","kg/2021 USD, purchaser price","7.51e-06","0.00e+00","7.51e-06","515100"
515120,"Television Broadcasting","HFC-32","kg/2021 USD, purchaser price","2.69e-06","0.00e+00","2.69e-06","515100"
515120,"Television Broadcasting","HFC-134a","kg/2021 USD, purchaser price","1.14e-05","0.00e+00","1.14e-05","515100"
515120,"Television Broadcasting","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.80e-10","0.00e+00","1.80e-10","515100"
515120,"Television Broadcasting","HFC-23","kg/2021 USD, purchaser price","4.43e-09","0.00e+00","4.43e-09","515100"
515120,"Television Broadcasting","HFC-143a","kg/2021 USD, purchaser price","1.66e-06","0.00e+00","1.66e-06","515100"
