irect Health and Medical Insurance Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524114,"Direct Health and Medical Insurance Carriers","HFC-143a","kg/2021 USD, purchaser price","2.51e-08","0.00e+00","2.51e-08","5241XX"
524114,"Direct Health and Medical Insurance Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.84e-11","0.00e+00","3.84e-11","5241XX"
524114,"Direct Health and Medical Insurance Carriers","Perfluoropropane","kg/2021 USD, purchaser price","4.47e-11","0.00e+00","4.47e-11","5241XX"
524114,"Direct Health and Medical Insurance Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.05e-09","0.00e+00","2.05e-09","5241XX"
524114,"Direct Health and Medical Insurance Carriers","HFC-23","kg/2021 USD, purchaser price","1.15e-09","0.00e+00","1.15e-09","5241XX"
524114,"Direct Health and Medical Insurance Carriers","HFC-236fa","kg/2021 USD, purchaser price","4.52e-10","0.00e+00","4.52e-10","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Carbon dioxide","kg/2021 USD, purchaser price","2.87e-02","0.00e+00","2.87e-02","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.74e-09","0.00e+00","2.74e-09","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Hexafluoroethane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-143a","kg/2021 USD, purchaser price","2.51e-08","0.00e+00","2.51e-08","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.84e-11","0.00e+00","3.84e-11","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-32","kg/2021 USD, purchaser price","4.06e-08","0.00e+00","4.06e-08","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-125","kg/2021 USD, purchaser price","6.73e-08","0.00e+00","6.73e-08","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.38e-10","0.00e+00","1.38e-10","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-23","kg/2021 USD, purchaser price","1.15e-09","0.00e+00","1.15e-09","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Perfluoropropane","kg/2021 USD, purchaser price","4.47e-11","0.00e+00","4.47e-11","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.78e-08","0.00e+00","6.78e-08","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-134a","kg/2021 USD, purchaser price","1.72e-07","0.00e+00","1.72e-07","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Nitrous oxide","kg/2021 USD, purchaser price","3.41e-06","0.00e+00","3.41e-06","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","HFC-236fa","kg/2021 USD, purchaser price","4.52e-10","0.00e+00","4.52e-10","5241XX"
524126,"Direct Property and Casualty Insurance Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.05e-09","0.00e+00","2.05e-09","5241XX"
524127,"Direct Title Insurance Carriers","HFC-125","kg/2021 USD, purchaser price","6.73e-08","0.00e+00","6.73e-08","5241XX"
524127,"Direct Title Insurance Carriers","HFC-32","kg/2021 USD, purchaser price","4.06e-08","0.00e+00","4.06e-08","5241XX"
524127,"Direct Title Insurance Carriers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.78e-08","0.00e+00","6.78e-08","5241XX"
524127,"Direct Title Insurance Carriers","HFC-134a","kg/2021 USD, purchaser price","1.72e-07","0.00e+00","1.72e-07","5241XX"
524127,"Direct Title Insurance Carriers","Carbon dioxide","kg/2021 USD, purchaser price","2.87e-02","0.00e+00","2.87e-02","5241XX"
524127,"Direct Title Insurance Carriers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.74e-09","0.00e+00","2.74e-09","5241XX"
524127,"Direct Title Insurance Carriers","Hexafluoroethane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","5241XX"
524127,"Direct Title Insurance Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524127,"Direct Title Insurance Carriers","HFC-143a","kg/2021 USD, purchaser price","2.51e-08","0.00e+00","2.51e-08","5241XX"
524127,"Direct Title Insurance Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.84e-11","0.00e+00","3.84e-11","5241XX"
524127,"Direct Title Insurance Carriers","Perfluoropropane","kg/2021 USD, purchaser price","4.47e-11","0.00e+00","4.47e-11","5241XX"
524127,"Direct Title Insurance Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.05e-09","0.00e+00","2.05e-09","5241XX"
524127,"Direct Title Insurance Carriers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.38e-10","0.00e+00","1.38e-10","5241XX"
524127,"Direct Title Insurance Carriers","HFC-23","kg/2021 USD, purchaser price","1.15e-09","0.00e+00","1.15e-09","5241XX"
524127,"Direct Title Insurance Carriers","HFC-236fa","kg/2021 USD, purchaser price","4.52e-10","0.00e+00","4.52e-10","5241XX"
524127,"Direct Title Insurance Carriers","Nitrous oxide","kg/2021 USD, purchaser price","3.41e-06","0.00e+00","3.41e-06","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Carbon dioxide","kg/2021 USD, purchaser price","2.87e-02","0.00e+00","2.87e-02","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-32","kg/2021 USD, purchaser price","4.06e-08","0.00e+00","4.06e-08","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-125","kg/2021 USD, purchaser price","6.73e-08","0.00e+00","6.73e-08","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.38e-10","0.00e+00","1.38e-10","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-23","kg/2021 USD, purchaser price","1.15e-09","0.00e+00","1.15e-09","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.74e-09","0.00e+00","2.74e-09","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.78e-08","0.00e+00","6.78e-08","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-134a","kg/2021 USD, purchaser price","1.72e-07","0.00e+00","1.72e-07","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Nitrous oxide","kg/2021 USD, purchaser price","3.41e-06","0.00e+00","3.41e-06","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-236fa","kg/2021 USD, purchaser price","4.52e-10","0.00e+00","4.52e-10","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Hexafluoroethane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","HFC-143a","kg/2021 USD, purchaser price","2.51e-08","0.00e+00","2.51e-08","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.84e-11","0.00e+00","3.84e-11","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Perfluoropropane","kg/2021 USD, purchaser price","4.47e-11","0.00e+00","4.47e-11","5241XX"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.05e-09","0.00e+00","2.05e-09","5241XX"
524130,"Reinsurance Carriers","HFC-32","kg/2021 USD, purchaser price","4.06e-08","0.00e+00","4.06e-08","5241XX"
524130,"Reinsurance Carriers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.78e-08","0.00e+00","6.78e-08","5241XX"
