Pension Funds","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-10","0.00e+00","1.08e-10","525000"
525120,"Health and Welfare Funds","Carbon dioxide","kg/2021 USD, purchaser price","1.40e-01","0.00e+00","1.40e-01","525000"
525120,"Health and Welfare Funds","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.68e-07","0.00e+00","1.68e-07","525000"
525120,"Health and Welfare Funds","HFC-236fa","kg/2021 USD, purchaser price","1.12e-09","0.00e+00","1.12e-09","525000"
525120,"Health and Welfare Funds","Methane","kg/2021 USD, purchaser price","7.67e-04","0.00e+00","7.67e-04","525000"
525120,"Health and Welfare Funds","Perfluoropropane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","525000"
525120,"Health and Welfare Funds","HFC-125","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","525000"
525120,"Health and Welfare Funds","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.22e-09","0.00e+00","8.22e-09","525000"
525120,"Health and Welfare Funds","HFC-134a","kg/2021 USD, purchaser price","4.28e-07","0.00e+00","4.28e-07","525000"
525120,"Health and Welfare Funds","HFC-32","kg/2021 USD, purchaser price","1.01e-07","0.00e+00","1.01e-07","525000"
525120,"Health and Welfare Funds","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.89e-10","0.00e+00","3.89e-10","525000"
525120,"Health and Welfare Funds","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.32e-09","0.00e+00","4.32e-09","525000"
525120,"Health and Welfare Funds","Nitrous oxide","kg/2021 USD, purchaser price","1.63e-05","0.00e+00","1.63e-05","525000"
525120,"Health and Welfare Funds","Hexafluoroethane","kg/2021 USD, purchaser price","1.80e-09","0.00e+00","1.80e-09","525000"
525120,"Health and Welfare Funds","HFC-143a","kg/2021 USD, purchaser price","6.22e-08","0.00e+00","6.22e-08","525000"
525120,"Health and Welfare Funds","HFC-23","kg/2021 USD, purchaser price","4.71e-09","0.00e+00","4.71e-09","525000"
525120,"Health and Welfare Funds","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-10","0.00e+00","1.08e-10","525000"
525190,"Other Insurance Funds","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.68e-07","0.00e+00","1.68e-07","525000"
525190,"Other Insurance Funds","Methane","kg/2021 USD, purchaser price","7.67e-04","0.00e+00","7.67e-04","525000"
525190,"Other Insurance Funds","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.89e-10","0.00e+00","3.89e-10","525000"
525190,"Other Insurance Funds","Carbon dioxide","kg/2021 USD, purchaser price","1.40e-01","0.00e+00","1.40e-01","525000"
525190,"Other Insurance Funds","Nitrous oxide","kg/2021 USD, purchaser price","1.63e-05","0.00e+00","1.63e-05","525000"
525190,"Other Insurance Funds","HFC-236fa","kg/2021 USD, purchaser price","1.12e-09","0.00e+00","1.12e-09","525000"
525190,"Other Insurance Funds","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-10","0.00e+00","1.08e-10","525000"
525190,"Other Insurance Funds","HFC-32","kg/2021 USD, purchaser price","1.01e-07","0.00e+00","1.01e-07","525000"
525190,"Other Insurance Funds","Perfluoropropane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","525000"
525190,"Other Insurance Funds","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.22e-09","0.00e+00","8.22e-09","525000"
525190,"Other Insurance Funds","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.32e-09","0.00e+00","4.32e-09","525000"
525190,"Other Insurance Funds","Hexafluoroethane","kg/2021 USD, purchaser price","1.80e-09","0.00e+00","1.80e-09","525000"
525190,"Other Insurance Funds","HFC-125","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","525000"
525190,"Other Insurance Funds","HFC-134a","kg/2021 USD, purchaser price","4.28e-07","0.00e+00","4.28e-07","525000"
525190,"Other Insurance Funds","HFC-143a","kg/2021 USD, purchaser price","6.22e-08","0.00e+00","6.22e-08","525000"
525190,"Other Insurance Funds","HFC-23","kg/2021 USD, purchaser price","4.71e-09","0.00e+00","4.71e-09","525000"
525910,"Open-End Investment Funds","Hexafluoroethane","kg/2021 USD, purchaser price","1.80e-09","0.00e+00","1.80e-09","525000"
525910,"Open-End Investment Funds","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.68e-07","0.00e+00","1.68e-07","525000"
525910,"Open-End Investment Funds","Methane","kg/2021 USD, purchaser price","7.67e-04","0.00e+00","7.67e-04","525000"
525910,"Open-End Investment Funds","HFC-125","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","525000"
525910,"Open-End Investment Funds","HFC-134a","kg/2021 USD, purchaser price","4.28e-07","0.00e+00","4.28e-07","525000"
525910,"Open-End Investment Funds","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.89e-10","0.00e+00","3.89e-10","525000"
525910,"Open-End Investment Funds","HFC-143a","kg/2021 USD, purchaser price","6.22e-08","0.00e+00","6.22e-08","525000"
525910,"Open-End Investment Funds","Nitrous oxide","kg/2021 USD, purchaser price","1.63e-05","0.00e+00","1.63e-05","525000"
525910,"Open-End Investment Funds","HFC-23","kg/2021 USD, purchaser price","4.71e-09","0.00e+00","4.71e-09","525000"
525910,"Open-End Investment Funds","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-10","0.00e+00","1.08e-10","525000"
525910,"Open-End Investment Funds","HFC-236fa","kg/2021 USD, purchaser price","1.12e-09","0.00e+00","1.12e-09","525000"
525910,"Open-End Investment Funds","Carbon dioxide","kg/2021 USD, purchaser price","1.40e-01","0.00e+00","1.40e-01","525000"
525910,"Open-End Investment Funds","HFC-32","kg/2021 USD, purchaser price","1.01e-07","0.00e+00","1.01e-07","525000"
525910,"Open-End Investment Funds","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.22e-09","0.00e+00","8.22e-09","525000"
525910,"Open-End Investment Funds","Perfluoropropane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","525000"
525910,"Open-End Investment Funds","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.32e-09","0.00e+00","4.32e-09","525000"
525920,"Trusts, Estates, and Agency Accounts","Hexafluoroethane","kg/2021 USD, purchaser price","1.80e-09","0.00e+00","1.80e-09","525000"
525920,"Trusts, Estates, and Agency Accounts","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.68e-07","0.00e+00","1.68e-07","525000"
525920,"Trusts, Estates, and Agency Accounts","Methane","kg/2021 USD, purchaser price","7.67e-04","0.00e+00","7.67e-04","525000"
525920,"Trusts, Estates, and Agency Accounts","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-10","0.00e+00","1.08e-10","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-125","kg/2021 USD, purchaser price","1.67e-07","0.00e+00","1.67e-07","525000"
525920,"Trusts, Estates, and Agency Accounts","Carbon dioxide","kg/2021 USD, purchaser price","1.40e-01","0.00e+00","1.40e-01","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-134a","kg/2021 USD, purchaser price","4.28e-07","0.00e+00","4.28e-07","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-236fa","kg/2021 USD, purchaser price","1.12e-09","0.00e+00","1.12e-09","525000"
525920,"Trusts, Estates, and Agency Accounts","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.89e-10","0.00e+00","3.89e-10","525000"
525920,"Trusts, Estates, and Agency Accounts","Perfluoropropane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","525000"
525920,"Trusts, Estates, and Agency Accounts","Nitrous oxide","kg/2021 USD, purchaser price","1.63e-05","0.00e+00","1.63e-05","525000"
525920,"Trusts, Estates, and Agency Accounts","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.22e-09","0.00e+00","8.22e-09","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-143a","kg/2021 USD, purchaser price","6.22e-08","0.00e+00","6.22e-08","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-32","kg/2021 USD, purchaser price","1.01e-07","0.00e+00","1.01e-07","525000"
525920,"Trusts, Estates, and Agency Accounts","HFC-23","kg/2021 USD, purchaser price","4.71e-09","0.00e+00","4.71e-09","525000"
525920,"Trusts, Estates, and Agency Accounts","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.32e-09","0.00e+00","4.32e-09","525000"
525990,"Other Financial Vehicles","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.68e-07","0.00e+00","1.68e-07","525000"
525990,"Other Financial Vehicles","Methane","kg/2021 USD, purchaser price","7.67e-04","0.00e+00","7.67e-04","525000"
