rs of Residential Buildings and Dwellings","HFC-134a","kg/2021 USD, purchaser price","1.20e-07","0.00e+00","1.20e-07","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Perfluoropropane","kg/2021 USD, purchaser price","2.64e-11","0.00e+00","2.64e-11","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.70e-08","0.00e+00","4.70e-08","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFC-236fa","kg/2021 USD, purchaser price","3.13e-10","0.00e+00","3.13e-10","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Carbon dioxide","kg/2021 USD, purchaser price","1.70e-02","0.00e+00","1.70e-02","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFC-23","kg/2021 USD, purchaser price","6.97e-10","0.00e+00","6.97e-10","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Nitrous oxide","kg/2021 USD, purchaser price","2.25e-06","0.00e+00","2.25e-06","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFC-143a","kg/2021 USD, purchaser price","1.74e-08","0.00e+00","1.74e-08","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.12e-11","0.00e+00","8.12e-11","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.26e-11","0.00e+00","2.26e-11","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFC-125","kg/2021 USD, purchaser price","4.66e-08","0.00e+00","4.66e-08","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Methane","kg/2021 USD, purchaser price","5.14e-05","0.00e+00","5.14e-05","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Hexafluoroethane","kg/2021 USD, purchaser price","4.45e-10","0.00e+00","4.45e-10","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.17e-09","0.00e+00","2.17e-09","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","HFC-32","kg/2021 USD, purchaser price","2.82e-08","0.00e+00","2.82e-08","531HSO,531HST"
531110,"Lessors of Residential Buildings and Dwellings","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.07e-10","0.00e+00","8.07e-10","531HSO,531HST"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Hexafluoroethane","kg/2021 USD, purchaser price","3.03e-09","0.00e+00","3.03e-09","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-23","kg/2021 USD, purchaser price","7.72e-09","0.00e+00","7.72e-09","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.89e-10","0.00e+00","4.89e-10","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-125","kg/2021 USD, purchaser price","3.03e-07","0.00e+00","3.03e-07","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Carbon dioxide","kg/2021 USD, purchaser price","3.13e-01","0.00e+00","3.13e-01","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-143a","kg/2021 USD, purchaser price","1.13e-07","0.00e+00","1.13e-07","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Methane","kg/2021 USD, purchaser price","1.08e-03","0.00e+00","1.08e-03","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.36e-08","0.00e+00","2.36e-08","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-236fa","kg/2021 USD, purchaser price","2.03e-09","0.00e+00","2.03e-09","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Nitrous oxide","kg/2021 USD, purchaser price","2.47e-05","0.00e+00","2.47e-05","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-134a","kg/2021 USD, purchaser price","7.76e-07","0.00e+00","7.76e-07","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.05e-07","0.00e+00","3.05e-07","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Perfluoropropane","kg/2021 USD, purchaser price","1.59e-10","0.00e+00","1.59e-10","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.36e-10","0.00e+00","1.36e-10","531ORE"
531120,"Lessors of Nonresidential Buildings (excpet Miniwarehouses)","HFC-32","kg/2021 USD, purchaser price","1.83e-07","0.00e+00","1.83e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-23","kg/2021 USD, purchaser price","7.72e-09","0.00e+00","7.72e-09","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.89e-10","0.00e+00","4.89e-10","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Carbon dioxide","kg/2021 USD, purchaser price","3.13e-01","0.00e+00","3.13e-01","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-143a","kg/2021 USD, purchaser price","1.13e-07","0.00e+00","1.13e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Methane","kg/2021 USD, purchaser price","1.08e-03","0.00e+00","1.08e-03","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Hexafluoroethane","kg/2021 USD, purchaser price","3.03e-09","0.00e+00","3.03e-09","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-236fa","kg/2021 USD, purchaser price","2.03e-09","0.00e+00","2.03e-09","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Nitrous oxide","kg/2021 USD, purchaser price","2.47e-05","0.00e+00","2.47e-05","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-134a","kg/2021 USD, purchaser price","7.76e-07","0.00e+00","7.76e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.05e-07","0.00e+00","3.05e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Perfluoropropane","kg/2021 USD, purchaser price","1.59e-10","0.00e+00","1.59e-10","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.36e-10","0.00e+00","1.36e-10","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-125","kg/2021 USD, purchaser price","3.03e-07","0.00e+00","3.03e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","HFC-32","kg/2021 USD, purchaser price","1.83e-07","0.00e+00","1.83e-07","531ORE"
531130,"Lessors of Miniwarehouses and Self-Storage Units","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.36e-08","0.00e+00","2.36e-08","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-23","kg/2021 USD, purchaser price","7.72e-09","0.00e+00","7.72e-09","531ORE"
531190,"Lessors of Other Real Estate Property","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.54e-08","0.00e+00","1.54e-08","531ORE"
531190,"Lessors of Other Real Estate Property","Carbon dioxide","kg/2021 USD, purchaser price","3.13e-01","0.00e+00","3.13e-01","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-143a","kg/2021 USD, purchaser price","1.13e-07","0.00e+00","1.13e-07","531ORE"
531190,"Lessors of Other Real Estate Property","Hexafluoroethane","kg/2021 USD, purchaser price","3.03e-09","0.00e+00","3.03e-09","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-236fa","kg/2021 USD, purchaser price","2.03e-09","0.00e+00","2.03e-09","531ORE"
531190,"Lessors of Other Real Estate Property","Nitrous oxide","kg/2021 USD, purchaser price","2.47e-05","0.00e+00","2.47e-05","531ORE"
531190,"Lessors of Other Real Estate Property","HFC-134a","kg/2021 USD, purchaser price","7.76e-07","0.00e+00","7.76e-07","531ORE"
