ipment Rental and Leasing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.16e-10","0.00e+00","4.16e-10","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","HFC-236fa","kg/2021 USD, purchaser price","6.97e-09","0.00e+00","6.97e-09","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","HFC-134a","kg/2021 USD, purchaser price","2.65e-06","0.00e+00","2.65e-06","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","Perfluoropropane","kg/2021 USD, purchaser price","4.85e-10","0.00e+00","4.85e-10","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","HFC-32","kg/2021 USD, purchaser price","6.26e-07","0.00e+00","6.26e-07","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","HFC-143a","kg/2021 USD, purchaser price","3.86e-07","0.00e+00","3.86e-07","532400"
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.42e-09","0.00e+00","8.42e-09","532400"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","Carbon dioxide","kg/2021 USD, purchaser price","4.82e-02","0.00e+00","4.82e-02","533000"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.27e-09","0.00e+00","6.27e-09","533000"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","Hexafluoroethane","kg/2021 USD, purchaser price","1.33e-09","0.00e+00","1.33e-09","533000"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","HFC-125","kg/2021 USD, purchaser price","1.27e-07","0.00e+00","1.27e-07","533000"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","HFC-134a","kg/2021 USD, purchaser price","3.25e-07","0.00e+00","3.25e-07","533000"
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","HFC-143a","kg/2021 USD, purchaser price","4.72e-08","0.00e+00","4.72e-08","533000"
