ces","Carbon dioxide","kg/2021 USD, purchaser price","7.13e-02","0.00e+00","7.13e-02","54151A"
541519,"Other Computer Related Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.64e-08","0.00e+00","2.64e-08","54151A"
541519,"Other Computer Related Services","Hexafluoroethane","kg/2021 USD, purchaser price","7.62e-09","0.00e+00","7.62e-09","54151A"
541519,"Other Computer Related Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.76e-07","0.00e+00","5.76e-07","54151A"
541519,"Other Computer Related Services","HFC-125","kg/2021 USD, purchaser price","5.72e-07","0.00e+00","5.72e-07","54151A"
541519,"Other Computer Related Services","Methane","kg/2021 USD, purchaser price","2.96e-04","0.00e+00","2.96e-04","54151A"
541519,"Other Computer Related Services","HFC-134a","kg/2021 USD, purchaser price","1.46e-06","0.00e+00","1.46e-06","54151A"
541519,"Other Computer Related Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.59e-09","0.00e+00","2.59e-09","54151A"
541519,"Other Computer Related Services","HFC-143a","kg/2021 USD, purchaser price","2.13e-07","0.00e+00","2.13e-07","54151A"
541519,"Other Computer Related Services","Nitrous oxide","kg/2021 USD, purchaser price","8.30e-06","0.00e+00","8.30e-06","54151A"
541519,"Other Computer Related Services","HFC-23","kg/2021 USD, purchaser price","7.84e-09","0.00e+00","7.84e-09","54151A"
541519,"Other Computer Related Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.20e-10","0.00e+00","7.20e-10","54151A"
541519,"Other Computer Related Services","HFC-236fa","kg/2021 USD, purchaser price","3.84e-09","0.00e+00","3.84e-09","54151A"
541519,"Other Computer Related Services","Perfluoropropane","kg/2021 USD, purchaser price","8.40e-10","0.00e+00","8.40e-10","54151A"
541519,"Other Computer Related Services","HFC-32","kg/2021 USD, purchaser price","3.45e-07","0.00e+00","3.45e-07","54151A"
541519,"Other Computer Related Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.30e-09","0.00e+00","8.30e-09","54151A"
541611,"Administrative Management and General Management Consulting Services","Carbon dioxide","kg/2021 USD, purchaser price","6.88e-02","0.00e+00","6.88e-02","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-32","kg/2021 USD, purchaser price","2.18e-07","0.00e+00","2.18e-07","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-125","kg/2021 USD, purchaser price","3.62e-07","0.00e+00","3.62e-07","541610"
541611,"Administrative Management and General Management Consulting Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.93e-10","0.00e+00","4.93e-10","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-23","kg/2021 USD, purchaser price","3.93e-09","0.00e+00","3.93e-09","541610"
541611,"Administrative Management and General Management Consulting Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.90e-09","0.00e+00","9.90e-09","541610"
541611,"Administrative Management and General Management Consulting Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.64e-07","0.00e+00","3.64e-07","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-134a","kg/2021 USD, purchaser price","9.25e-07","0.00e+00","9.25e-07","541610"
541611,"Administrative Management and General Management Consulting Services","Nitrous oxide","kg/2021 USD, purchaser price","9.75e-06","0.00e+00","9.75e-06","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-236fa","kg/2021 USD, purchaser price","2.43e-09","0.00e+00","2.43e-09","541610"
541611,"Administrative Management and General Management Consulting Services","Hexafluoroethane","kg/2021 USD, purchaser price","2.18e-09","0.00e+00","2.18e-09","541610"
541611,"Administrative Management and General Management Consulting Services","Methane","kg/2021 USD, purchaser price","3.38e-04","0.00e+00","3.38e-04","541610"
541611,"Administrative Management and General Management Consulting Services","HFC-143a","kg/2021 USD, purchaser price","1.35e-07","0.00e+00","1.35e-07","541610"
541611,"Administrative Management and General Management Consulting Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.37e-10","0.00e+00","1.37e-10","541610"
541611,"Administrative Management and General Management Consulting Services","Perfluoropropane","kg/2021 USD, purchaser price","1.60e-10","0.00e+00","1.60e-10","541610"
541611,"Administrative Management and General Management Consulting Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.66e-09","0.00e+00","4.66e-09","541610"
541612,"Human Resources Consulting Services","HFC-125","kg/2021 USD, purchaser price","3.62e-07","0.00e+00","3.62e-07","541610"
541612,"Human Resources Consulting Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.93e-10","0.00e+00","4.93e-10","541610"
541612,"Human Resources Consulting Services","Carbon dioxide","kg/2021 USD, purchaser price","6.88e-02","0.00e+00","6.88e-02","541610"
541612,"Human Resources Consulting Services","HFC-32","kg/2021 USD, purchaser price","2.18e-07","0.00e+00","2.18e-07","541610"
541612,"Human Resources Consulting Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.64e-07","0.00e+00","3.64e-07","541610"
541612,"Human Resources Consulting Services","HFC-134a","kg/2021 USD, purchaser price","9.25e-07","0.00e+00","9.25e-07","541610"
541612,"Human Resources Consulting Services","Nitrous oxide","kg/2021 USD, purchaser price","9.75e-06","0.00e+00","9.75e-06","541610"
541612,"Human Resources Consulting Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.90e-09","0.00e+00","9.90e-09","541610"
