Agencies","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541810,"Advertising Agencies","HFC-32","kg/2021 USD, purchaser price","6.47e-07","0.00e+00","6.47e-07","541800"
541810,"Advertising Agencies","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.44e-10","0.00e+00","3.44e-10","541800"
541810,"Advertising Agencies","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.90e-09","0.00e+00","7.90e-09","541800"
541810,"Advertising Agencies","Perfluoropropane","kg/2021 USD, purchaser price","4.01e-10","0.00e+00","4.01e-10","541800"
541820,"Public Relations Agencies","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","541800"
541820,"Public Relations Agencies","HFC-143a","kg/2021 USD, purchaser price","3.99e-07","0.00e+00","3.99e-07","541800"
541820,"Public Relations Agencies","HFC-236fa","kg/2021 USD, purchaser price","7.20e-09","0.00e+00","7.20e-09","541800"
541820,"Public Relations Agencies","Nitrous oxide","kg/2021 USD, purchaser price","1.82e-05","0.00e+00","1.82e-05","541800"
541820,"Public Relations Agencies","HFC-134a","kg/2021 USD, purchaser price","2.74e-06","0.00e+00","2.74e-06","541800"
541820,"Public Relations Agencies","Hexafluoroethane","kg/2021 USD, purchaser price","5.67e-09","0.00e+00","5.67e-09","541800"
541820,"Public Relations Agencies","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.63e-08","0.00e+00","2.63e-08","541800"
541820,"Public Relations Agencies","HFC-23","kg/2021 USD, purchaser price","7.91e-09","0.00e+00","7.91e-09","541800"
541820,"Public Relations Agencies","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","541800"
541820,"Public Relations Agencies","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541820,"Public Relations Agencies","HFC-32","kg/2021 USD, purchaser price","6.47e-07","0.00e+00","6.47e-07","541800"
541820,"Public Relations Agencies","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.44e-10","0.00e+00","3.44e-10","541800"
541820,"Public Relations Agencies","Methane","kg/2021 USD, purchaser price","3.42e-04","0.00e+00","3.42e-04","541800"
541820,"Public Relations Agencies","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.90e-09","0.00e+00","7.90e-09","541800"
