"Direct Mail Advertising","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.90e-09","0.00e+00","7.90e-09","541800"
541870,"Advertising Material Distribution Services","HFC-236fa","kg/2021 USD, purchaser price","7.20e-09","0.00e+00","7.20e-09","541800"
541870,"Advertising Material Distribution Services","Hexafluoroethane","kg/2021 USD, purchaser price","5.67e-09","0.00e+00","5.67e-09","541800"
541870,"Advertising Material Distribution Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.63e-08","0.00e+00","2.63e-08","541800"
541870,"Advertising Material Distribution Services","HFC-23","kg/2021 USD, purchaser price","7.91e-09","0.00e+00","7.91e-09","541800"
541870,"Advertising Material Distribution Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","541800"
541870,"Advertising Material Distribution Services","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541870,"Advertising Material Distribution Services","HFC-32","kg/2021 USD, purchaser price","6.47e-07","0.00e+00","6.47e-07","541800"
541870,"Advertising Material Distribution Services","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","541800"
541870,"Advertising Material Distribution Services","HFC-143a","kg/2021 USD, purchaser price","3.99e-07","0.00e+00","3.99e-07","541800"
541870,"Advertising Material Distribution Services","Methane","kg/2021 USD, purchaser price","3.42e-04","0.00e+00","3.42e-04","541800"
541870,"Advertising Material Distribution Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.90e-09","0.00e+00","7.90e-09","541800"
541870,"Advertising Material Distribution Services","Perfluoropropane","kg/2021 USD, purchaser price","4.01e-10","0.00e+00","4.01e-10","541800"
541870,"Advertising Material Distribution Services","Nitrous oxide","kg/2021 USD, purchaser price","1.82e-05","0.00e+00","1.82e-05","541800"
541870,"Advertising Material Distribution Services","HFC-134a","kg/2021 USD, purchaser price","2.74e-06","0.00e+00","2.74e-06","541800"
541870,"Advertising Material Distribution Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.08e-06","0.00e+00","1.08e-06","541800"
541870,"Advertising Material Distribution Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.44e-10","0.00e+00","3.44e-10","541800"
541890,"Other Services Related to Advertising","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.63e-08","0.00e+00","2.63e-08","541800"
541890,"Other Services Related to Advertising","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","541800"
541890,"Other Services Related to Advertising","Hexafluoroethane","kg/2021 USD, purchaser price","5.67e-09","0.00e+00","5.67e-09","541800"
541890,"Other Services Related to Advertising","HFC-236fa","kg/2021 USD, purchaser price","7.20e-09","0.00e+00","7.20e-09","541800"
541890,"Other Services Related to Advertising","Nitrous oxide","kg/2021 USD, purchaser price","1.82e-05","0.00e+00","1.82e-05","541800"
541890,"Other Services Related to Advertising","HFC-134a","kg/2021 USD, purchaser price","2.74e-06","0.00e+00","2.74e-06","541800"
541890,"Other Services Related to Advertising","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.08e-06","0.00e+00","1.08e-06","541800"
541890,"Other Services Related to Advertising","Perfluoropropane","kg/2021 USD, purchaser price","4.01e-10","0.00e+00","4.01e-10","541800"
541890,"Other Services Related to Advertising","HFC-23","kg/2021 USD, purchaser price","7.91e-09","0.00e+00","7.91e-09","541800"
541890,"Other Services Related to Advertising","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","541800"
541890,"Other Services Related to Advertising","HFC-125","kg/2021 USD, purchaser price","1.07e-06","0.00e+00","1.07e-06","541800"
541890,"Other Services Related to Advertising","HFC-32","kg/2021 USD, purchaser price","6.47e-07","0.00e+00","6.47e-07","541800"
541890,"Other Services Related to Advertising","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.44e-10","0.00e+00","3.44e-10","541800"
541890,"Other Services Related to Advertising","HFC-143a","kg/2021 USD, purchaser price","3.99e-07","0.00e+00","3.99e-07","541800"
541890,"Other Services Related to Advertising","Methane","kg/2021 USD, purchaser price","3.42e-04","0.00e+00","3.42e-04","541800"
541890,"Other Services Related to Advertising","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.90e-09","0.00e+00","7.90e-09","541800"
541910,"Marketing Research and Public Opinion Polling","Methane","kg/2021 USD, purchaser price","2.31e-04","0.00e+00","2.31e-04","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.39e-07","0.00e+00","1.39e-07","5419A0"
541910,"Marketing Research and Public Opinion Polling","Hexafluoroethane","kg/2021 USD, purchaser price","4.05e-09","0.00e+00","4.05e-09","5419A0"
541910,"Marketing Research and Public Opinion Polling","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.07e-09","0.00e+00","1.07e-09","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-236fa","kg/2021 USD, purchaser price","9.27e-10","0.00e+00","9.27e-10","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-125","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","5419A0"
541910,"Marketing Research and Public Opinion Polling","Nitrous oxide","kg/2021 USD, purchaser price","7.25e-06","0.00e+00","7.25e-06","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-32","kg/2021 USD, purchaser price","8.33e-08","0.00e+00","8.33e-08","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-134a","kg/2021 USD, purchaser price","3.57e-07","0.00e+00","3.57e-07","5419A0"
541910,"Marketing Research and Public Opinion Polling","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.99e-10","0.00e+00","2.99e-10","5419A0"
541910,"Marketing Research and Public Opinion Polling","Carbon dioxide","kg/2021 USD, purchaser price","6.50e-02","0.00e+00","6.50e-02","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-143a","kg/2021 USD, purchaser price","5.14e-08","0.00e+00","5.14e-08","5419A0"
541910,"Marketing Research and Public Opinion Polling","Perfluoropropane","kg/2021 USD, purchaser price","3.49e-10","0.00e+00","3.49e-10","5419A0"
541910,"Marketing Research and Public Opinion Polling","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","5419A0"
541910,"Marketing Research and Public Opinion Polling","HFC-23","kg/2021 USD, purchaser price","4.89e-09","0.00e+00","4.89e-09","5419A0"
541910,"Marketing Research and Public Opinion Polling","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.05e-09","0.00e+00","7.05e-09","5419A0"
541921,"Photography Studios, Portrait","Carbon dioxide","kg/2021 USD, purchaser price","1.08e-01","0.00e+00","1.08e-01","541920"
541921,"Photography Studios, Portrait","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.26e-08","0.00e+00","1.26e-08","541920"
541921,"Photography Studios, Portrait","Hexafluoroethane","kg/2021 USD, purchaser price","3.17e-09","0.00e+00","3.17e-09","541920"
541921,"Photography Studios, Portrait","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.56e-07","0.00e+00","1.56e-07","541920"
541921,"Photography Studios, Portrait","HFC-125","kg/2021 USD, purchaser price","1.55e-07","0.00e+00","1.55e-07","541920"
541921,"Photography Studios, Portrait","Methane","kg/2021 USD, purchaser price","3.27e-04","0.00e+00","3.27e-04","541920"
541921,"Photography Studios, Portrait","HFC-134a","kg/2021 USD, purchaser price","3.97e-07","0.00e+00","3.97e-07","541920"
541921,"Photography Studios, Portrait","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.89e-10","0.00e+00","8.89e-10","541920"
541921,"Photography Studios, Portrait","HFC-143a","kg/2021 USD, purchaser price","5.77e-08","0.00e+00","5.77e-08","541920"
541921,"Photography Studios, Portrait","Nitrous oxide","kg/2021 USD, purchaser price","1.39e-05","0.00e+00","1.39e-05","541920"
541921,"Photography Studios, Portrait","HFC-23","kg/2021 USD, purchaser price","7.73e-09","0.00e+00","7.73e-09","541920"
541921,"Photography Studios, Portrait","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.48e-10","0.00e+00","2.48e-10","541920"
541921,"Photography Studios, Portrait","HFC-236fa","kg/2021 USD, purchaser price","1.04e-09","0.00e+00","1.04e-09","541920"
541921,"Photography Studios, Portrait","Perfluoropropane","kg/2021 USD, purchaser price","2.89e-10","0.00e+00","2.89e-10","541920"
541921,"Photography Studios, Portrait","HFC-32","kg/2021 USD, purchaser price","9.34e-08","0.00e+00","9.34e-08","541920"
541921,"Photography Studios, Portrait","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.63e-09","0.00e+00","7.63e-09","541920"
541922,"Commercial Photography","Carbon dioxide","kg/2021 USD, purchaser price","1.08e-01","0.00e+00","1.08e-01","541920"
541922,"Commercial Photography","HFC-236fa","kg/2021 USD, purchaser price","1.04e-09","0.00e+00","1.04e-09","541920"
541922,"Commercial Photography","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.26e-08","0.00e+00","1.26e-08","541920"
541922,"Commercial Photography","HFC-32","kg/2021 USD, purchaser price","9.34e-08","0.00e+00","9.34e-08","541920"
541922,"Commercial Photography","Hexafluoroethane","kg/2021 USD, purchaser price","3.17e-09","0.00e+00","3.17e-09","541920"
541922,"Commercial Photography","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.56e-07","0.00e+00","1.56e-07","541920"
541922,"Commercial Photography","HFC-125","kg/2021 USD, purchaser price","1.55e-07","0.00e+00","1.55e-07","541920"
541922,"Commercial Photography","Methane","kg/2021 USD, purchaser price","3.27e-04","0.00e+00","3.27e-04","541920"
541922,"Commercial Photography","HFC-134a","kg/2021 USD, purchaser price","3.97e-07","0.00e+00","3.97e-07","541920"
