Photography","HFC-143a","kg/2021 USD, purchaser price","5.77e-08","0.00e+00","5.77e-08","541920"
541922,"Commercial Photography","Nitrous oxide","kg/2021 USD, purchaser price","1.39e-05","0.00e+00","1.39e-05","541920"
541922,"Commercial Photography","HFC-23","kg/2021 USD, purchaser price","7.73e-09","0.00e+00","7.73e-09","541920"
541922,"Commercial Photography","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.48e-10","0.00e+00","2.48e-10","541920"
541922,"Commercial Photography","Perfluoropropane","kg/2021 USD, purchaser price","2.89e-10","0.00e+00","2.89e-10","541920"
541922,"Commercial Photography","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.63e-09","0.00e+00","7.63e-09","541920"
541930,"Translation and Interpretation Services","HFC-143a","kg/2021 USD, purchaser price","5.14e-08","0.00e+00","5.14e-08","5419A0"
541930,"Translation and Interpretation Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","5419A0"
541930,"Translation and Interpretation Services","Carbon dioxide","kg/2021 USD, purchaser price","6.50e-02","0.00e+00","6.50e-02","5419A0"
541930,"Translation and Interpretation Services","HFC-23","kg/2021 USD, purchaser price","4.89e-09","0.00e+00","4.89e-09","5419A0"
541930,"Translation and Interpretation Services","Hexafluoroethane","kg/2021 USD, purchaser price","4.05e-09","0.00e+00","4.05e-09","5419A0"
541930,"Translation and Interpretation Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.07e-09","0.00e+00","1.07e-09","5419A0"
541930,"Translation and Interpretation Services","HFC-236fa","kg/2021 USD, purchaser price","9.27e-10","0.00e+00","9.27e-10","5419A0"
541930,"Translation and Interpretation Services","HFC-125","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","5419A0"
541930,"Translation and Interpretation Services","Nitrous oxide","kg/2021 USD, purchaser price","7.25e-06","0.00e+00","7.25e-06","5419A0"
541930,"Translation and Interpretation Services","HFC-32","kg/2021 USD, purchaser price","8.33e-08","0.00e+00","8.33e-08","5419A0"
541930,"Translation and Interpretation Services","HFC-134a","kg/2021 USD, purchaser price","3.57e-07","0.00e+00","3.57e-07","5419A0"
541930,"Translation and Interpretation Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.99e-10","0.00e+00","2.99e-10","5419A0"
541930,"Translation and Interpretation Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.39e-07","0.00e+00","1.39e-07","5419A0"
541930,"Translation and Interpretation Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.05e-09","0.00e+00","7.05e-09","5419A0"
541930,"Translation and Interpretation Services","Perfluoropropane","kg/2021 USD, purchaser price","3.49e-10","0.00e+00","3.49e-10","5419A0"
541930,"Translation and Interpretation Services","Methane","kg/2021 USD, purchaser price","2.31e-04","0.00e+00","2.31e-04","5419A0"
541940,"Veterinary Services","Carbon dioxide","kg/2021 USD, purchaser price","8.10e-02","0.00e+00","8.10e-02","541940"
541940,"Veterinary Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","5.99e-08","0.00e+00","5.99e-08","541940"
541940,"Veterinary Services","Hexafluoroethane","kg/2021 USD, purchaser price","9.78e-09","0.00e+00","9.78e-09","541940"
541940,"Veterinary Services","HFC-125","kg/2021 USD, purchaser price","1.14e-07","0.00e+00","1.14e-07","541940"
541940,"Veterinary Services","HFC-134a","kg/2021 USD, purchaser price","2.91e-07","0.00e+00","2.91e-07","541940"
541940,"Veterinary Services","HFC-143a","kg/2021 USD, purchaser price","4.23e-08","0.00e+00","4.23e-08","541940"
541940,"Veterinary Services","HFC-23","kg/2021 USD, purchaser price","4.43e-09","0.00e+00","4.43e-09","541940"
541940,"Veterinary Services","HFC-236fa","kg/2021 USD, purchaser price","7.63e-10","0.00e+00","7.63e-10","541940"
541940,"Veterinary Services","HFC-32","kg/2021 USD, purchaser price","6.85e-08","0.00e+00","6.85e-08","541940"
541940,"Veterinary Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.14e-07","0.00e+00","1.14e-07","541940"
541940,"Veterinary Services","Methane","kg/2021 USD, purchaser price","8.62e-04","0.00e+00","8.62e-04","541940"
541940,"Veterinary Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.39e-10","0.00e+00","3.39e-10","541940"
541940,"Veterinary Services","Nitrous oxide","kg/2021 USD, purchaser price","1.15e-04","0.00e+00","1.15e-04","541940"
541940,"Veterinary Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.43e-11","0.00e+00","9.43e-11","541940"
541940,"Veterinary Services","Perfluoropropane","kg/2021 USD, purchaser price","1.10e-10","0.00e+00","1.10e-10","541940"
541940,"Veterinary Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.87e-09","0.00e+00","3.87e-09","541940"
541990,"All Other Professional, Scientific, and Technical Services","Carbon dioxide","kg/2021 USD, purchaser price","6.50e-02","0.00e+00","6.50e-02","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.39e-07","0.00e+00","1.39e-07","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","Perfluoropropane","kg/2021 USD, purchaser price","3.49e-10","0.00e+00","3.49e-10","5419A0"
