,"Credit Bureaus","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.48e-09","0.00e+00","7.48e-09","561400"
561491,"Repossession Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.30e-07","0.00e+00","2.30e-07","561400"
561491,"Repossession Services","Nitrous oxide","kg/2021 USD, purchaser price","1.48e-05","0.00e+00","1.48e-05","561400"
561491,"Repossession Services","Carbon dioxide","kg/2021 USD, purchaser price","1.00e-01","0.00e+00","1.00e-01","561400"
561491,"Repossession Services","HFC-134a","kg/2021 USD, purchaser price","5.86e-07","0.00e+00","5.86e-07","561400"
561491,"Repossession Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.31e-10","0.00e+00","7.31e-10","561400"
561491,"Repossession Services","Hexafluoroethane","kg/2021 USD, purchaser price","3.57e-09","0.00e+00","3.57e-09","561400"
561491,"Repossession Services","HFC-125","kg/2021 USD, purchaser price","2.28e-07","0.00e+00","2.28e-07","561400"
561491,"Repossession Services","Methane","kg/2021 USD, purchaser price","4.39e-04","0.00e+00","4.39e-04","561400"
561491,"Repossession Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","561400"
561491,"Repossession Services","HFC-143a","kg/2021 USD, purchaser price","8.51e-08","0.00e+00","8.51e-08","561400"
561491,"Repossession Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.48e-09","0.00e+00","7.48e-09","561400"
561491,"Repossession Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","561400"
561491,"Repossession Services","HFC-236fa","kg/2021 USD, purchaser price","1.53e-09","0.00e+00","1.53e-09","561400"
561491,"Repossession Services","HFC-32","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","561400"
561491,"Repossession Services","HFC-23","kg/2021 USD, purchaser price","1.00e-08","0.00e+00","1.00e-08","561400"
561491,"Repossession Services","Perfluoropropane","kg/2021 USD, purchaser price","2.37e-10","0.00e+00","2.37e-10","561400"
561492,"Court Reporting and Stenotype Services","HFC-125","kg/2021 USD, purchaser price","2.28e-07","0.00e+00","2.28e-07","561400"
561492,"Court Reporting and Stenotype Services","HFC-134a","kg/2021 USD, purchaser price","5.86e-07","0.00e+00","5.86e-07","561400"
561492,"Court Reporting and Stenotype Services","HFC-143a","kg/2021 USD, purchaser price","8.51e-08","0.00e+00","8.51e-08","561400"
561492,"Court Reporting and Stenotype Services","HFC-23","kg/2021 USD, purchaser price","1.00e-08","0.00e+00","1.00e-08","561400"
561492,"Court Reporting and Stenotype Services","Methane","kg/2021 USD, purchaser price","4.39e-04","0.00e+00","4.39e-04","561400"
561492,"Court Reporting and Stenotype Services","Perfluoropropane","kg/2021 USD, purchaser price","2.37e-10","0.00e+00","2.37e-10","561400"
561492,"Court Reporting and Stenotype Services","Hexafluoroethane","kg/2021 USD, purchaser price","3.57e-09","0.00e+00","3.57e-09","561400"
561492,"Court Reporting and Stenotype Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.30e-07","0.00e+00","2.30e-07","561400"
561492,"Court Reporting and Stenotype Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","561400"
561492,"Court Reporting and Stenotype Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","561400"
561492,"Court Reporting and Stenotype Services","HFC-32","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","561400"
561492,"Court Reporting and Stenotype Services","Nitrous oxide","kg/2021 USD, purchaser price","1.48e-05","0.00e+00","1.48e-05","561400"
561492,"Court Reporting and Stenotype Services","Carbon dioxide","kg/2021 USD, purchaser price","1.00e-01","0.00e+00","1.00e-01","561400"
561492,"Court Reporting and Stenotype Services","HFC-236fa","kg/2021 USD, purchaser price","1.53e-09","0.00e+00","1.53e-09","561400"
561492,"Court Reporting and Stenotype Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.31e-10","0.00e+00","7.31e-10","561400"
561492,"Court Reporting and Stenotype Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.48e-09","0.00e+00","7.48e-09","561400"
561499,"All Other Business Support Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","561400"
561499,"All Other Business Support Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.30e-07","0.00e+00","2.30e-07","561400"
561499,"All Other Business Support Services","HFC-236fa","kg/2021 USD, purchaser price","1.53e-09","0.00e+00","1.53e-09","561400"
561499,"All Other Business Support Services","HFC-32","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","561400"
561499,"All Other Business Support Services","Hexafluoroethane","kg/2021 USD, purchaser price","3.57e-09","0.00e+00","3.57e-09","561400"
561499,"All Other Business Support Services","Carbon dioxide","kg/2021 USD, purchaser price","1.00e-01","0.00e+00","1.00e-01","561400"
561499,"All Other Business Support Services","Methane","kg/2021 USD, purchaser price","4.39e-04","0.00e+00","4.39e-04","561400"
561499,"All Other Business Support Services","Perfluoropropane","kg/2021 USD, purchaser price","2.37e-10","0.00e+00","2.37e-10","561400"
561499,"All Other Business Support Services","HFC-143a","kg/2021 USD, purchaser price","8.51e-08","0.00e+00","8.51e-08","561400"
561499,"All Other Business Support Services","Nitrous oxide","kg/2021 USD, purchaser price","1.48e-05","0.00e+00","1.48e-05","561400"
561499,"All Other Business Support Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","561400"
561499,"All Other Business Support Services","HFC-134a","kg/2021 USD, purchaser price","5.86e-07","0.00e+00","5.86e-07","561400"
561499,"All Other Business Support Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.31e-10","0.00e+00","7.31e-10","561400"
561499,"All Other Business Support Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.48e-09","0.00e+00","7.48e-09","561400"
561499,"All Other Business Support Services","HFC-125","kg/2021 USD, purchaser price","2.28e-07","0.00e+00","2.28e-07","561400"
561499,"All Other Business Support Services","HFC-23","kg/2021 USD, purchaser price","1.00e-08","0.00e+00","1.00e-08","561400"
561510,"Travel Agencies","Carbon dioxide","kg/2021 USD, purchaser price","8.65e-02","0.00e+00","8.65e-02","561500"
561510,"Travel Agencies","Methane","kg/2021 USD, purchaser price","3.66e-04","0.00e+00","3.66e-04","561500"
561510,"Travel Agencies","HFC-236fa","kg/2021 USD, purchaser price","2.35e-09","0.00e+00","2.35e-09","561500"
561510,"Travel Agencies","HFC-134a","kg/2021 USD, purchaser price","8.96e-07","0.00e+00","8.96e-07","561500"
561510,"Travel Agencies","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.33e-08","0.00e+00","1.33e-08","561500"
561510,"Travel Agencies","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","0.00e+00","6.92e-10","561500"
561510,"Travel Agencies","HFC-32","kg/2021 USD, purchaser price","2.12e-07","0.00e+00","2.12e-07","561500"
561510,"Travel Agencies","HFC-143a","kg/2021 USD, purchaser price","1.31e-07","0.00e+00","1.31e-07","561500"
561510,"Travel Agencies","Hexafluoroethane","kg/2021 USD, purchaser price","2.99e-09","0.00e+00","2.99e-09","561500"
561510,"Travel Agencies","Nitrous oxide","kg/2021 USD, purchaser price","1.17e-05","0.00e+00","1.17e-05","561500"
561510,"Travel Agencies","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.53e-07","0.00e+00","3.53e-07","561500"
561510,"Travel Agencies","HFC-23","kg/2021 USD, purchaser price","4.31e-09","0.00e+00","4.31e-09","561500"
561510,"Travel Agencies","HFC-125","kg/2021 USD, purchaser price","3.50e-07","0.00e+00","3.50e-07","561500"
561510,"Travel Agencies","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.93e-10","0.00e+00","1.93e-10","561500"
561510,"Travel Agencies","Perfluoropropane","kg/2021 USD, purchaser price","2.25e-10","0.00e+00","2.25e-10","561500"
561510,"Travel Agencies","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.44e-09","0.00e+00","6.44e-09","561500"
561520,"Tour Operators","Carbon dioxide","kg/2021 USD, purchaser price","8.65e-02","0.00e+00","8.65e-02","561500"
561520,"Tour Operators","Methane","kg/2021 USD, purchaser price","3.66e-04","0.00e+00","3.66e-04","561500"
561520,"Tour Operators","HFC-236fa","kg/2021 USD, purchaser price","2.35e-09","0.00e+00","2.35e-09","561500"
561520,"Tour Operators","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.33e-08","0.00e+00","1.33e-08","561500"
561520,"Tour Operators","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","0.00e+00","6.92e-10","561500"
561520,"Tour Operators","HFC-32","kg/2021 USD, purchaser price","2.12e-07","0.00e+00","2.12e-07","561500"
561520,"Tour Operators","Hexafluoroethane","kg/2021 USD, purchaser price","2.99e-09","0.00e+00","2.99e-09","561500"
561520,"Tour Operators","Nitrous oxide","kg/2021 USD, purchaser price","1.17e-05","0.00e+00","1.17e-05","561500"
