ervices","Carbon dioxide","kg/2021 USD, purchaser price","9.75e-02","0.00e+00","9.75e-02","561900"
561990,"All Other Support Services","HFC-143a","kg/2021 USD, purchaser price","1.76e-07","0.00e+00","1.76e-07","561900"
561990,"All Other Support Services","Perfluoropropane","kg/2021 USD, purchaser price","2.06e-10","0.00e+00","2.06e-10","561900"
561990,"All Other Support Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.42e-08","0.00e+00","1.42e-08","561900"
561990,"All Other Support Services","HFC-23","kg/2021 USD, purchaser price","7.76e-09","0.00e+00","7.76e-09","561900"
561990,"All Other Support Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.12e-09","0.00e+00","6.12e-09","561900"
562111,"Solid Waste Collection","Carbon dioxide","kg/2021 USD, purchaser price","1.65e-01","0.00e+00","1.65e-01","562111"
562111,"Solid Waste Collection","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.69e-08","0.00e+00","4.69e-08","562111"
562111,"Solid Waste Collection","Hexafluoroethane","kg/2021 USD, purchaser price","8.53e-09","0.00e+00","8.53e-09","562111"
562111,"Solid Waste Collection","HFC-125","kg/2021 USD, purchaser price","6.33e-07","0.00e+00","6.33e-07","562111"
562111,"Solid Waste Collection","HFC-134a","kg/2021 USD, purchaser price","1.63e-06","0.00e+00","1.63e-06","562111"
562111,"Solid Waste Collection","HFC-143a","kg/2021 USD, purchaser price","2.36e-07","0.00e+00","2.36e-07","562111"
562111,"Solid Waste Collection","HFC-23","kg/2021 USD, purchaser price","2.77e-08","0.00e+00","2.77e-08","562111"
562111,"Solid Waste Collection","HFC-236fa","kg/2021 USD, purchaser price","4.26e-09","0.00e+00","4.26e-09","562111"
562111,"Solid Waste Collection","HFC-32","kg/2021 USD, purchaser price","3.82e-07","0.00e+00","3.82e-07","562111"
562111,"Solid Waste Collection","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.38e-07","0.00e+00","6.38e-07","562111"
562111,"Solid Waste Collection","Methane","kg/2021 USD, purchaser price","7.39e-04","0.00e+00","7.39e-04","562111"
562111,"Solid Waste Collection","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.52e-10","0.00e+00","9.52e-10","562111"
562111,"Solid Waste Collection","Nitrous oxide","kg/2021 USD, purchaser price","2.17e-05","0.00e+00","2.17e-05","562111"
562111,"Solid Waste Collection","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.65e-10","0.00e+00","2.65e-10","562111"
562111,"Solid Waste Collection","Perfluoropropane","kg/2021 USD, purchaser price","3.09e-10","0.00e+00","3.09e-10","562111"
562111,"Solid Waste Collection","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.10e-08","0.00e+00","1.10e-08","562111"
562112,"Hazardous Waste Collection","Carbon dioxide","kg/2021 USD, purchaser price","1.88e-01","0.00e+00","1.88e-01","562HAZ"
562112,"Hazardous Waste Collection","HFC-236fa","kg/2021 USD, purchaser price","3.24e-08","0.00e+00","3.24e-08","562HAZ"
562112,"Hazardous Waste Collection","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.52e-08","0.00e+00","7.52e-08","562HAZ"
562112,"Hazardous Waste Collection","HFC-32","kg/2021 USD, purchaser price","2.91e-06","0.00e+00","2.91e-06","562HAZ"
562112,"Hazardous Waste Collection","Hexafluoroethane","kg/2021 USD, purchaser price","1.30e-08","0.00e+00","1.30e-08","562HAZ"
562112,"Hazardous Waste Collection","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.85e-06","0.00e+00","4.85e-06","562HAZ"
562112,"Hazardous Waste Collection","HFC-125","kg/2021 USD, purchaser price","4.82e-06","0.00e+00","4.82e-06","562HAZ"
562112,"Hazardous Waste Collection","Methane","kg/2021 USD, purchaser price","6.08e-02","0.00e+00","6.08e-02","562HAZ"
562112,"Hazardous Waste Collection","HFC-134a","kg/2021 USD, purchaser price","1.23e-05","0.00e+00","1.23e-05","562HAZ"
562112,"Hazardous Waste Collection","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.39e-09","0.00e+00","1.39e-09","562HAZ"
562112,"Hazardous Waste Collection","HFC-143a","kg/2021 USD, purchaser price","1.80e-06","0.00e+00","1.80e-06","562HAZ"
562112,"Hazardous Waste Collection","Nitrous oxide","kg/2021 USD, purchaser price","7.26e-05","0.00e+00","7.26e-05","562HAZ"
562112,"Hazardous Waste Collection","HFC-23","kg/2021 USD, purchaser price","4.16e-08","0.00e+00","4.16e-08","562HAZ"
562112,"Hazardous Waste Collection","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.86e-10","0.00e+00","3.86e-10","562HAZ"
562112,"Hazardous Waste Collection","Perfluoropropane","kg/2021 USD, purchaser price","4.50e-10","0.00e+00","4.50e-10","562HAZ"
562112,"Hazardous Waste Collection","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.61e-08","0.00e+00","1.61e-08","562HAZ"
562119,"Other Waste Collection","Carbon dioxide","kg/2021 USD, purchaser price","1.20e-01","0.00e+00","1.20e-01","562OTH"
562119,"Other Waste Collection","Methane","kg/2021 USD, purchaser price","1.16e-02","0.00e+00","1.16e-02","562OTH"
562119,"Other Waste Collection","HFC-236fa","kg/2021 USD, purchaser price","3.91e-08","0.00e+00","3.91e-08","562OTH"
562119,"Other Waste Collection","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.52e-08","0.00e+00","4.52e-08","562OTH"
562119,"Other Waste Collection","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.84e-10","0.00e+00","7.84e-10","562OTH"
562119,"Other Waste Collection","HFC-32","kg/2021 USD, purchaser price","3.51e-06","0.00e+00","3.51e-06","562OTH"
562119,"Other Waste Collection","Hexafluoroethane","kg/2021 USD, purchaser price","7.39e-09","0.00e+00","7.39e-09","562OTH"
562119,"Other Waste Collection","Nitrous oxide","kg/2021 USD, purchaser price","5.62e-04","0.00e+00","5.62e-04","562OTH"
562119,"Other Waste Collection","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.86e-06","0.00e+00","5.86e-06","562OTH"
562119,"Other Waste Collection","HFC-23","kg/2021 USD, purchaser price","2.36e-08","0.00e+00","2.36e-08","562OTH"
562119,"Other Waste Collection","HFC-125","kg/2021 USD, purchaser price","5.82e-06","0.00e+00","5.82e-06","562OTH"
562119,"Other Waste Collection","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.18e-10","0.00e+00","2.18e-10","562OTH"
562119,"Other Waste Collection","HFC-134a","kg/2021 USD, purchaser price","1.49e-05","0.00e+00","1.49e-05","562OTH"
562119,"Other Waste Collection","Perfluoropropane","kg/2021 USD, purchaser price","2.54e-10","0.00e+00","2.54e-10","562OTH"
562119,"Other Waste Collection","HFC-143a","kg/2021 USD, purchaser price","2.17e-06","0.00e+00","2.17e-06","562OTH"
562119,"Other Waste Collection","Sulfur hexafluoride","kg/2021 USD, purchaser price","9.13e-09","0.00e+00","9.13e-09","562OTH"
562211,"Hazardous Waste Treatment and Disposal","Carbon dioxide","kg/2021 USD, purchaser price","1.88e-01","0.00e+00","1.88e-01","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.52e-08","0.00e+00","7.52e-08","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Hexafluoroethane","kg/2021 USD, purchaser price","1.30e-08","0.00e+00","1.30e-08","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.85e-06","0.00e+00","4.85e-06","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-125","kg/2021 USD, purchaser price","4.82e-06","0.00e+00","4.82e-06","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Methane","kg/2021 USD, purchaser price","6.08e-02","0.00e+00","6.08e-02","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-134a","kg/2021 USD, purchaser price","1.23e-05","0.00e+00","1.23e-05","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.39e-09","0.00e+00","1.39e-09","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-143a","kg/2021 USD, purchaser price","1.80e-06","0.00e+00","1.80e-06","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Nitrous oxide","kg/2021 USD, purchaser price","7.26e-05","0.00e+00","7.26e-05","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-23","kg/2021 USD, purchaser price","4.16e-08","0.00e+00","4.16e-08","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.86e-10","0.00e+00","3.86e-10","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-236fa","kg/2021 USD, purchaser price","3.24e-08","0.00e+00","3.24e-08","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Perfluoropropane","kg/2021 USD, purchaser price","4.50e-10","0.00e+00","4.50e-10","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","HFC-32","kg/2021 USD, purchaser price","2.91e-06","0.00e+00","2.91e-06","562HAZ"
562211,"Hazardous Waste Treatment and Disposal","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.61e-08","0.00e+00","1.61e-08","562HAZ"
562212,"Solid Waste Landfill","Carbon dioxide","kg/2021 USD, purchaser price","1.43e-01","0.00e+00","1.43e-01","562212"
