ning Supply","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.60e-07","0.00e+00","2.60e-07","221300"
221330,"Steam and Air-Conditioning Supply","Perfluoropropane","kg/2021 USD, purchaser price","2.06e-10","0.00e+00","2.06e-10","221300"
221330,"Steam and Air-Conditioning Supply","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.38e-08","0.00e+00","2.38e-08","221300"
221330,"Steam and Air-Conditioning Supply","Methane","kg/2021 USD, purchaser price","8.40e-03","0.00e+00","8.40e-03","221300"
221330,"Steam and Air-Conditioning Supply","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.37e-08","0.00e+00","1.37e-08","221300"
221330,"Steam and Air-Conditioning Supply","Hexafluoroethane","kg/2021 USD, purchaser price","4.54e-09","0.00e+00","4.54e-09","221300"
221330,"Steam and Air-Conditioning Supply","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.33e-10","0.00e+00","6.33e-10","221300"
221330,"Steam and Air-Conditioning Supply","HFC-236fa","kg/2021 USD, purchaser price","1.73e-09","0.00e+00","1.73e-09","221300"
221330,"Steam and Air-Conditioning Supply","HFC-125","kg/2021 USD, purchaser price","2.58e-07","0.00e+00","2.58e-07","221300"
221330,"Steam and Air-Conditioning Supply","Nitrous oxide","kg/2021 USD, purchaser price","8.13e-04","0.00e+00","8.13e-04","221300"
221330,"Steam and Air-Conditioning Supply","HFC-32","kg/2021 USD, purchaser price","1.56e-07","0.00e+00","1.56e-07","221300"
221330,"Steam and Air-Conditioning Supply","HFC-134a","kg/2021 USD, purchaser price","6.65e-07","0.00e+00","6.65e-07","221300"
221330,"Steam and Air-Conditioning Supply","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.76e-10","0.00e+00","1.76e-10","221300"
221330,"Steam and Air-Conditioning Supply","HFC-23","kg/2021 USD, purchaser price","3.11e-08","0.00e+00","3.11e-08","221300"
221330,"Steam and Air-Conditioning Supply","HFC-143a","kg/2021 USD, purchaser price","9.62e-08","0.00e+00","9.62e-08","221300"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Hexafluoroethane","kg/2021 USD, purchaser price","5.37e-09","0.00e+00","5.37e-09","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Carbon dioxide","kg/2021 USD, purchaser price","1.46e-01","0.00e+00","1.46e-01","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-125","kg/2021 USD, purchaser price","5.44e-07","0.00e+00","5.44e-07","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-143a","kg/2021 USD, purchaser price","2.03e-07","0.00e+00","2.03e-07","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.35e-09","0.00e+00","7.35e-09","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-134a","kg/2021 USD, purchaser price","1.39e-06","0.00e+00","1.39e-06","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.81e-08","0.00e+00","2.81e-08","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Perfluoropropane","kg/2021 USD, purchaser price","2.50e-10","0.00e+00","2.50e-10","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.14e-10","0.00e+00","2.14e-10","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-23","kg/2021 USD, purchaser price","6.30e-09","0.00e+00","6.30e-09","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.69e-10","0.00e+00","7.69e-10","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-32","kg/2021 USD, purchaser price","3.28e-07","0.00e+00","3.28e-07","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.47e-07","0.00e+00","5.47e-07","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Methane","kg/2021 USD, purchaser price","4.05e-04","0.00e+00","4.05e-04","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","HFC-236fa","kg/2021 USD, purchaser price","3.65e-09","0.00e+00","3.65e-09","233411"
236115,"New Single-Family Housing Construction (except For-Sale Builders)","Nitrous oxide","kg/2021 USD, purchaser price","1.48e-05","0.00e+00","1.48e-05","233411"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Hexafluoroethane","kg/2021 USD, purchaser price","2.70e-09","0.00e+00","2.70e-09","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-134a","kg/2021 USD, purchaser price","1.35e-06","0.00e+00","1.35e-06","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Perfluoropropane","kg/2021 USD, purchaser price","1.25e-10","0.00e+00","1.25e-10","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-23","kg/2021 USD, purchaser price","3.26e-09","0.00e+00","3.26e-09","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-143a","kg/2021 USD, purchaser price","1.97e-07","0.00e+00","1.97e-07","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.07e-10","0.00e+00","1.07e-10","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Methane","kg/2021 USD, purchaser price","2.24e-04","0.00e+00","2.24e-04","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-32","kg/2021 USD, purchaser price","3.19e-07","0.00e+00","3.19e-07","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-236fa","kg/2021 USD, purchaser price","3.56e-09","0.00e+00","3.56e-09","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.43e-08","0.00e+00","1.43e-08","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Nitrous oxide","kg/2021 USD, purchaser price","6.74e-06","0.00e+00","6.74e-06","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.90e-09","0.00e+00","3.90e-09","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.33e-07","0.00e+00","5.33e-07","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","HFC-125","kg/2021 USD, purchaser price","5.29e-07","0.00e+00","5.29e-07","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","233412"
236116,"New Multifamily Housing Construction (except For-Sale Builders)","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.85e-10","0.00e+00","3.85e-10","233412"
236117,"New Housing For-Sale Builders","Carbon dioxide","kg/2021 USD, purchaser price","1.71e-01","0.00e+00","1.71e-01","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-236fa","kg/2021 USD, purchaser price","3.94e-09","0.00e+00","3.94e-09","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Perfluoropropane","kg/2021 USD, purchaser price","2.91e-10","0.00e+00","2.91e-10","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.50e-10","0.00e+00","2.50e-10","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-143a","kg/2021 USD, purchaser price","2.19e-07","0.00e+00","2.19e-07","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Nitrous oxide","kg/2021 USD, purchaser price","1.85e-05","0.00e+00","1.85e-05","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Hexafluoroethane","kg/2021 USD, purchaser price","6.29e-09","0.00e+00","6.29e-09","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-134a","kg/2021 USD, purchaser price","1.51e-06","0.00e+00","1.51e-06","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Methane","kg/2021 USD, purchaser price","5.01e-04","0.00e+00","5.01e-04","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-125","kg/2021 USD, purchaser price","5.87e-07","0.00e+00","5.87e-07","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.91e-07","0.00e+00","5.91e-07","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.85e-09","0.00e+00","8.85e-09","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-32","kg/2021 USD, purchaser price","3.54e-07","0.00e+00","3.54e-07","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","HFC-23","kg/2021 USD, purchaser price","7.83e-09","0.00e+00","7.83e-09","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.29e-08","0.00e+00","3.29e-08","233411,2334A0,233412"
236117,"New Housing For-Sale Builders","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.97e-10","0.00e+00","8.97e-10","233411,2334A0,233412"
236118,"Residential Remodelers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","9.56e-07","0.00e+00","9.56e-07","230302"
236118,"Residential Remodelers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.26e-08","0.00e+00","1.26e-08","230302"
236118,"Residential Remodelers","HFC-236fa","kg/2021 USD, purchaser price","6.38e-09","0.00e+00","6.38e-09","230302"
236118,"Residential Remodelers","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.11e-08","0.00e+00","4.11e-08","230302"
236118,"Residential Remodelers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.65e-10","0.00e+00","3.65e-10","230302"
236118,"Residential Remodelers","HFC-125","kg/2021 USD, purchaser price",
