ship Training","Hexafluoroethane","kg/2021 USD, purchaser price","3.84e-09","0.00e+00","3.84e-09","611B00"
611513,"Apprenticeship Training","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.35e-09","0.00e+00","7.35e-09","611B00"
611513,"Apprenticeship Training","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","0.00e+00","2.59e-10","611B00"
611513,"Apprenticeship Training","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","611B00"
611513,"Apprenticeship Training","Methane","kg/2021 USD, purchaser price","5.89e-04","0.00e+00","5.89e-04","611B00"
611513,"Apprenticeship Training","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","611B00"
611513,"Apprenticeship Training","HFC-125","kg/2021 USD, purchaser price","2.49e-07","0.00e+00","2.49e-07","611B00"
611513,"Apprenticeship Training","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","611B00"
611513,"Apprenticeship Training","HFC-23","kg/2021 USD, purchaser price","5.94e-09","0.00e+00","5.94e-09","611B00"
611513,"Apprenticeship Training","HFC-32","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","611B00"
611513,"Apprenticeship Training","HFC-134a","kg/2021 USD, purchaser price","6.37e-07","0.00e+00","6.37e-07","611B00"
611513,"Apprenticeship Training","HFC-236fa","kg/2021 USD, purchaser price","1.67e-09","0.00e+00","1.67e-09","611B00"
611513,"Apprenticeship Training","HFC-143a","kg/2021 USD, purchaser price","9.26e-08","0.00e+00","9.26e-08","611B00"
611519,"Other Technical and Trade Schools","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","611B00"
611519,"Other Technical and Trade Schools","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","611B00"
611519,"Other Technical and Trade Schools","HFC-125","kg/2021 USD, purchaser price","2.49e-07","0.00e+00","2.49e-07","611B00"
611519,"Other Technical and Trade Schools","HFC-134a","kg/2021 USD, purchaser price","6.37e-07","0.00e+00","6.37e-07","611B00"
611519,"Other Technical and Trade Schools","HFC-23","kg/2021 USD, purchaser price","5.94e-09","0.00e+00","5.94e-09","611B00"
611519,"Other Technical and Trade Schools","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","611B00"
611519,"Other Technical and Trade Schools","Methane","kg/2021 USD, purchaser price","5.89e-04","0.00e+00","5.89e-04","611B00"
611519,"Other Technical and Trade Schools","Nitrous oxide","kg/2021 USD, purchaser price","1.17e-05","0.00e+00","1.17e-05","611B00"
611519,"Other Technical and Trade Schools","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","0.00e+00","2.59e-10","611B00"
611519,"Other Technical and Trade Schools","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.35e-09","0.00e+00","7.35e-09","611B00"
611519,"Other Technical and Trade Schools","HFC-236fa","kg/2021 USD, purchaser price","1.67e-09","0.00e+00","1.67e-09","611B00"
