tal Health Specialists)","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.72e-09","0.00e+00","4.72e-09","621100"
621112,"Offices of Physicians, Mental Health Specialists","Carbon dioxide","kg/2021 USD, purchaser price","6.85e-02","0.00e+00","6.85e-02","621100"
621112,"Offices of Physicians, Mental Health Specialists","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.59e-09","0.00e+00","7.59e-09","621100"
621112,"Offices of Physicians, Mental Health Specialists","Hexafluoroethane","kg/2021 USD, purchaser price","1.69e-09","0.00e+00","1.69e-09","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.13e-07","0.00e+00","4.13e-07","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-125","kg/2021 USD, purchaser price","4.10e-07","0.00e+00","4.10e-07","621100"
621112,"Offices of Physicians, Mental Health Specialists","Methane","kg/2021 USD, purchaser price","3.32e-04","0.00e+00","3.32e-04","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-134a","kg/2021 USD, purchaser price","1.05e-06","0.00e+00","1.05e-06","621100"
621112,"Offices of Physicians, Mental Health Specialists","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.06e-10","0.00e+00","4.06e-10","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-143a","kg/2021 USD, purchaser price","1.53e-07","0.00e+00","1.53e-07","621100"
621112,"Offices of Physicians, Mental Health Specialists","Nitrous oxide","kg/2021 USD, purchaser price","1.57e-05","0.00e+00","1.57e-05","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-23","kg/2021 USD, purchaser price","1.83e-08","0.00e+00","1.83e-08","621100"
621112,"Offices of Physicians, Mental Health Specialists","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.13e-10","0.00e+00","1.13e-10","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-236fa","kg/2021 USD, purchaser price","2.76e-09","0.00e+00","2.76e-09","621100"
621112,"Offices of Physicians, Mental Health Specialists","Perfluoropropane","kg/2021 USD, purchaser price","1.32e-10","0.00e+00","1.32e-10","621100"
621112,"Offices of Physicians, Mental Health Specialists","HFC-32","kg/2021 USD, purchaser price","2.48e-07","0.00e+00","2.48e-07","621100"
621112,"Offices of Physicians, Mental Health Specialists","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.72e-09","0.00e+00","4.72e-09","621100"
621210,"Offices of Dentists","Carbon dioxide","kg/2021 USD, purchaser price","7.62e-02","0.00e+00","7.62e-02","621200"
621210,"Offices of Dentists","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.22e-09","0.00e+00","9.22e-09","621200"
621210,"Offices of Dentists","Hexafluoroethane","kg/2021 USD, purchaser price","2.09e-09","0.00e+00","2.09e-09","621200"
621210,"Offices of Dentists","HFC-125","kg/2021 USD, purchaser price","3.11e-07","0.00e+00","3.11e-07","621200"
621210,"Offices of Dentists","HFC-134a","kg/2021 USD, purchaser price","8.09e-07","0.00e+00","8.09e-07","621200"
621210,"Offices of Dentists","HFC-143a","kg/2021 USD, purchaser price","1.16e-07","0.00e+00","1.16e-07","621200"
621210,"Offices of Dentists","HFC-23","kg/2021 USD, purchaser price","1.10e-08","0.00e+00","1.10e-08","621200"
621210,"Offices of Dentists","HFC-236fa","kg/2021 USD, purchaser price","2.09e-09","0.00e+00","2.09e-09","621200"
621210,"Offices of Dentists","HFC-32","kg/2021 USD, purchaser price","1.88e-07","0.00e+00","1.88e-07","621200"
621210,"Offices of Dentists","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.13e-07","0.00e+00","3.13e-07","621200"
621210,"Offices of Dentists","Methane","kg/2021 USD, purchaser price","2.95e-04","0.00e+00","2.95e-04","621200"
621210,"Offices of Dentists","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.04e-10","0.00e+00","5.04e-10","621200"
621210,"Offices of Dentists","Nitrous oxide","kg/2021 USD, purchaser price","1.14e-05","0.00e+00","1.14e-05","621200"
621210,"Offices of Dentists","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.40e-10","0.00e+00","1.40e-10","621200"
621210,"Offices of Dentists","Perfluoropropane","kg/2021 USD, purchaser price","1.64e-10","0.00e+00","1.64e-10","621200"
621210,"Offices of Dentists","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.33e-08","0.00e+00","1.33e-08","621200"
621310,"Offices of Chiropractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.95e-07","0.00e+00","1.95e-07","621300"
621310,"Offices of Chiropractors","Methane","kg/2021 USD, purchaser price","3.93e-04","0.00e+00","3.93e-04","621300"
621310,"Offices of Chiropractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.97e-10","0.00e+00","2.97e-10","621300"
621310,"Offices of Chiropractors","Nitrous oxide","kg/2021 USD, purchaser price","3.99e-05","0.00e+00","3.99e-05","621300"
621310,"Offices of Chiropractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.28e-11","0.00e+00","8.28e-11","621300"
621310,"Offices of Chiropractors","Carbon dioxide","kg/2021 USD, purchaser price","9.52e-02","0.00e+00","9.52e-02","621300"
621310,"Offices of Chiropractors","Perfluoropropane","kg/2021 USD, purchaser price","9.66e-11","0.00e+00","9.66e-11","621300"
621310,"Offices of Chiropractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.66e-09","0.00e+00","6.66e-09","621300"
621310,"Offices of Chiropractors","HFC-236fa","kg/2021 USD, purchaser price","1.30e-09","0.00e+00","1.30e-09","621300"
621310,"Offices of Chiropractors","Hexafluoroethane","kg/2021 USD, purchaser price","1.42e-09","0.00e+00","1.42e-09","621300"
621310,"Offices of Chiropractors","HFC-32","kg/2021 USD, purchaser price","1.17e-07","0.00e+00","1.17e-07","621300"
621310,"Offices of Chiropractors","HFC-125","kg/2021 USD, purchaser price","1.94e-07","0.00e+00","1.94e-07","621300"
621310,"Offices of Chiropractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.70e-09","0.00e+00","5.70e-09","621300"
621310,"Offices of Chiropractors","HFC-134a","kg/2021 USD, purchaser price","4.96e-07","0.00e+00","4.96e-07","621300"
621310,"Offices of Chiropractors","HFC-143a","kg/2021 USD, purchaser price","7.23e-08","0.00e+00","7.23e-08","621300"
621310,"Offices of Chiropractors","HFC-23","kg/2021 USD, purchaser price","7.03e-08","0.00e+00","7.03e-08","621300"
621320,"Offices of Optometrists","Carbon dioxide","kg/2021 USD, purchaser price","9.52e-02","0.00e+00","9.52e-02","621300"
621320,"Offices of Optometrists","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.95e-07","0.00e+00","1.95e-07","621300"
621320,"Offices of Optometrists","HFC-236fa","kg/2021 USD, purchaser price","1.30e-09","0.00e+00","1.30e-09","621300"
621320,"Offices of Optometrists","Methane","kg/2021 USD, purchaser price","3.93e-04","0.00e+00","3.93e-04","621300"
621320,"Offices of Optometrists","Perfluoropropane","kg/2021 USD, purchaser price","9.66e-11","0.00e+00","9.66e-11","621300"
621320,"Offices of Optometrists","HFC-125","kg/2021 USD, purchaser price","1.94e-07","0.00e+00","1.94e-07","621300"
621320,"Offices of Optometrists","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.66e-09","0.00e+00","6.66e-09","621300"
621320,"Offices of Optometrists","HFC-134a","kg/2021 USD, purchaser price","4.96e-07","0.00e+00","4.96e-07","621300"
621320,"Offices of Optometrists","HFC-32","kg/2021 USD, purchaser price","1.17e-07","0.00e+00","1.17e-07","621300"
621320,"Offices of Optometrists","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.97e-10","0.00e+00","2.97e-10","621300"
621320,"Offices of Optometrists","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.70e-09","0.00e+00","5.70e-09","621300"
621320,"Offices of Optometrists","Nitrous oxide","kg/2021 USD, purchaser price","3.99e-05","0.00e+00","3.99e-05","621300"
621320,"Offices of Optometrists","Hexafluoroethane","kg/2021 USD, purchaser price","1.42e-09","0.00e+00","1.42e-09","621300"
621320,"Offices of Optometrists","HFC-143a","kg/2021 USD, purchaser price","7.23e-08","0.00e+00","7.23e-08","621300"
621320,"Offices of Optometrists","HFC-23","kg/2021 USD, purchaser price","7.03e-08","0.00e+00","7.03e-08","621300"
621320,"Offices of Optometrists","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.28e-11","0.00e+00","8.28e-11","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Carbon dioxide","kg/2021 USD, purchaser price","9.52e-02","0.00e+00","9.52e-02","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.66e-09","0.00e+00","6.66e-09","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Perfluoropropane","kg/2021 USD, purchaser price","9.66e-11","0.00e+00","9.66e-11","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","HFC-236fa","kg/2021 USD, purchaser price","1.30e-09","0.00e+00","1.30e-09","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.70e-09","0.00e+00","5.70e-09","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","HFC-32","kg/2021 USD, purchaser price","1.17e-07","0.00e+00","1.17e-07","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Hexafluoroethane","kg/2021 USD, purchaser price","1.42e-09","0.00e+00","1.42e-09","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.95e-07","0.00e+00","1.95e-07","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","HFC-125","kg/2021 USD, purchaser price","1.94e-07","0.00e+00","1.94e-07","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Methane","kg/2021 USD, purchaser price","3.93e-04","0.00e+00","3.93e-04","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","HFC-134a","kg/2021 USD, purchaser price","4.96e-07","0.00e+00","4.96e-07","621300"
621330,"Offices of Mental Health Practitioners (except Physicians)","Nitrogen trifluoride","kg/2021 USD, purchaser price","2
