ervices","HFC-125","kg/2021 USD, purchaser price","3.44e-07","0.00e+00","3.44e-07","624400"
624410,"Child Day Care Services","HFC-134a","kg/2021 USD, purchaser price","8.82e-07","0.00e+00","8.82e-07","624400"
624410,"Child Day Care Services","HFC-143a","kg/2021 USD, purchaser price","1.28e-07","0.00e+00","1.28e-07","624400"
624410,"Child Day Care Services","HFC-23","kg/2021 USD, purchaser price","4.28e-09","0.00e+00","4.28e-09","624400"
624410,"Child Day Care Services","HFC-236fa","kg/2021 USD, purchaser price","2.31e-09","0.00e+00","2.31e-09","624400"
624410,"Child Day Care Services","HFC-32","kg/2021 USD, purchaser price","2.08e-07","0.00e+00","2.08e-07","624400"
624410,"Child Day Care Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.47e-07","0.00e+00","3.47e-07","624400"
624410,"Child Day Care Services","Methane","kg/2021 USD, purchaser price","1.35e-03","0.00e+00","1.35e-03","624400"
624410,"Child Day Care Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.56e-10","0.00e+00","3.56e-10","624400"
624410,"Child Day Care Services","Nitrous oxide","kg/2021 USD, purchaser price","5.50e-05","0.00e+00","5.50e-05","624400"
624410,"Child Day Care Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.92e-11","0.00e+00","9.92e-11","624400"
624410,"Child Day Care Services","Perfluoropropane","kg/2021 USD, purchaser price","1.16e-10","0.00e+00","1.16e-10","624400"
624410,"Child Day Care Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.44e-09","0.00e+00","8.44e-09","624400"
711110,"Theater Companies and Dinner Theaters","Carbon dioxide","kg/2021 USD, purchaser price","7.25e-02","0.00e+00","7.25e-02","711100"
711110,"Theater Companies and Dinner Theaters","Methane","kg/2021 USD, purchaser price","2.95e-04","0.00e+00","2.95e-04","711100"
711110,"Theater Companies and Dinner Theaters","HFC-236fa","kg/2021 USD, purchaser price","1.00e-09","0.00e+00","1.00e-09","711100"
711110,"Theater Companies and Dinner Theaters","HFC-134a","kg/2021 USD, purchaser price","3.81e-07","0.00e+00","3.81e-07","711100"
711110,"Theater Companies and Dinner Theaters","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.62e-09","0.00e+00","6.62e-09","711100"
711110,"Theater Companies and Dinner Theaters","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.51e-10","0.00e+00","2.51e-10","711100"
711110,"Theater Companies and Dinner Theaters","HFC-32","kg/2021 USD, purchaser price","8.99e-08","0.00e+00","8.99e-08","711100"
711110,"Theater Companies and Dinner Theaters","HFC-143a","kg/2021 USD, purchaser price","5.55e-08","0.00e+00","5.55e-08","711100"
711110,"Theater Companies and Dinner Theaters","Hexafluoroethane","kg/2021 USD, purchaser price","1.36e-09","0.00e+00","1.36e-09","711100"
711110,"Theater Companies and Dinner Theaters","Nitrous oxide","kg/2021 USD, purchaser price","9.22e-06","0.00e+00","9.22e-06","711100"
711110,"Theater Companies and Dinner Theaters","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","711100"
711110,"Theater Companies and Dinner Theaters","HFC-23","kg/2021 USD, purchaser price","3.06e-09","0.00e+00","3.06e-09","711100"
711110,"Theater Companies and Dinner Theaters","HFC-125","kg/2021 USD, purchaser price","1.49e-07","0.00e+00","1.49e-07","711100"
711110,"Theater Companies and Dinner Theaters","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.97e-11","0.00e+00","6.97e-11","711100"
711110,"Theater Companies and Dinner Theaters","Perfluoropropane","kg/2021 USD, purchaser price","8.13e-11","0.00e+00","8.13e-11","711100"
711110,"Theater Companies and Dinner Theaters","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.94e-09","0.00e+00","4.94e-09","711100"
711120,"Dance Companies","Carbon dioxide","kg/2021 USD, purchaser price","7.25e-02","0.00e+00","7.25e-02","711100"
711120,"Dance Companies","Methane","kg/2021 USD, purchaser price","2.95e-04","0.00e+00","2.95e-04","711100"
711120,"Dance Companies","HFC-236fa","kg/2021 USD, purchaser price","1.00e-09","0.00e+00","1.00e-09","711100"
711120,"Dance Companies","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.62e-09","0.00e+00","6.62e-09","711100"
711120,"Dance Companies","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.51e-10","0.00e+00","2.51e-10","711100"
711120,"Dance Companies","HFC-32","kg/2021 USD, purchaser price","8.99e-08","0.00e+00","8.99e-08","711100"
711120,"Dance Companies","Hexafluoroethane","kg/2021 USD, purchaser price","1.36e-09","0.00e+00","1.36e-09","711100"
711120,"Dance Companies","Nitrous oxide","kg/2021 USD, purchaser price","9.22e-06","0.00e+00","9.22e-06","711100"
711120,"Dance Companies","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","711100"
711120,"Dance Companies","HFC-23","kg/2021 USD, purchaser price","3.06e-09","0.00e+00","3.06e-09","711100"
711120,"Dance Companies","HFC-125","kg/2021 USD, purchaser price","1.49e-07","0.00e+00","1.49e-07","711100"
711120,"Dance Companies","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.97e-11","0.00e+00","6.97e-11","711100"
711120,"Dance Companies","HFC-134a","kg/2021 USD, purchaser price","3.81e-07","0.00e+00","3.81e-07","711100"
711120,"Dance Companies","Perfluoropropane","kg/2021 USD, purchaser price","8.13e-11","0.00e+00","8.13e-11","711100"
711120,"Dance Companies","HFC-143a","kg/2021 USD, purchaser price","5.55e-08","0.00e+00","5.55e-08","711100"
711120,"Dance Companies","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.94e-09","0.00e+00","4.94e-09","711100"
711130,"Musical Groups and Artists","Carbon dioxide","kg/2021 USD, purchaser price","7.25e-02","0.00e+00","7.25e-02","711100"
711130,"Musical Groups and Artists","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.62e-09","0.00e+00","6.62e-09","711100"
