"
713290,"Other Gambling Industries","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.55e-10","0.00e+00","5.55e-10","713200"
713290,"Other Gambling Industries","HFC-143a","kg/2021 USD, purchaser price","1.45e-07","0.00e+00","1.45e-07","713200"
713290,"Other Gambling Industries","Nitrous oxide","kg/2021 USD, purchaser price","2.91e-05","0.00e+00","2.91e-05","713200"
713290,"Other Gambling Industries","HFC-23","kg/2021 USD, purchaser price","7.87e-09","0.00e+00","7.87e-09","713200"
713290,"Other Gambling Industries","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.55e-10","0.00e+00","1.55e-10","713200"
713290,"Other Gambling Industries","HFC-236fa","kg/2021 USD, purchaser price","2.62e-09","0.00e+00","2.62e-09","713200"
713290,"Other Gambling Industries","Perfluoropropane","kg/2021 USD, purchaser price","1.80e-10","0.00e+00","1.80e-10","713200"
713290,"Other Gambling Industries","HFC-32","kg/2021 USD, purchaser price","2.36e-07","0.00e+00","2.36e-07","713200"
713290,"Other Gambling Industries","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.70e-09","0.00e+00","8.70e-09","713200"
713910,"Golf Courses and Country Clubs","Carbon dioxide","kg/2021 USD, purchaser price","2.10e-01","0.00e+00","2.10e-01","713900"
713910,"Golf Courses and Country Clubs","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","713900"
713910,"Golf Courses and Country Clubs","HFC-236fa","kg/2021 USD, purchaser price","2.92e-09","0.00e+00","2.92e-09","713900"
713910,"Golf Courses and Country Clubs","Methane","kg/2021 USD, purchaser price","2.00e-03","0.00e+00","2.00e-03","713900"
713910,"Golf Courses and Country Clubs","Perfluoropropane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","713900"
713910,"Golf Courses and Country Clubs","HFC-125","kg/2021 USD, purchaser price","4.34e-07","0.00e+00","4.34e-07","713900"
713910,"Golf Courses and Country Clubs","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.28e-08","0.00e+00","2.28e-08","713900"
713910,"Golf Courses and Country Clubs","HFC-134a","kg/2021 USD, purchaser price","1.11e-06","0.00e+00","1.11e-06","713900"
713910,"Golf Courses and Country Clubs","HFC-32","kg/2021 USD, purchaser price","2.62e-07","0.00e+00","2.62e-07","713900"
713910,"Golf Courses and Country Clubs","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.24e-10","0.00e+00","6.24e-10","713900"
713910,"Golf Courses and Country Clubs","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","713900"
713910,"Golf Courses and Country Clubs","Nitrous oxide","kg/2021 USD, purchaser price","1.58e-04","0.00e+00","1.58e-04","713900"
713910,"Golf Courses and Country Clubs","Hexafluoroethane","kg/2021 USD, purchaser price","4.36e-09","0.00e+00","4.36e-09","713900"
713910,"Golf Courses and Country Clubs","HFC-143a","kg/2021 USD, purchaser price","1.62e-07","0.00e+00","1.62e-07","713900"
713910,"Golf Courses and Country Clubs","HFC-23","kg/2021 USD, purchaser price","7.65e-09","0.00e+00","7.65e-09","713900"
713910,"Golf Courses and Country Clubs","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.74e-10","0.00e+00","1.74e-10","713900"
713920,"Skiing Facilities","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","713900"
713920,"Skiing Facilities","Methane","kg/2021 USD, purchaser price","2.00e-03","0.00e+00","2.00e-03","713900"
713920,"Skiing Facilities","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.24e-10","0.00e+00","6.24e-10","713900"
713920,"Skiing Facilities","Nitrous oxide","kg/2021 USD, purchaser price","1.58e-04","0.00e+00","1.58e-04","713900"
713920,"Skiing Facilities","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.74e-10","0.00e+00","1.74e-10","713900"
713920,"Skiing Facilities","Carbon dioxide","kg/2021 USD, purchaser price","2.10e-01","0.00e+00","2.10e-01","713900"
713920,"Skiing Facilities","Perfluoropropane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","713900"
713920,"Skiing Facilities","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.28e-08","0.00e+00","2.28e-08","713900"
713920,"Skiing Facilities","HFC-236fa","kg/2021 USD, purchaser price","2.92e-09","0.00e+00","2.92e-09","713900"
713920,"Skiing Facilities","Hexafluoroethane","kg/2021 USD, purchaser price","4.36e-09","0.00e+00","4.36e-09","713900"
713920,"Skiing Facilities","HFC-32","kg/2021 USD, purchaser price","2.62e-07","0.00e+00","2.62e-07","713900"
713920,"Skiing Facilities","HFC-125","kg/2021 USD, purchaser price","4.34e-07","0.00e+00","4.34e-07","713900"
713920,"Skiing Facilities","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","713900"
713920,"Skiing Facilities","HFC-134a","kg/2021 USD, purchaser price","1.11e-06","0.00e+00","1.11e-06","713900"
