(except Veterinary) Services","HFC-23","kg/2021 USD, purchaser price","4.41e-09","0.00e+00","4.41e-09","812900"
812910,"Pet Care (except Veterinary) Services","Perfluoropropane","kg/2021 USD, purchaser price","1.87e-10","0.00e+00","1.87e-10","812900"
812910,"Pet Care (except Veterinary) Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.84e-07","0.00e+00","1.84e-07","812900"
812910,"Pet Care (except Veterinary) Services","HFC-134a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","812900"
812910,"Pet Care (except Veterinary) Services","Nitrous oxide","kg/2021 USD, purchaser price","1.34e-05","0.00e+00","1.34e-05","812900"
812910,"Pet Care (except Veterinary) Services","HFC-236fa","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","812900"
812910,"Pet Care (except Veterinary) Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.56e-09","0.00e+00","6.56e-09","812900"
812921,"Photofinishing Laboratories (except One-Hour)","HFC-32","kg/2021 USD, purchaser price","1.10e-07","0.00e+00","1.10e-07","812900"
812921,"Photofinishing Laboratories (except One-Hour)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.84e-07","0.00e+00","1.84e-07","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Carbon dioxide","kg/2021 USD, purchaser price","8.30e-02","0.00e+00","8.30e-02","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.39e-08","0.00e+00","1.39e-08","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Hexafluoroethane","kg/2021 USD, purchaser price","2.94e-09","0.00e+00","2.94e-09","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Methane","kg/2021 USD, purchaser price","3.87e-04","0.00e+00","3.87e-04","812900"
812921,"Photofinishing Laboratories (except One-Hour)","HFC-143a","kg/2021 USD, purchaser price","6.81e-08","0.00e+00","6.81e-08","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.60e-10","0.00e+00","1.60e-10","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Perfluoropropane","kg/2021 USD, purchaser price","1.87e-10","0.00e+00","1.87e-10","812900"
812921,"Photofinishing Laboratories (except One-Hour)","HFC-125","kg/2021 USD, purchaser price","1.83e-07","0.00e+00","1.83e-07","812900"
812921,"Photofinishing Laboratories (except One-Hour)","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.75e-10","0.00e+00","5.75e-10","812900"
