t, Conservation and Wildlife Organizations","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.71e-11","0.00e+00","9.71e-11","813A00"
813312,"Environment, Conservation and Wildlife Organizations","HFC-32","kg/2021 USD, purchaser price","6.72e-08","0.00e+00","6.72e-08","813A00"
813312,"Environment, Conservation and Wildlife Organizations","Perfluoropropane","kg/2021 USD, purchaser price","1.13e-10","0.00e+00","1.13e-10","813A00"
813312,"Environment, Conservation and Wildlife Organizations","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.39e-09","0.00e+00","8.39e-09","813A00"
813312,"Environment, Conservation and Wildlife Organizations","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.97e-09","0.00e+00","3.97e-09","813A00"
813312,"Environment, Conservation and Wildlife Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","1.78e-09","0.00e+00","1.78e-09","813A00"
813312,"Environment, Conservation and Wildlife Organizations","HFC-125","kg/2021 USD, purchaser price","1.11e-07","0.00e+00","1.11e-07","813A00"
813312,"Environment, Conservation and Wildlife Organizations","HFC-134a","kg/2021 USD, purchaser price","2.86e-07","0.00e+00","2.86e-07","813A00"
813312,"Environment, Conservation and Wildlife Organizations","HFC-143a","kg/2021 USD, purchaser price","4.15e-08","0.00e+00","4.15e-08","813A00"
813312,"Environment, Conservation and Wildlife Organizations","HFC-23","kg/2021 USD, purchaser price","2.99e-09","0.00e+00","2.99e-09","813A00"
813319,"Other Social Advocacy Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","1.78e-09","0.00e+00","1.78e-09","813A00"
813319,"Other Social Advocacy Organizations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.12e-07","0.00e+00","1.12e-07","813A00"
813319,"Other Social Advocacy Organizations","Methane","kg/2021 USD, purchaser price","2.10e-04","0.00e+00","2.10e-04","813A00"
813319,"Other Social Advocacy Organizations","HFC-125","kg/2021 USD, purchaser price","1.11e-07","0.00e+00","1.11e-07","813A00"
813319,"Other Social Advocacy Organizations","HFC-134a","kg/2021 USD, purchaser price","2.86e-07","0.00e+00","2.86e-07","813A00"
813319,"Other Social Advocacy Organizations","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.49e-10","0.00e+00","3.49e-10","813A00"
813319,"Other Social Advocacy Organizations","HFC-143a","kg/2021 USD, purchaser price","4.15e-08","0.00e+00","4.15e-08","813A00"
813319,"Other Social Advocacy Organizations","Nitrous oxide","kg/2021 USD, purchaser price","6.60e-06","0.00e+00","6.60e-06","813A00"
813319,"Other Social Advocacy Organizations","HFC-23","kg/2021 USD, purchaser price","2.99e-09","0.00e+00","2.99e-09","813A00"
813319,"Other Social Advocacy Organizations","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.71e-11","0.00e+00","9.71e-11","813A00"
813319,"Other Social Advocacy Organizations","HFC-236fa","kg/2021 USD, purchaser price","7.48e-10","0.00e+00","7.48e-10","813A00"
813319,"Other Social Advocacy Organizations","Carbon dioxide","kg/2021 USD, purchaser price","5.61e-02","0.00e+00","5.61e-02","813A00"
813319,"Other Social Advocacy Organizations","HFC-32","kg/2021 USD, purchaser price","6.72e-08","0.00e+00","6.72e-08","813A00"
813319,"Other Social Advocacy Organizations","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.39e-09","0.00e+00","8.39e-09","813A00"
813319,"Other Social Advocacy Organizations","Perfluoropropane","kg/2021 USD, purchaser price","1.13e-10","0.00e+00","1.13e-10","813A00"
813319,"Other Social Advocacy Organizations","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.97e-09","0.00e+00","3.97e-09","813A00"
813410,"Civic and Social Organizations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813410,"Civic and Social Organizations","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
813410,"Civic and Social Organizations","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.53e-10","0.00e+00","4.53e-10","813B00"
813410,"Civic and Social Organizations","Carbon dioxide","kg/2021 USD, purchaser price","1.03e-01","0.00e+00","1.03e-01","813B00"
813410,"Civic and Social Organizations","Nitrous oxide","kg/2021 USD, purchaser price","2.24e-05","0.00e+00","2.24e-05","813B00"
813410,"Civic and Social Organizations","HFC-236fa","kg/2021 USD, purchaser price","8.46e-09","0.00e+00","8.46e-09","813B00"
813410,"Civic and Social Organizations","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","813B00"
813410,"Civic and Social Organizations","HFC-32","kg/2021 USD, purchaser price","7.60e-07","0.00e+00","7.60e-07","813B00"
813410,"Civic and Social Organizations","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-10","0.00e+00","1.47e-10","813B00"
813410,"Civic and Social Organizations","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.56e-08","0.00e+00","1.56e-08","813B00"
813410,"Civic and Social Organizations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.40e-09","0.00e+00","7.40e-09","813B00"
813410,"Civic and Social Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813410,"Civic and Social Organizations","HFC-125","kg/2021 USD, purchaser price","1.26e-06","0.00e+00","1.26e-06","813B00"
813410,"Civic and Social Organizations","HFC-134a","kg/2021 USD, purchaser price","3.22e-06","0.00e+00","3.22e-06","813B00"
813410,"Civic and Social Organizations","HFC-143a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","813B00"
813410,"Civic and Social Organizations","HFC-23","kg/2021 USD, purchaser price","4.56e-09","0.00e+00","4.56e-09","813B00"
813910,"Business Associations","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813910,"Business Associations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813910,"Business Associations","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
813910,"Business Associations","HFC-125","kg/2021 USD, purchaser price","1.26e-06","0.00e+00","1.26e-06","813B00"
813910,"Business Associations","HFC-134a","kg/2021 USD, purchaser price","3.22e-06","0.00e+00","3.22e-06","813B00"
813910,"Business Associations","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.53e-10","0.00e+00","4.53e-10","813B00"
813910,"Business Associations","HFC-143a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","813B00"
813910,"Business Associations","Nitrous oxide","kg/2021 USD, purchaser price","2.24e-05","0.00e+00","2.24e-05","813B00"
813910,"Business Associations","HFC-23","kg/2021 USD, purchaser price","4.56e-09","0.00e+00","4.56e-09","813B00"
813910,"Business Associations","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.26e-10","0.00e+00","1.26e-10","813B00"
813910,"Business Associations","HFC-236fa","kg/2021 USD, purchaser price","8.46e-09","0.00e+00","8.46e-09","813B00"
813910,"Business Associations","Carbon dioxide","kg/2021 USD, purchaser price","1.03e-01","0.00e+00","1.03e-01","813B00"
813910,"Business Associations","HFC-32","kg/2021 USD, purchaser price","7.60e-07","0.00e+00","7.60e-07","813B00"
813910,"Business Associations","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.56e-08","0.00e+00","1.56e-08","813B00"
813910,"Business Associations","Perfluoropropane","kg/2021 USD, purchaser price","1.47e-10","0.00e+00","1.47e-10","813B00"
813910,"Business Associations","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.40e-09","0.00e+00","7.40e-09","813B00"
813920,"Professional Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","2.89e-09","0.00e+00","2.89e-09","813B00"
813920,"Professional Organizations","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.27e-06","0.00e+00","1.27e-06","813B00"
813920,"Professional Organizations","Methane","kg/2021 USD, purchaser price","5.79e-04","0.00e+00","5.79e-04","813B00"
