ering Construction","Nitrous oxide","kg/2021 USD, purchaser price","2.40e-05","0.00e+00","2.40e-05","2332D0"
237990,"Other Heavy and Civil Engineering Construction","HFC-32","kg/2021 USD, purchaser price","3.97e-07","0.00e+00","3.97e-07","2332D0"
237990,"Other Heavy and Civil Engineering Construction","Perfluoropropane","kg/2021 USD, purchaser price","4.37e-10","0.00e+00","4.37e-10","2332D0"
237990,"Other Heavy and Civil Engineering Construction","Hexafluoroethane","kg/2021 USD, purchaser price","1.00e-08","0.00e+00","1.00e-08","2332D0"
237990,"Other Heavy and Civil Engineering Construction","HFC-125","kg/2021 USD, purchaser price","6.58e-07","0.00e+00","6.58e-07","2332D0"
237990,"Other Heavy and Civil Engineering Construction","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.30e-08","0.00e+00","1.30e-08","2332D0"
238110,"Poured Concrete Foundation and Structure Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
