oning Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","233412,230301,2332A0,230302,233230,233262,233411,2332D0,2334A0,233240,233210"
238290,"Other Building Equipment Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238290,"Other Building Equipment Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233262,2332A0,233411,2332D0,2334A0,233210,233240,230302,233412,230301,233230"
238310,"Drywall and Insulation Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238310,"Drywall and Insulation Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233210,233240,233411,2334A0,230301,233412,2332A0,2332D0,230302,233262,233230"
238320,"Painting and Wall Covering Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","230301,2334A0,2332A0,233240,233262,233230,2
