 Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238350,"Finish Carpentry Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238390,"Other Building Finishing Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238390,"Other Building Finishing Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233411,233230,2332A0,2334A0,233240,233210,233412,230301,2332D0,230302,233262"
238910,"Site Preparation Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
