262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
311111,"Dog and Cat Food Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.02e-01","5.27e-02","2.55e-01","311111"
311111,"Dog and Cat Food Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.59e-07","6.09e-09","2.66e-07","311111"
311111,"Dog and Cat Food Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.15e-08","1.49e-09","4.30e-08","311111"
311111,"Dog and Cat Food Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.47e-07","1.26e-07","2.73e-07","311111"
311111,"Dog and Cat Food Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.82e-07","3.22e-07","7.04e-07","311111"
