 Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.30e-08","2.02e-09","1.50e-08","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","3.04e-09","5.93e-10","3.64e-09","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.73e-07","5.33e-08","3.27e-07","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.56e-07","8.89e-08","5.45e-07","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Methane","kg/2021 USD, purchaser price","8.25e-03","1.38e-04","8.39e-03","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.92e-10","3.07e-10","1.20e-09","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","3.32e-04","5.11e-06","3.38e-04","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.48e-10","8.54e-11","3.34e-10","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.90e-10","9.96e-11","3.89e-10","311520"
311520,"Ice Cream and Frozen Dessert Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.24e-08","2.90e-09","1.52e-08","311520"
311611,"Animal (except Poultry) Slaughtering","Carbon dioxide","kg/2021 USD, purchaser price","2.52e-01","3.59e-02","2.88e-01","31161A"
311611,"Animal (except Poultry) Slaughtering","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.81e-07","8.36e-08","2.65e-07","31161A"
311611,"Animal (except Poultry) Slaughtering","Perfluoropropane","kg/2021 USD, purchaser price","1.44e-10","8.61e-11","2.30e-10","31161A"
311611,"Animal (except Poultry) Slaughtering","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.08e-08","3.97e-09","1.47e-08","31161A"
311611,"Animal (except Poultry) Slaughtering","Methane","kg/2021 USD, purchaser price","2.16e-02","1.32e-04","2.17e-02","31161A"
311611,"Animal (except Poultry) Slaughtering","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.90e-09","2.84e-09","8.74e-09","31161A"
311611,"Animal (except Poultry) Slaughtering","Hexafluoroethane","kg/2021 USD, purchaser price","2.27e-09","9.75e-10","3.24e-09","31161A"
311611,"Animal (except Poultry) Slaughtering","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.44e-10","2.65e-10","7.09e-10","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-236fa","kg/2021 USD, purchaser price","1.21e-09","5.58e-10","1.77e-09","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-125","kg/2021 USD, purchaser price","1.80e-07","8.30e-08","2.63e-07","31161A"
311611,"Animal (except Poultry) Slaughtering","Nitrous oxide","kg/2021 USD, purchaser price","1.49e-03","4.82e-06","1.49e-03","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-32","kg/2021 USD, purchaser price","1.09e-07","5.01e-08","1.59e-07","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-134a","kg/2021 USD, purchaser price","4.62e-07","2.13e-07","6.75e-07","31161A"
311611,"Animal (except Poultry) Slaughtering","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.23e-10","7.38e-11","1.97e-10","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-23","kg/2021 USD, purchaser price","8.09e-09","1.72e-09","9.81e-09","31161A"
311611,"Animal (except Poultry) Slaughtering","HFC-143a","kg/2021 USD, purchaser price","6.72e-08","3.09e-08","9.81e-08","31161A"
311612,"Meat Processed from Carcasses","HFC-143a","kg/2021 USD, purchaser price","6.72e-08","3.09e-08","9.81e-08","31161A"
311612,"Meat Processed from Carcasses","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.08e-08","3.97e-09","1.47e-08","31161A"
311612,"Meat Processed from Carcasses","Carbon dioxide","kg/2021 USD, purchaser price","2.52e-01","3.59e-02","2.88e-01","31161A"
311612,"Meat Processed from Carcasses","HFC-23","kg/2021 USD, purchaser price","8.09e-09","1.72e-09","9.81e-09","31161A"
311612,"Meat Processed from Carcasses","Hexafluoroethane","kg/2021 USD, purchaser price","2.27e-09","9.75e-10","3.24e-09","31161A"
311612,"Meat Processed from Carcasses","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.44e-10","2.65e-10","7.09e-10","31161A"
311612,"Meat Processed from Carcasses","HFC-236fa","kg/2021 USD, purchaser price","1.21e-09","5.58e-10","1.77e-09","31161A"
311612,"Meat Processed from Carcasses","HFC-125","kg/2021 USD, purchaser price","1.80e-07","8.30e-08","2.63e-07","31161A"
311612,"Meat Processed from Carcasses","Nitrous oxide","kg/2021 USD, purchaser price","1.49e-03","4.82e-06","1.49e-03","31161A"
311612,"Meat Processed from Carcasses","HFC-32","kg/2021 USD, purchaser price","1.09e-07","5.01e-08","1.59e-07","31161A"
311612,"Meat Processed from Carcasses","HFC-134a","kg/2021 USD, purchaser price","4.62e-07","2.13e-07","6.75e-07","31161A"
311612,"Meat Processed from Carcasses","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.23e-10","7.38e-11","1.97e-10","31161A"
311612,"Meat Processed from Carcasses","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.81e-07","8.36e-08","2.65e-07","31161A"
311612,"Meat Processed from Carcasses","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.90e-09","2.84e-09","8.74e-09","31161A"
311612,"Meat Processed from Carcasses","Perfluoropropane","kg/2021 USD, purchaser price","1.44e-10","8.61e-11","2.30e-10","31161A"
311612,"Meat Processed from Carcasses","Methane","kg/2021 USD, purchaser price","2.16e-02","1.32e-04","2.17e-02","31161A"
311613,"Rendering and Meat Byproduct Processing","Methane","kg/2021 USD, purchaser price","2.16e-02","1.32e-04","2.17e-02","31161A"
311613,"Rendering and Meat Byproduct Processing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.81e-07","8.36e-08","2.65e-07","31161A"
311613,"Rendering and Meat Byproduct Processing","Hexafluoroethane","kg/2021 USD, purchaser price","2.27e-09","9.75e-10","3.24e-09","31161A"
311613,"Rendering and Meat Byproduct Processing","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.44e-10","2.65e-10","7.09e-10","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-236fa","kg/2021 USD, purchaser price","1.21e-09","5.58e-10","1.77e-09","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-125","kg/2021 USD, purchaser price","1.80e-07","8.30e-08","2.63e-07","31161A"
311613,"Rendering and Meat Byproduct Processing","Nitrous oxide","kg/2021 USD, purchaser price","1.49e-03","4.82e-06","1.49e-03","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-32","kg/2021 USD, purchaser price","1.09e-07","5.01e-08","1.59e-07","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-134a","kg/2021 USD, purchaser price","4.62e-07","2.13e-07","6.75e-07","31161A"
311613,"Rendering and Meat Byproduct Processing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.23e-10","7.38e-11","1.97e-10","31161A"
311613,"Rendering and Meat Byproduct Processing","Carbon dioxide","kg/2021 USD, purchaser price","2.52e-01","3.59e-02","2.88e-01","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-143a","kg/2021 USD, purchaser price","6.72e-08","3.09e-08","9.81e-08","31161A"
311613,"Rendering and Meat Byproduct Processing","Perfluoropropane","kg/2021 USD, purchaser price","1.44e-10","8.61e-11","2.30e-10","31161A"
311613,"Rendering and Meat Byproduct Processing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.08e-08","3.97e-09","1.47e-08","31161A"
311613,"Rendering and Meat Byproduct Processing","HFC-23","kg/2021 USD, purchaser price","8.09e-09","1.72e-09","9.81e-09","31161A"
311613,"Rendering and Meat Byproduct Processing","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.90e-09","2.84e-09","8.74e-09","31161A"
311615,"Poultry Processing","Carbon dioxide","kg/2021 USD, purchaser price","3.49e-01","3.89e-02","3.88e-01","311615"
311615,"Poultry Processing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.74e-08","3.79e-09","2.12e-08","311615"
311615,"Poultry Processing","Hexafluoroethane","kg/2021 USD, purchaser price","3.49e-09","9.15e-10","4.40e-09","311615"
311615,"Poultry Processing","HFC-125","kg/2021 USD, purchaser price","2.19e-07","8.58e-08","3.05e-07","311615"
311615,"Poultry Processing","HFC-134a","kg/2021 USD, purchaser price","5.62e-07","2.20e-07","7.82e-07","311615"
311615,"Poultry Processing","HFC-143a","kg/2021 USD, purchaser price","8.16e-08","3.20e-08","1.14e-07","311615"
311615,"Poultry Processing","HFC-23","kg/2021 USD, purchaser price","1.09e-08","1.51e-09","1.24e-08","311615"
311615,"Poultry Processing","HFC-236fa","kg/2021 USD, purchaser price","1.47e-09","5.77e-10","2.05e-09","311615"
311615,"Poultry Processing","HFC-32","kg/2021 USD, purchaser price","1.32e-07","5.18e-08","1.84e-07","311615"
311615,"Poultry Processing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.21e-07","8.64e-08","3.07e-07","311615"
311615,"Poultry Processing","Methane","kg/2021 USD, purchaser price","3.85e-03","1.39e-04","3.98e-03","311615"
311615,"Poultry Processing","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.80e-10","2.42e-10","8.23e-10","311615"
311615,"Poultry Processing","Nitrous oxide","kg/2021 USD, purchaser price","4.93e-04","5.04e-06","4.98e-04","311615"
311615,"Poultry Processing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.62e-10","6.75e-11","2.29e-10","311615"
311615,"Poultry Processing","Perfluoropropane","kg/2021 USD, purchaser price","1.88e-10","7.87e-11","2.67e-10","311615"
311615,"Poultry Processing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.62e-09","3.14e-09","1.18e-08","311615"
311710,"Seafood Product Preparation and Packaging","Carbon dioxide","kg/2021 USD, purchaser price","1.95e-01","3.56e-02","2.30e-01","311700"
311710,"Seafood Product Preparation and Packaging","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.53e-08","3.90e-09","2.92e-08","311700"
311710,"Seafood Product Preparation and Packaging","Hexafluoroethane","kg/2021 USD, purchaser price","4.52e-09","9.55e-10","5.48e-09","311700"
311710,"Seafood Product Prepar
