ation and Packaging","HFC-125","kg/2021 USD, purchaser price","1.73e-07","8.20e-08","2.55e-07","311700"
311710,"Seafood Product Preparation and Packaging","HFC-134a","kg/2021 USD, purchaser price","4.44e-07","2.10e-07","6.54e-07","311700"
311710,"Seafood Product Preparation and Packaging","HFC-143a","kg/2021 USD, purchaser price","6.44e-08","3.06e-08","9.49e-08","311700"
311710,"Seafood Product Preparation and Packaging","HFC-23","kg/2021 USD, purchaser price","5.48e-09","1.67e-09","7.15e-09","311700"
311710,"Seafood Product Preparation and Packaging","HFC-236fa","kg/2021 USD, purchaser price","1.16e-09","5.51e-10","1.71e-09","311700"
311710,"Seafood Product Preparation and Packaging","HFC-32","kg/2021 USD, purchaser price","1.04e-07","4.95e-08","1.54e-07","311700"
311710,"Seafood Product Preparation and Packaging","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.74e-07","8.26e-08","2.56e-07","311700"
311710,"Seafood Product Preparation and Packaging","Methane","kg/2021 USD, purchaser price","3.28e-03","1.31e-04","3.41e-03","311700"
311710,"Seafood Product Preparation and Packaging","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.40e-10","2.59e-10","6.99e-10","311700"
311710,"Seafood Product Preparation and Packaging","Nitrous oxide","kg/2021 USD, purchaser price","1.89e-04","4.78e-06","1.93e-04","311700"
311710,"Seafood Product Preparation and Packaging","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.22e-10","7.21e-11","1.95e-10","311700"
311710,"Seafood Product Preparation and Packaging","Perfluoropropane","kg/2021 USD, purchaser price","1.43e-10","8.41e-11","2.27e-10","311700"
311710,"Seafood Product Preparation and Packaging","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.02e-09","2.83e-09","8.85e-09","311700"
311811,"Retail Bakeries","Carbon dioxide","kg/2021 USD, purchaser price","1.60e-01","4.19e-02","2.02e-01","311810"
311811,"Retail Bakeries","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.80e-07","1.03e-07","2.83e-07","311810"
311811,"Retail Bakeries","Perfluoropropane","kg/2021 USD, purchaser price","1.10e-10","1.13e-10","2.23e-10","311810"
311811,"Retail Bakeries","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.13e-08","5.12e-09","1.64e-08","311810"
311811,"Retail Bakeries","Methane","kg/2021 USD, purchaser price","1.10e-03","1.54e-04","1.25e-03","311810"
311811,"Retail Bakeries","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.22e-09","3.65e-09","1.09e-08","311810"
311811,"Retail Bakeries","Hexafluoroethane","kg/2021 USD, purchaser price","2.20e-09","1.26e-09","3.46e-09","311810"
311811,"Retail Bakeries","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.39e-10","3.47e-10","6.86e-10","311810"
311811,"Retail Bakeries","HFC-236fa","kg/2021 USD, purchaser price","1.20e-09","6.88e-10","1.89e-09","311810"
311811,"Retail Bakeries","HFC-125","kg/2021 USD, purchaser price","1.79e-07","1.02e-07","2.81e-07","311810"
311811,"Retail Bakeries","Nitrous oxide","kg/2021 USD, purchaser price","2.52e-04","6.10e-06","2.58e-04","311810"
311811,"Retail Bakeries","HFC-32","kg/2021 USD, purchaser price","1.08e-07","6.18e-08","1.70e-07","311810"
311811,"Retail Bakeries","HFC-134a","kg/2021 USD, purchaser price","4.58e-07","2.62e-07","7.20e-07","311810"
311811,"Retail Bakeries","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.43e-11","9.66e-11","1.91e-10","311810"
311811,"Retail Bakeries","HFC-23","kg/2021 USD, purchaser price","5.36e-09","2.17e-09","7.53e-09","311810"
311811,"Retail Bakeries","HFC-143a","kg/2021 USD, purchaser price","6.66e-08","3.81e-08","1.05e-07","311810"
311812,"Commercial Bakeries","HFC-143a","kg/2021 USD, purchaser price","6.66e-08","3.81e-08","1.05e-07","311810"
311812,"Commercial Bakeries","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.13e-08","5.12e-09","1.64e-08","311810"
311812,"Commercial Bakeries","Carbon dioxide","kg/2021 USD, purchaser price","1.60e-01","4.19e-02","2.02e-01","311810"
311812,"Commercial Bakeries","HFC-23","kg/2021 USD, purchaser price","5.36e-09","2.17e-09","7.53e-09","311810"
311812,"Commercial Bakeries","Hexafluoroethane","kg/2021 USD, purchaser price","2.20e-09","1.26e-09","3.46e-09","311810"
311812,"Commercial Bakeries","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.39e-10","3.47e-10","6.86e-10","311810"
311812,"Commercial Bakeries","HFC-236fa","kg/2021 USD, purchaser price","1.20e-09","6.88e-10","1.89e-09","311810"
311812,"Commercial Bakeries","HFC-125","kg/2021 USD, purchaser price","1.79e-07","1.02e-07","2.81e-07","311810"
311812,"Commercial Bakeries","Nitrous oxide","kg/2021 USD, purchaser price","2.52e-04","6.10e-06","2.58e-04","311810"
311812,"Commercial Bakeries","HFC-32","kg/2021 USD, purchaser price","1.08e-07","6.18e-08","1.70e-07","311810"
311812,"Commercial Bakeries","HFC-134a","kg/2021 USD, purchaser price","4.58e-07","2.62e-07","7.20e-07","311810"
311812,"Commercial Bakeries","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.43e-11","9.66e-11","1.91e-10","311810"
311812,"Commercial Bakeries","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.80e-07","1.03e-07","2.83e-07","311810"
311812,"Commercial Bakeries","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.22e-09","3.65e-09","1.09e-08","311810"
311812,"Commercial Bakeries","Perfluoropropane","kg/2021 USD, purchaser price","1.10e-10","1.13e-10","2.23e-10","311810"
311812,"Commercial Bakeries","Methane","kg/2021 USD, purchaser price","1.10e-03","1.54e-04","1.25e-03","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Methane","kg/2021 USD, purchaser price","1.10e-03","1.54e-04","1.25e-03","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.80e-07","1.03e-07","2.83e-07","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.20e-09","1.26e-09","3.46e-09","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.39e-10","3.47e-10","6.86e-10","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.20e-09","6.88e-10","1.89e-09","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.79e-07","1.02e-07","2.81e-07","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.52e-04","6.10e-06","2.58e-04","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.08e-07","6.18e-08","1.70e-07","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.58e-07","2.62e-07","7.20e-07","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.43e-11","9.66e-11","1.91e-10","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.60e-01","4.19e-02","2.02e-01","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.66e-08","3.81e-08","1.05e-07","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.10e-10","1.13e-10","2.23e-10","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.13e-08","5.12e-09","1.64e-08","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","HFC-23","kg/2021 USD, purchaser price","5.36e-09","2.17e-09","7.53e-09","311810"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.22e-09","3.65e-09","1.09e-08","311810"
311821,"Cookie and Cracker Manufacturing","Methane","kg/2021 USD, purchaser price","2.29e-03","2.02e-04","2.50e-03","3118A0"
311821,"Cookie and Cracker Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.90e-07","1.34e-07","4.24e-07","3118A0"
311821,"Cookie and Cracker Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.52e-09","1.64e-09","5.15e-09","3118A0"
311821,"Cookie and Cracker Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.38e-10","4.49e-10","9.86e-10","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.94e-09","8.95e-10","2.83e-09","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.88e-07","1.33e-07","4.21e-07","3118A0"
311821,"Cookie and Cracker Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","5.57e-04","7.91e-06","5.65e-04","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.74e-07","8.04e-08","2.54e-07","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-134a","kg/2021 USD, purchaser price","7.38e-07","3.41e-07","1.08e-06","3118A0"
311821,"Cookie and Cracker Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.50e-10","1.25e-10","2.75e-10","3118A0"
311821,"Cookie and Cracker Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.58e-01","5.49e-02","3.13e-01","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.07e-07","4.96e-08","1.57e-07","3118A0"
311821,"Cookie and Cracker Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.75e-10","1.46e-10","3.20e-10","3118A0"
311821,"Cookie and Cracker Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.80e-08","6.63e-09","2.47e-08","3118A0"
311821,"Cookie and Cracker Manufacturing","HFC-23","kg/2021 USD, purchaser price","9.22e-09","2.82e-09","1.20e-08","3118A0"
311821,"Cookie and Cracker Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.97e-09","4.73e-09","1.37e-08","3118A0"
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","HFC-143a","kg/2021 USD, purchaser price","1.07
