 Plywood Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.21e-08","3.17e-08","8.38e-08","321200"
321212,"Softwood Veneer and Plywood Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.63e-08","5.25e-08","1.39e-07","321200"
321212,"Softwood Veneer and Plywood Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.39e-09","1.46e-10","1.54e-09","321200"
321212,"Softwood Veneer and Plywood Manufacturing","HFC-23","kg/2021 USD, purchaser price","8.89e-09","1.17e-09","1.01e-08","321200"
321212,"Softwood Veneer and Plywood Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","4.53e-10","4.75e-11","5.00e-10","321200"
321212,"Softwood Veneer and Plywood Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.69e-08","5.29e-08","1.40e-07","321200"
321212,"Softwood Veneer and Plywood Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.23e-07","1.34e-07","3.57e-07","321200"
321212,"Softwood Veneer and Plywood Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.58e-05","2.67e-06","2.85e-05","321200"
321212,"Softwood Veneer and Plywood Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","5.80e-10","3.53e-10","9.33e-10","321200"
321212,"Softwood Veneer and Plywood Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.84e-09","1.30e-09","1.01e-08","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.63e-08","5.25e-08","1.39e-07","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.39e-09","1.46e-10","1.54e-09","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.68e-01","2.64e-02","1.94e-01","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.21e-08","3.17e-08","8.38e-08","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.69e-08","5.29e-08","1.40e-07","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.23e-07","1.34e-07","3.57e-07","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.58e-05","2.67e-06","2.85e-05","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.73e-08","2.25e-09","1.96e-08","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.62e-09","5.46e-10","5.16e-09","321200"
321213,"Engineered Wood Member (except Truss) Manufacturing","Methane","kg/2021 USD, purchaser price","4.19e-04","1.03e-04","5.22e-04","321200"
