 Mills","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.04e-09","2.10e-10","1.25e-09","322130"
322130,"Paperboard Mills","Nitrous oxide","kg/2021 USD, purchaser price","7.10e-05","4.24e-06","7.52e-05","322130"
322130,"Paperboard Mills","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.89e-10","5.86e-11","3.48e-10","322130"
322130,"Paperboard Mills","Perfluoropropane","kg/2021 USD, purchaser price","3.37e-10","6.83e-11","4.06e-10","322130"
322130,"Paperboard Mills","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.26e-08","1.70e-09","2.43e-08","322130"
322211,"Corrugated and Solid Fiber Box Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.09e-01","3.19e-02","4.41e-01","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.55e-07","6.44e-08","3.19e-07","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","3.66e-10","6.16e-11","4.27e-10","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.21e-08","2.85e-09","4.50e-08","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Methane","kg/2021 USD, purchaser price","1.11e-03","1.29e-04","1.23e-03","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.62e-08","1.37e-09","1.76e-08","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","8.09e-09","6.98e-10","8.78e-09","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.13e-09","1.90e-10","1.32e-09","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.70e-09","4.30e-10","2.13e-09","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.53e-07","6.39e-08","3.17e-07","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","4.32e-05","3.15e-06","4.64e-05","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.53e-07","3.86e-08","1.91e-07","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-134a","kg/2021 USD, purchaser price","6.52e-07","1.64e-07","8.16e-07","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.13e-10","5.28e-11","3.66e-10","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.28e-08","1.58e-09","2.44e-08","322210"
322211,"Corrugated and Solid Fiber Box Manufacturing","HFC-143a","kg/2021 USD, purchaser price","9.43e-08","2.38e-08","1.18e-07","322210"
322212,"Folding Paperboard Box Manufacturing","HFC-143a","kg/2021 USD, purchaser price","9.43e-08","2.38e-08","1.18e-07","322210"
