l Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.66e-10","5.03e-11","6.16e-10","325190"
325199,"All Other Basic Organic Chemical Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","5.86e-08","3.09e-07","325190"
325199,"All Other Basic Organic Chemical Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.71e-08","1.24e-09","1.84e-08","325190"
325199,"All Other Basic Organic Chemical Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.60e-10","5.87e-11","7.19e-10","325190"
325199,"All Other Basic Organic Chemical Manufacturing","Methane","kg/2021 USD, purchaser price","3.84e-03","1.15e-04","3.95e-03","325190"
325211,"Plastics Material and Resin Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","9.10e-01","2.92e-02","9.39e-01","325211"
325211,"Plastics Material and Resin Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.21e-08","2.37e-09","3.45e-08","325211"
325211,"Plastics Material and Resin Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","7.98e-09","5.77e-10","8.56e-09","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.89e-07","5.60e-08","2.45e-07","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.86e-07","1.43e-07","6.29e-07","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-143a","kg/2021 USD, purchaser price","7.03e-08","2.09e-08","9.11e-08","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-23","kg/2021 USD, purchaser price","9.66e-08","1.36e-09","9.79e-08","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.27e-09","3.77e-10","1.64e-09","325211"
325211,"Plastics Material and Resin Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.14e-07","3.38e-08","1.48e-07","325211"
325211,"Plastics Material and Resin Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.90e-07","5.64e-08","2.46e-07","325211"
325211,"Plastics Material and Resin Manufacturing","Methane","kg/2021 USD, purchaser price","2.44e-03","1.18e-04","2.56e-03","325211"
325211,"Plastics Material and Resin Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.17e-09","1.55e-10","2.33e-09","325211"
325211,"Plastics Material and Resin Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.26e-04","2.68e-06","2.29e-04","325211"
325211,"Plastics Material and Resin Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.05e-10","4.32e-11","6.48e-10","325211"
325211,"Plastics Material and Resin Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","7.05e-10","5.04e-11","7.56e-10","325211"
325211,"Plastics Material and Resin Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.70e-08","1.12e-09","1.81e-08","325211"
325212,"Synthetic Rubber Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","9.60e-01","2.12e-02","9.81e-01","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.48e-09","3.18e-10","1.80e-09","3252A0"
325212,"Synthetic Rubber Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.85e-08","2.40e-09","4.09e-08","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.33e-07","2.86e-08","1.62e-07","3252A0"
325212,"Synthetic Rubber Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","9.87e-09","6.00e-10","1.05e-08","3252A0"
325212,"Synthetic Rubber Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.22e-07","4.77e-08","2.70e-07","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.21e-07","4.73e-08","2.68e-07","3252A0"
325212,"Synthetic Rubber Manufacturing","Methane","kg/2021 USD, purchaser price","2.68e-03","8.71e-05","2.76e-03","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.69e-07","1.21e-07","6.90e-07","3252A0"
325212,"Synthetic Rubber Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.82e-09","1.68e-10","2.99e-09","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.23e-08","1.76e-08","1.00e-07","3252A0"
325212,"Synthetic Rubber Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.69e-04","2.43e-06","2.72e-04","3252A0"
325212,"Synthetic Rubber Manufacturing","HFC-23","kg/2021 USD, purchaser price","6.96e-08","1.30e-09","7.09e-08","3252A0"
325212,"Synthetic Rubber Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.85e-10","4.68e-11","8.32e-10","3252A0"
325212,"Synthetic Rubber Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.16e-10","5.45e-11","9.70e-10","3252A0"
325212,"Synthetic Rubber Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.21e-08","1.06e-09","2.32e-08","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","9.60e-01","2.12e-02","9.81e-01","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.85e-08","2.40e-09","4.09e-08","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","9.87e-09","6.00e-10","1.05e-08","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.22e-07","4.77e-08","2.70e-07","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.21e-07","4.73e-08","2.68e-07","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Methane","kg/2021 USD, purchaser price","2.68e-03","8.71e-05","2.76e-03","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.69e-07","1.21e-07","6.90e-07","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.82e-09","1.68e-10","2.99e-09","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.23e-08","1.76e-08","1.00e-07","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.69e-04","2.43e-06","2.72e-04","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-23","kg/2021 USD, purchaser price","6.96e-08","1.30e-09","7.09e-08","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.85e-10","4.68e-11","8.32e-10","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.48e-09","3.18e-10","1.80e-09","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.16e-10","5.45e-11","9.70e-10","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.33e-07","2.86e-08","1.62e-07","3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.21e-08","1.06e-09","2.32e-08","3252A0"
325311,"Nitrogenous Fertilizer Manufacturing","Methane","kg/2021 USD, purchaser price","1.59e-03","3.05e-04","1.89e-03","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.01e-07","1.93e-07","3.95e-07","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","6.76e-09","2.85e-09","9.60e-09","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.13e-09","8.16e-10","2.94e-09","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.34e-09","1.29e-09","2.63e-09","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.00e-07","1.92e-07","3.92e-07","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.09e-03","1.05e-05","1.10e-03","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.21e-07","1.16e-07","2.37e-07","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.13e-07","4.92e-07","1.01e-06","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.92e-10","2.27e-10","8.19e-10","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.66e+00","7.29e-02","1.74e+00","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-143a","kg/2021 USD, purchaser price","7.45e-08","7.15e-08","1.46e-07","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.91e-10","2.65e-10","9.55e-10","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.46e-08","1.12e-08","3.58e-08","325310"
325311,"Nitrogenous Fertilizer Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.44e-08","5.84e-09","3.02e-08","325310"
325311,"Nitrogenous Fertilizer Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.40e-08","4.80e-09","1.88e-08","325310"
325312,"Phosphatic Fertilizer Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.66e+00","7.29e-02","1.74e+00","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.01e-07","1.93e-07","3.95e-07","325310"
325312,"Phosphatic Fertilizer Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.91e-10","2.65e-10","9.55e-10","325310"
325312,"Phosphatic F
