ertilizer Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.46e-08","1.12e-08","3.58e-08","325310"
325312,"Phosphatic Fertilizer Manufacturing","Methane","kg/2021 USD, purchaser price","1.59e-03","3.05e-04","1.89e-03","325310"
325312,"Phosphatic Fertilizer Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.40e-08","4.80e-09","1.88e-08","325310"
325312,"Phosphatic Fertilizer Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","6.76e-09","2.85e-09","9.60e-09","325310"
325312,"Phosphatic Fertilizer Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.13e-09","8.16e-10","2.94e-09","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.34e-09","1.29e-09","2.63e-09","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.00e-07","1.92e-07","3.92e-07","325310"
325312,"Phosphatic Fertilizer Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.09e-03","1.05e-05","1.10e-03","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.21e-07","1.16e-07","2.37e-07","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.13e-07","4.92e-07","1.01e-06","325310"
325312,"Phosphatic Fertilizer Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.92e-10","2.27e-10","8.19e-10","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.44e-08","5.84e-09","3.02e-08","325310"
325312,"Phosphatic Fertilizer Manufacturing","HFC-143a","kg/2021 USD, purchaser price","7.45e-08","7.15e-08","1.46e-07","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-143a","kg/2021 USD, purchaser price","7.45e-08","7.15e-08","1.46e-07","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.46e-08","1.12e-08","3.58e-08","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.66e+00","7.29e-02","1.74e+00","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.44e-08","5.84e-09","3.02e-08","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","6.76e-09","2.85e-09","9.60e-09","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.13e-09","8.16e-10","2.94e-09","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.34e-09","1.29e-09","2.63e-09","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.00e-07","1.92e-07","3.92e-07","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.09e-03","1.05e-05","1.10e-03","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.21e-07","1.16e-07","2.37e-07","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.13e-07","4.92e-07","1.01e-06","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.92e-10","2.27e-10","8.19e-10","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.01e-07","1.93e-07","3.95e-07","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.40e-08","4.80e-09","1.88e-08","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.91e-10","2.65e-10","9.55e-10","325310"
325314,"Fertilizer (Mixing Only) Manufacturing","Methane","kg/2021 USD, purchaser price","1.59e-03","3.05e-04","1.89e-03","325310"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.06e-01","4.54e-02","4.51e-01","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.38e-08","8.43e-09","7.23e-08","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.47e-08","2.16e-09","1.68e-08","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.91e-07","1.35e-07","3.26e-07","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.91e-07","3.47e-07","8.37e-07","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-143a","kg/2021 USD, purchaser price","7.10e-08","5.04e-08","1.21e-07","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-23","kg/2021 USD, purchaser price","6.47e-08","4.18e-09","6.89e-08","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.28e-09","9.09e-10","2.19e-09","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.15e-07","8.17e-08","1.97e-07","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.92e-07","1.36e-07","3.28e-07","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Methane","kg/2021 USD, purchaser price","1.21e-03","1.88e-04","1.40e-03","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.42e-09","6.24e-10","4.05e-09","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.80e-04","7.87e-06","1.87e-04","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.53e-10","1.74e-10","1.13e-09","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.11e-09","2.02e-10","1.31e-09","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.18e-08","3.89e-09","1.57e-08","325320"
325411,"Medicinal and Botanical Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.80e-01","4.07e-02","2.21e-01","325411"
325411,"Medicinal and Botanical Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.12e-09","8.26e-09","1.54e-08","325411"
325411,"Medicinal and Botanical Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.56e-09","2.13e-09","3.69e-09","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.74e-07","1.27e-07","3.01e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.44e-07","3.26e-07","7.70e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.48e-08","4.73e-08","1.12e-07","325411"
