,"HFC-236fa","kg/2021 USD, purchaser price","1.02e-09","6.51e-10","1.67e-09","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","HFC-32","kg/2021 USD, purchaser price","9.19e-08","5.85e-08","1.50e-07","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.53e-07","9.76e-08","2.51e-07","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Methane","kg/2021 USD, purchaser price","7.35e-04","1.44e-04","8.79e-04","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.33e-09","3.78e-10","3.71e-09","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","5.26e-05","5.65e-06","5.82e-05","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.26e-10","1.05e-10","1.03e-09","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.08e-09","1.23e-10","1.20e-09","326220"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.63e-08","3.07e-09","1.94e-08","326220"
326291,"Rubber Product Manufacturing for Mechanical Use","Carbon dioxide","kg/2021 USD, purchaser price","3.80e-01","3.66e-02","4.16e-01","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-236fa","kg/2021 USD, purchaser price","1.43e-09","6.61e-10","2.09e-09","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.92e-08","5.66e-09","1.05e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-32","kg/2021 USD, purchaser price","1.28e-07","5.94e-08","1.88e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Hexafluoroethane","kg/2021 USD, purchaser price","2.19e-08","1.43e-09","2.33e-08","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.14e-07","9.91e-08","3.13e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-125","kg/2021 USD, purchaser price","2.13e-07","9.84e-08","3.11e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Methane","kg/2021 USD, purchaser price","9.96e-04","1.47e-04","1.14e-03","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-134a","kg/2021 USD, purchaser price","5.59e-07","2.52e-07","8.11e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.66e-09","4.08e-10","5.07e-09","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-143a","kg/2021 USD, purchaser price","7.93e-08","3.67e-08","1.16e-07","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Nitrous oxide","kg/2021 USD, purchaser price","6.49e-05","5.65e-06","7.06e-05","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","HFC-23","kg/2021 USD, purchaser price","4.21e-08","2.76e-09","4.48e-08","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.30e-09","1.14e-10","1.41e-09","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Perfluoropropane","kg/2021 USD, purchaser price","1.51e-09","1.33e-10","1.65e-09","326290"
326291,"Rubber Product Manufacturing for Mechanical Use","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.41e-08","2.88e-09","2.70e-08","326290"
326299,"All Other Rubber Product Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.80e-01","3.66e-02","4.16e-01","326290"
326299,"All Other Rubber Product Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.92e-08","5.66e-09","1.05e-07","326290"
326299,"All Other Rubber Product Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.19e-08","1.43e-09","2.33e-08","326290"
326299,"All Other Rubber Product Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.14e-07","9.91e-08","3.13e-07","326290"
326299,"All Other Rubber Product Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.13e-07","9.84e-08","3.11e-07","326290"
326299,"All Other Rubber Product Manufacturing","Methane","kg/2021 USD, purchaser price","9.96e-04","1.47e-04","1.14e-03","326290"
326299,"All Other Rubber Product Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.59e-07","2.52e-07","8.11e-07","326290"
