ng","HFC-23","kg/2021 USD, purchaser price","1.23e-08","3.42e-09","1.58e-08","327100"
327120,"Clay Building Material and Refractories Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.21e-10","1.21e-10","8.42e-10","327100"
327120,"Clay Building Material and Refractories Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.41e-10","1.41e-10","9.82e-10","327100"
327120,"Clay Building Material and Refractories Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.14e-08","3.93e-09","1.53e-08","327100"
327211,"Flat Glass Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.80e-01","6.58e-02","4.46e-01","327200"
327211,"Flat Glass Manufacturing","Methane","kg/2021 USD, purchaser price","1.03e-03","2.61e-04","1.29e-03","327200"
327211,"Flat Glass Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.80e-08","5.64e-09","3.36e-08","327200"
327211,"Flat Glass Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.39e-09","3.70e-10","2.76e-09","327200"
327211,"Flat Glass Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","7.65e-09","1.37e-09","9.02e-09","327200"
327211,"Flat Glass Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.86e-05","6.49e-06","2.51e-05","327200"
327211,"Flat Glass Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.46e-07","1.31e-07","2.77e-07","327200"
327211,"Flat Glass Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.73e-08","3.04e-09","2.03e-08","327200"
327211,"Flat Glass Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.45e-07","1.30e-07","2.75e-07","327200"
327211,"Flat Glass Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.66e-10","1.03e-10","7.69e-10","327200"
327211,"Flat Glass Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","9.73e-10","8.75e-10","1.85e-09","327200"
327211,"Flat Glass Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.73e-07","3.34e-07","7.06e-07","327200"
327211,"Flat Glass Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","7.77e-10","1.20e-10","8.97e-10","327200"
327211,"Flat Glass Manufacturing","HFC-32","kg/2021 USD, purchaser price","8.74e-08","7.86e-08","1.66e-07","327200"
327211,"Flat Glass Manufacturing","HFC-143a","kg/2021 USD, purchaser price","5.39e-08","4.85e-08","1.02e-07","327200"
327211,"Flat Glass Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.48e-08","2.98e-09","1.78e-08","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.80e-01","6.58e-02","4.46e-01","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Methane","kg/2021 USD, purchaser price","1.03e-03","2.61e-04","1.29e-03","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","9.73e-10","8.75e-10","1.85e-09","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.73e-07","3.34e-07","7.06e-07","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.80e-08","5.64e-09","3.36e-08","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.39e-09","3.70e-10","2.76e-09","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-32","kg/2021 USD, purchaser price","8.74e-08","7.86e-08","1.66e-07","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-143a","kg/2021 USD, purchaser price","5.39e-08","4.85e-08","1.02e-07","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","7.65e-09","1.37e-09","9.02e-09","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.86e-05","6.49e-06","2.51e-05","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.46e-07","1.31e-07","2.77e-07","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.73e-08","3.04e-09","2.03e-08","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.45e-07","1.30e-07","2.75e-07","327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.66e-10","1.03e-10","7.69e-10","327200"
