llurgy Part Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.44e-07","3.56e-08","1.79e-07","33211A"
332117,"Powder Metallurgy Part Manufacturing","HFC-134a","kg/2021 USD, purchaser price","8.92e-07","1.51e-07","1.04e-06","33211A"
332117,"Powder Metallurgy Part Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.10e-09","5.36e-11","1.16e-09","33211A"
332117,"Powder Metallurgy Part Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","5.54e-01","2.78e-02","5.81e-01","33211A"
332117,"Powder Metallurgy Part Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.87e-08","2.20e-08","1.11e-07","33211A"
332117,"Powder Metallurgy Part Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.29e-09","6.25e-11","1.35e-09","33211A"
332117,"Powder Metallurgy Part Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.74e-07","2.81e-09","7.77e-07","33211A"
332117,"Powder Metallurgy Part Manufacturing","HFC-23","kg/2021 USD, purchaser price","4.08e-08","1.53e-09","4.23e-08","33211A"
332117,"Powder Metallurgy Part Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.80e-07","1.31e-09","1.81e-07","33211A"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Carbon dioxide","kg/2021 USD, purchaser price","3.37e-01","3.02e-02","3.67e-01","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.13e-07","4.45e-09","3.17e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Hexafluoroethane","kg/2021 USD, purchaser price","5.39e-08","1.13e-09","5.50e-08","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-125","kg/2021 USD, purchaser price","2.11e-07","7.80e-08","2.89e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-134a","kg/2021 USD, purchaser price","5.96e-07","2.00e-07","7.96e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-143a","kg/2021 USD, purchaser price","7.86e-08","2.91e-08","1.08e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-23","kg/2021 USD, purchaser price","2.91e-08","2.30e-09","3.14e-08","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-236fa","kg/2021 USD, purchaser price","1.42e-09","5.24e-10","1.94e-09","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFC-32","kg/2021 USD, purchaser price","1.27e-07","4.71e-08","1.74e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.12e-07","7.85e-08","2.91e-07","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Methane","kg/2021 USD, purchaser price","8.86e-04","1.25e-04","1.01e-03","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.77e-09","3.22e-10","4.09e-09","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Nitrous oxide","kg/2021 USD, purchaser price","1.66e-05","4.29e-06","2.09e-05","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.05e-09","8.96e-11","1.14e-09","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Perfluoropropane","kg/2021 USD, purchaser price","1.22e-09","1.05e-10","1.33e-09","332119"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.51e-08","2.01e-09","4.71e-08","332119"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.53e-01","6.01e-02","2.13e-01","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","6.05e-10","1.05e-09","1.66e-09","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.64e-07","8.48e-09","2.72e-07","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.44e-08","9.45e-08","1.49e-07","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.39e-08","2.13e-09","4.60e-08","332200"
