r Transmission Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.01e-05","4.20e-06","1.43e-05","333613"
333613,"Mechanical Power Transmission Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.47e-09","9.03e-11","1.56e-09","333613"
333613,"Mechanical Power Transmission Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.71e-09","1.05e-10","1.82e-09","333613"
333613,"Mechanical Power Transmission Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.86e-08","1.90e-09","4.05e-08","333613"
333618,"Other Engine Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.47e-01","3.53e-02","2.83e-01","333618"
333618,"Other Engine Equipment Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.38e-07","4.97e-09","2.42e-07","333618"
333618,"Other Engine Equipment Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.67e-08","1.26e-09","4.79e-08","333618"
333618,"Other Engine Equipment Manufacturing","HFC-125","kg/2021 USD, purchaser price","3.79e-07","8.87e-08","4.67e-07","333618"
333618,"Other Engine Equipment Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.05e-06","2.27e-07","1.28e-06","333618"
333618,"Other Engine Equipment Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.41e-07","3.30e-08","1.74e-07","333618"
333618,"Other Engine Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.20e-08","2.60e-09","2.46e-08","333618"
333618,"Other Engine Equipment Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","2.54e-09","5.96e-10","3.14e-09","333618"
333618,"Other Engine Equipment Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.29e-07","5.35e-08","2.82e-07","333618"
333618,"Other Engine Equipment Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.81e-07","8.93e-08","4.71e-07","333618"
333618,"Other Engine Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","6.23e-04","1.46e-04","7.69e-04","333618"
333618,"Other Engine Equipment Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.04e-09","3.58e-10","7.39e-09","333618"
333618,"Other Engine Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.86e-05","4.80e-06","2.34e-05","333618"
333618,"Other Engine Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.96e-09","9.97e-11","2.06e-09","333618"
333618,"Other Engine Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.28e-09","1.16e-10","2.40e-09","333618"
333618,"Other Engine Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.24e-08","2.20e-09","6.46e-08","333618"
333912,"Air and Gas Compressor Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.66e-01","2.72e-02","1.93e-01","333912"
333912,"Air and Gas Compressor Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.08e-07","3.91e-09","3.12e-07","333912"
333912,"Air and Gas Compressor Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","5.66e-08","9.92e-10","5.76e-08","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.55e-07","6.90e-08","2.24e-07","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.30e-07","1.77e-07","6.07e-07","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-143a","kg/2021 USD, purchaser price","5.79e-08","2.57e-08","8.36e-08","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.74e-08","2.06e-09","1.95e-08","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.04e-09","4.64e-10","1.51e-09","333912"
333912,"Air and Gas Compressor Manufacturing","HFC-32","kg/2021 USD, purchaser price","9.38e-08","4.16e-08","1.35e-07","333912"
333912,"Air and Gas Compressor Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.56e-07","6.94e-08","2.26e-07","333912"
333912,"Air and Gas Compressor Manufacturing","Methane","kg/2021 USD, purchaser price","4.47e-04","1.14e-04","5.61e-04","333912"
333912,"Air and Gas Compressor Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.30e-09","2.83e-10","6.58e-09","333912"
333912,"Air and Gas Compressor Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.18e-05","3.73e-06","1.56e-05","333912"
333912,"Air and Gas Compressor Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.75e-09","7.88e-11","1.83e-09","333912"
333912,"Air and Gas Compressor Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.05e-09","9.20e-11","2.14e-09","333912"
333912,"Air and Gas Compressor Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.07e-08","1.67e-09","3.24e-08","333912"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.52e-01","2.67e-02","1.79e-01","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.82e-07","3.82e-09","2.85e-07","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","5.15e-08","9.68e-10","5.25e-08","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.67e-07","6.80e-08","2.35e-07","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.66e-07","6.75e-08","2.34e-07","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","4.11e-04","1.12e-04","5.23e-04","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.65e-07","1.73e-07","6.38e-07","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.55e-09","2.76e-10","5.82e-09","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.20e-08","2.52e-08","8.71e-08","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.05e-05","3.64e-06","1.42e-05","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.71e-08","2.01e-09","1.91e-08","33391A"
