r Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.25e-08","2.19e-09","2.47e-08","33399B"
333996,"Fluid Power Pump and Motor Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.16e-09","8.35e-11","2.24e-09","33399B"
333996,"Fluid Power Pump and Motor Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.52e-09","9.74e-11","2.61e-09","33399B"
333996,"Fluid Power Pump and Motor Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.75e-08","1.78e-09","3.93e-08","33399B"
333997,"Scale and Balance Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.00e-01","2.98e-02","2.29e-01","33399A"
333997,"Scale and Balance Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.64e-07","7.53e-08","2.39e-07","33399A"
333997,"Scale and Balance Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.52e-10","9.74e-11","9.50e-10","33399A"
333997,"Scale and Balance Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.96e-07","4.17e-09","2.00e-07","33399A"
333997,"Scale and Balance Manufacturing","Methane","kg/2021 USD, purchaser price","5.71e-04","1.23e-04","6.94e-04","33399A"
333997,"Scale and Balance Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.61e-08","1.90e-09","2.80e-08","33399A"
333997,"Scale and Balance Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.42e-08","1.06e-09","3.52e-08","33399A"
333997,"Scale and Balance Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.63e-09","3.00e-10","2.93e-09","33399A"
333997,"Scale and Balance Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.09e-09","5.02e-10","1.60e-09","33399A"
333997,"Scale and Balance Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.63e-07","7.48e-08","2.38e-07","33399A"
333997,"Scale and Balance Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.41e-05","4.07e-06","2.82e-05","33399A"
333997,"Scale and Balance Manufacturing","HFC-32","kg/2021 USD, purchaser price","9.84e-08","4.51e-08","1.43e-07","33399A"
333997,"Scale and Balance Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.46e-07","1.92e-07","6.38e-07","33399A"
333997,"Scale and Balance Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.31e-10","8.35e-11","8.14e-10","33399A"
333997,"Scale and Balance Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.69e-08","2.16e-09","1.91e-08","33399A"
333997,"Scale and Balance Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.07e-08","2.79e-08","8.86e-08","33399A"
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing","Methane","kg/2021 USD, purchaser price","5.71e-04","1.23e-04","6.94e-04","33399A"
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.64e-07","7.53e-08","2.39e-07","33399A"
