turing","HFC-143a","kg/2021 USD, purchaser price","3.15e-08","5.66e-08","8.81e-08","334300"
334310,"Audio and Video Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","4.58e-09","3.57e-09","8.15e-09","334300"
334310,"Audio and Video Equipment Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","5.67e-10","1.02e-09","1.59e-09","334300"
334310,"Audio and Video Equipment Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.10e-08","9.17e-08","1.43e-07","334300"
334310,"Audio and Video Equipment Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.50e-08","1.53e-07","2.38e-07","334300"
334310,"Audio and Video Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","1.36e-04","2.15e-04","3.51e-04","334300"
334310,"Audio and Video Equipment Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.16e-09","5.75e-10","2.73e-09","334300"
334310,"Audio and Video Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","4.82e-06","9.18e-06","1.40e-05","334300"
334310,"Audio and Video Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.01e-10","1.60e-10","7.61e-10","334300"
334310,"Audio and Video Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","7.01e-10","1.87e-10","8.88e-10","334300"
334310,"Audio and Video Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.98e-09","5.38e-09","1.34e-08","334300"
334412,"Bare Printed Circuit Board Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.21e-01","2.53e-02","1.46e-01","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Methane","kg/2021 USD, purchaser price","3.12e-04","1.05e-04","4.17e-04","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.69e-10","4.24e-10","1.19e-09","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.66e-07","1.62e-07","5.28e-07","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.57e-07","3.52e-09","1.60e-07","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.51e-08","2.53e-10","1.54e-08","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.91e-08","3.81e-08","1.07e-07","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.27e-08","2.35e-08","6.62e-08","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.53e-08","8.90e-10","4.62e-08","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.07e-05","3.41e-06","1.41e-05","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.15e-07","6.35e-08","1.79e-07","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.62e-08","1.85e-09","3.80e-08","33441A"
334412,"Bare Printed Circuit Board Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.14e-07","6.31e-08","1.78e-07","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.21e-09","7.05e-11","4.28e-09","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","4.91e-09","8.22e-11","4.99e-09","33441A"
334412,"Bare Printed Circuit Board Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.20e-08","1.55e-09","6.36e-08","33441A"
334413,"Semiconductor and Related Device Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.35e-01","4.15e-02","1.76e-01","334413"
334413,"Semiconductor and Related Device Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.30e-06","5.37e-09","3.30e-06","334413"
334413,"Semiconductor and Related Device Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.25e-06","1.35e-09","1.25e-06","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-125","kg/2021 USD, purchaser price","9.53e-08","9.93e-08","1.95e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.02e-07","2.55e-07","5.57e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.55e-08","3.70e-08","7.25e-08","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-23","kg/2021 USD, purchaser price","4.67e-07","2.87e-09","4.70e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","6.40e-10","6.68e-10","1.31e-09","334413"
334413,"Semiconductor and Related Device Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.75e-08","6.00e-08","1.17e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","9.59e-08","1.00e-07","1.96e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","Methane","kg/2021 USD, purchaser price","3.00e-04","1.72e-04","4.72e-04","334413"
334413,"Semiconductor and Related Device Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.29e-07","3.84e-10","5.30e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.06e-05","5.25e-06","2.58e-05","334413"
334413,"Semiconductor and Related Device Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.47e-07","1.07e-10","1.47e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.72e-07","1.25e-10","1.72e-07","334413"
334413,"Semiconductor and Related Device Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.73e-07","2.34e-09","5.75e-07","334413"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.21e-01","2.53e-02","1.46e-01","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Methane","kg/2021 USD, purchaser price","3.12e-04","1.05e-04","4.17e-04","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.57e-07","3.52e-09","1.60e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.51e-08","2.53e-10","1.54e-08","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.53e-08","8.90e-10","4.62e-08","33441A"
