autical System and Instrument Manufacturing","Methane","kg/2021 USD, purchaser price","1.08e-04","7.37e-05","1.82e-04","334511"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.81e-09","2.33e-10","3.04e-09","334511"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","3.28e-06","2.84e-06","6.12e-06","334511"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.82e-10","6.49e-11","8.47e-10","334511"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.12e-10","7.57e-11","9.88e-10","334511"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.24e-09","1.31e-09","9.55e-09","334511"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","Carbon dioxide","kg/2021 USD, purchaser price","9.31e-02","2.73e-02","1.20e-01","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.03e-07","3.53e-09","1.07e-07","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","Hexafluoroethane","kg/2021 USD, purchaser price","2.31e-08","8.91e-10","2.40e-08","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","HFC-125","kg/2021 USD, purchaser price","2.08e-07","6.53e-08","2.73e-07","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","HFC-134a","kg/2021 USD, purchaser price","5.57e-07","1.67e-07","7.24e-07","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","HFC-143a","kg/2021 USD, purchaser price","7.76e-08","2.44e-08","1.02e-07","334512"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","HFC-23","kg/2021 USD, purchaser price","1.03e-08","1.89e-09","1.22e-08","334512"
