nk Magnetic and Optical Recording Media Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.54e-08","4.00e-09","7.94e-08","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFC-32","kg/2021 USD, purchaser price","4.83e-08","4.04e-08","8.87e-08","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.44e-08","1.02e-09","2.54e-08","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.06e-08","6.74e-08","1.48e-07","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.00e-08","6.69e-08","1.47e-07","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Methane","kg/2021 USD, purchaser price","2.36e-04","9.55e-05","3.32e-04","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.13e-07","1.72e-07","3.85e-07","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.15e-09","2.91e-10","9.44e-09","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFC-143a","kg/2021 USD, purchaser price","2.98e-08","2.49e-08","5.48e-08","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.06e-05","3.90e-06","1.45e-05","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.39e-08","1.94e-09","1.59e-08","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.55e-09","8.11e-11","2.63e-09","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.97e-09","9.46e-11","3.07e-09","334610"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.80e-08","2.00e-09","2.00e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Carbon dioxide","kg/2021 USD, purchaser price","9.47e-02","2.36e-02","1.18e-01","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.54e-08","4.00e-09","7.94e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Hexafluoroethane","kg/2021 USD, purchaser price","2.44e-08","1.02e-09","2.54e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.06e-08","6.74e-08","1.48e-07","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-125","kg/2021 USD, purchaser price","8.00e-08","6.69e-08","1.47e-07","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Methane","kg/2021 USD, purchaser price","2.36e-04","9.55e-05","3.32e-04","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-134a","kg/2021 USD, purchaser price","2.13e-07","1.72e-07","3.85e-07","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.15e-09","2.91e-10","9.44e-09","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-143a","kg/2021 USD, purchaser price","2.98e-08","2.49e-08","5.48e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Nitrous oxide","kg/2021 USD, purchaser price","1.06e-05","3.90e-06","1.45e-05","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-23","kg/2021 USD, purchaser price","1.39e-08","1.94e-09","1.59e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.55e-09","8.11e-11","2.63e-09","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-236fa","kg/2021 USD, purchaser price","5.38e-10","4.50e-10","9.88e-10","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Perfluoropropane","kg/2021 USD, purchaser price","2.97e-09","9.46e-11","3.07e-09","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","HFC-32","kg/2021 USD, purchaser price","4.83e-08","4.04e-08","8.87e-08","334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.80e-08","2.00e-09","2.00e-08","334610"
335110,"Electric Lamp Bulb and Part Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.81e-01","1.05e-01","3.86e-01","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.17e-07","1.48e-08","2.32e-07","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","7.28e-08","3.70e-09","7.65e-08","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.84e-07","2.76e-07","4.60e-07","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.50e-07","7.09e-07","1.26e-06","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.84e-08","1.03e-07","1.71e-07","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-23","kg/2021 USD, purchaser price","8.56e-08","6.35e-09","9.19e-08","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.23e-09","1.86e-09","3.09e-09","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.11e-07","1.67e-07","2.78e-07","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.85e-07","2.78e-07","4.63e-07","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Methane","kg/2021 USD, purchaser price","6.91e-04","3.89e-04","1.08e-03","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.82e-08","1.03e-09","2.93e-08","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.76e-05","1.68e-05","3.44e-05","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.86e-09","2.87e-10","8.15e-09","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.17e-09","3.35e-10","9.50e-09","335110"
335110,"Electric Lamp Bulb and Part Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.28e-08","9.96e-09","9.28e-08","335110"
335121,"Residential Electric Lighting Fixture Manufacturing","Methane","kg/2021 USD, purchaser price","4.29e-04","3.26e-04","7.54e-04","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.33e-07","1.64e-07","3.97e-07","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.37e-08","1.68e-09","4.53e-08","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.23e-09","4.49e-10","6.68e-09","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.55e-09","1.09e-09","2.65e-09","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.31e-07","1.63e-07","3.94e-07","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.12e-05","8.17e-06","1.94e-05","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.40e-07","9.82e-08","2.38e-07","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-134a","kg/2021 USD, purchaser price","6.20e-07","4.17e-07","1.04e-06","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.73e-09","1.25e-10","1.86e-09","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.36e-01","8.27e-02","2.19e-01","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.61e-08","6.06e-08","1.47e-07","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.02e-09","1.46e-10","2.17e-09","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.25e-07","6.92e-09","2.32e-07","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.61e-08","3.67e-09","1.97e-08","335120"
335121,"Residential Electric Lighting Fixture Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.75e-08","3.86e-09","3.13e-08","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.36e-01","8.27e-02","2.19e-01","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.33e-07","1.64e-07","3.97e-07","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.02e-09","1.46e-10","2.17e-09","335120"
335122,"Commercial, Industrial, and 
