Institutional Electric Lighting Fixture Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.25e-07","6.92e-09","2.32e-07","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Methane","kg/2021 USD, purchaser price","4.29e-04","3.26e-04","7.54e-04","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.75e-08","3.86e-09","3.13e-08","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.37e-08","1.68e-09","4.53e-08","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.23e-09","4.49e-10","6.68e-09","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.55e-09","1.09e-09","2.65e-09","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.31e-07","1.63e-07","3.94e-07","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.12e-05","8.17e-06","1.94e-05","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.40e-07","9.82e-08","2.38e-07","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-134a","kg/2021 USD, purchaser price","6.20e-07","4.17e-07","1.04e-06","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.73e-09","1.25e-10","1.86e-09","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.61e-08","3.67e-09","1.97e-08","335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.61e-08","6.06e-08","1.47e-07","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.61e-08","6.06e-08","1.47e-07","335120"
335129,"Other Lighting Equipment Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.25e-07","6.92e-09","2.32e-07","335120"
335129,"Other Lighting Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.36e-01","8.27e-02","2.19e-01","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.61e-08","3.67e-09","1.97e-08","335120"
335129,"Other Lighting Equipment Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.37e-08","1.68e-09","4.53e-08","335120"
335129,"Other Lighting Equipment Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.23e-09","4.49e-10","6.68e-09","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.55e-09","1.09e-09","2.65e-09","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.31e-07","1.63e-07","3.94e-07","335120"
335129,"Other Lighting Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.12e-05","8.17e-06","1.94e-05","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.40e-07","9.82e-08","2.38e-07","335120"
335129,"Other Lighting Equipment Manufacturing","HFC-134a","kg/2021 USD, purchaser price","6.20e-07","4.17e-07","1.04e-06","335120"
335129,"Other Lighting Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.73e-09","1.25e-10","1.86e-09","335120"
335129,"Other Lighting Equipment Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.33e-07","1.64e-07","3.97e-07","335120"
335129,"Other Lighting Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.75e-08","3.86e-09","3.13e-08","335120"
335129,"Other Lighting Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.02e-09","1.46e-10","2.17e-09","335120"
335129,"Other Lighting Equipment Manufacturing","Methane","kg/2021 USD, purchaser price","4.29e-04","3.26e-04","7.54e-04","335120"
335210,"Small Electrical Appliance Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.50e-01","1.14e-01","2.64e-01","335210"
335210,"Small Electrical Appliance Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.30e-08","9.86e-09","1.03e-07","335210"
335210,"Small Electrical Appliance Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.94e-08","2.38e-09","2.18e-08","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.04e-07","2.32e-07","3.36e-07","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.95e-07","5.95e-07","8.91e-07","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.88e-08","8.66e-08","1.25e-07","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.50e-08","4.70e-09","1.97e-08","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","6.99e-10","1.56e-09","2.26e-09","335210"
335210,"Small Electrical Appliance Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.28e-08","1.40e-07","2.03e-07","335210"
335210,"Small Electrical Appliance Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.05e-07","2.34e-07","3.39e-07","335210"
335210,"Small Electrical Appliance Manufacturing","Methane","kg/2021 USD, purchaser price","4.04e-04","4.34e-04","8.38e-04","335210"
335210,"Small Electrical Appliance Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.56e-09","6.31e-10","4.19e-09","335210"
335210,"Small Electrical Appliance Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.98e-05","1.24e-05","3.22e-05","335210"
335210,"Small Electrical Appliance Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.90e-10","1.76e-10","1.17e-09","335210"
335210,"Small Electrical Appliance Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.16e-09","2.05e-10","1.36e-09","335210"
335210,"Small Electrical Appliance Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.43e-08","6.69e-09","3.09e-08","335210"
335220,"Major Household Appliance Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.09e-06","3.56e-07","1.44e-06","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.03e-09","1.66e-10","1.20e-09","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.45e-07","7.37e-09","1.53e-07","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.44e-08","3.18e-09","1.76e-08","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.70e-08","1.84e-09","2.88e-08","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.46e-01","5.38e-02","1.99e-01","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.18e-09","5.11e-10","3.69e-09","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.86e-10","1.42e-10","1.03e-09","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","2.79e-09","9.34e-10","3.72e-09","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.55e-07","5.18e-08","2.07e-07","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.18e-07","1.40e-07","5.58e-07","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.23e-05","8.36e-06","2.07e-05","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Methane","kg/2021 USD, purchaser price","3.81e-04","2.00e-04","5.81e-04","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.51e-07","8.39e-08","3.35e-07","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.22e-08","4.93e-09","2.71e-08","335221,335222,335224,335228"
335220,"Major Household Appliance Manufacturing","HFC-125","kg/2021 USD, purchaser price","4.15e-07","1.39e-07","5.54e-07","335221,335222,335224,335228"
335311,"Power, Distribution, and Specialty Transformer Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.22e-01","2.69e-02","2.49e-01","335311"
335311,"Power, Distribution, and Specialty Transformer Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.51e-08","5.60e-09","1.01e-07","335311"
335311,"Power, Distribution, and Specialty Transformer Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.01e-08","1.44e-09","2.16e-08","335311"
