rrent-Carrying Wiring Device Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.75e-09","3.51e-10","4.10e-09","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.22e-08","3.73e-08","7.96e-08","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.67e-05","6.05e-06","2.27e-05","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.87e-08","2.15e-09","2.09e-08","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.04e-09","9.76e-11","1.14e-09","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.62e-10","6.73e-10","1.43e-09","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.22e-09","1.14e-10","1.33e-09","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.84e-08","6.05e-08","1.29e-07","335930"
335932,"Noncurrent-Carrying Wiring Device Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.59e-08","3.65e-09","4.95e-08","335930"
335991,"Carbon and Graphite Product Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.13e-01","1.97e-02","4.32e-01","335991"
335991,"Carbon and Graphite Product Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","5.77e-08","3.65e-09","6.13e-08","335991"
335991,"Carbon and Graphite Product Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.57e-08","9.38e-10","1.66e-08","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.18e-07","5.80e-08","2.76e-07","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-134a","kg/2021 USD, purchaser price","5.64e-07","1.49e-07","7.12e-07","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.11e-08","2.16e-08","1.03e-07","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.61e-08","1.88e-09","2.80e-08","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.46e-09","3.90e-10","1.85e-09","335991"
335991,"Carbon and Graphite Product Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.31e-07","3.50e-08","1.66e-07","335991"
335991,"Carbon and Graphite Product Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.19e-07","5.84e-08","2.78e-07","335991"
335991,"Carbon and Graphite Product Manufacturing","Methane","kg/2021 USD, purchaser price","1.73e-03","8.40e-05","1.82e-03","335991"
335991,"Carbon and Graphite Product Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.87e-09","2.72e-10","5.14e-09","335991"
335991,"Carbon and Graphite Product Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","4.13e-05","3.29e-06","4.46e-05","335991"
335991,"Carbon and Graphite Product Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.36e-09","7.57e-11","1.43e-09","335991"
335991,"Carbon and Graphite Product Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.58e-09","8.83e-11","1.67e-09","335991"
335991,"Carbon and Graphite Product Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.00e-08","1.52e-09","2.15e-08","335991"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.26e-01","2.69e-02","1.53e-01","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.99e-07","5.33e-09","2.04e-07","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","5.04e-08","1.37e-09","5.18e-08","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.24e-07","8.30e-08","2.07e-07","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.75e-07","2.13e-07","5.88e-07","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.63e-08","3.09e-08","7.72e-08","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.16e-08","2.68e-09","2.43e-08","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","8.34e-10","5.58e-10","1.39e-09","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFC-32","kg/2021 USD, purchaser price","7.50e-08","5.01e-08","1.25e-07","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.25e-07","8.35e-08","2.09e-07","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Methane","kg/2021 USD, purchaser price","3.70e-04","1.14e-04","4.84e-04","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.40e-08","3.98e-10","1.44e-08","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.00e-05","4.82e-06","1.49e-05","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.91e-09","1.11e-10","4.02e-09","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","4.56e-09","1.29e-10","4.69e-09","335999"
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.20e-08","2.32e-09","5.43e-08","335999"
336111,"Automobile Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.87e-01","5.68e-02","2.44e-01","336111"
336111,"Automobile Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.40e-07","7.29e-09","1.47e-07","336111"
336111,"Automobile Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.78e-08","1.82e-09","2.96e-08","336111"
336111,"Automobile Manufacturing","HFC-125","kg/2021 USD, purchaser price","5.72e-07","1.40e-07","7.11e-07","336111"
336111,"Automobile Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.50e-06","3.58e-07","1.85e-06","336111"
336111,"Automobile Manufacturing","HFC-143a","kg/2021 USD, purchaser price","2.13e-07","5.20e-08","2.65e-07","336111"
336111,"Automobile Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.69e-08","3.39e-09","2.03e-08","336111"
336111,"Automobile Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","3.84e-09","9.38e-10","4.78e-09","336111"
336111,"Automobile Manufacturing","HFC-32","kg/2021 USD, purchaser price","3.45e-07","8.43e-08","4.29e-07","336111"
336111,"Automobile Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.76e-07","1.41e-07","7.16e-07","336111"
336111,"Automobile Manufacturing","Methane","kg/2021 USD, purchaser price","4.98e-04","2.18e-04","7.17e-04","336111"
336111,"Automobile Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.36e-09","5.07e-10","4.86e-09","336111"
336111,"Automobile Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.65e-05","8.02e-06","2.46e-05","336111"
336111,"Automobile Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.21e-09","1.41e-10","1.35e-09","336111"
336111,"Automobile Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.41e-09","1.65e-10","1.58e-09","336111"
336111,"Automobile Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.10e-08","4.39e-09","3.54e-08","336111"
336112,"Light Truck and Utility Vehicle Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.58e-01","2.55e-02","2.83e-01","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.25e-07","1.98e-09","2.27e-07","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.54e-08","4.67e-10","4.59e-08","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-125","kg/2021 USD, purchaser price","6.07e-07","5.07e-08","6.58e-07","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.60e-06","1.30e-07","1.73e-06","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-143a","kg/2021 USD, purchaser price","2.26e-07","1.89e-08","2.45e-07","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.64e-08","8.19e-10","2.72e-08","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","4.08e-09","3.41e-10","4.42e-09","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","HFC-32","kg/2021 USD, purchaser price","3.66e-07","3.06e-08","3.97e-07","336112"
