anufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.10e-09","3.33e-11","2.13e-09","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","2.45e-09","3.88e-11","2.49e-09","336112"
336112,"Light Truck and Utility Vehicle Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.65e-08","1.71e-09","4.82e-08","336112"
336120,"Heavy Duty Truck Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.54e-01","1.36e-02","2.68e-01","336120"
336120,"Heavy Duty Truck Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.16e-07","1.19e-09","2.17e-07","336120"
336120,"Heavy Duty Truck Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.19e-08","2.91e-10","4.22e-08","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.08e-06","2.68e-08","1.10e-06","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.81e-06","6.87e-08","2.87e-06","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.02e-07","1.00e-08","4.12e-07","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.38e-08","6.70e-10","2.45e-08","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.24e-09","1.80e-10","7.42e-09","336120"
336120,"Heavy Duty Truck Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.51e-07","1.62e-08","6.67e-07","336120"
336120,"Heavy Duty Truck Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.08e-06","2.70e-08","1.11e-06","336120"
336120,"Heavy Duty Truck Manufacturing","Methane","kg/2021 USD, purchaser price","6.84e-04","5.49e-05","7.39e-04","336120"
336120,"Heavy Duty Truck Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.08e-09","7.91e-11","6.16e-09","336120"
336120,"Heavy Duty Truck Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.34e-05","1.30e-06","2.47e-05","336120"
336120,"Heavy Duty Truck Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.69e-09","2.20e-11","1.71e-09","336120"
336120,"Heavy Duty Truck Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.97e-09","2.57e-11","2.00e-09","336120"
336120,"Heavy Duty Truck Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.53e-08","5.50e-10","4.59e-08","336120"
336211,"Motor Vehicle Body Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.80e-01","3.70e-02","2.17e-01","336211"
336211,"Motor Vehicle Body Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.89e-07","7.19e-09","1.96e-07","336211"
336211,"Motor Vehicle Body Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.47e-08","1.85e-09","3.66e-08","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-125","kg/2021 USD, purchaser price","3.11e-07","1.12e-07","4.24e-07","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-134a","kg/2021 USD, purchaser price","8.22e-07","2.88e-07","1.11e-06","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.16e-07","4.19e-08","1.58e-07","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.63e-08","3.67e-09","2.00e-08","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","2.09e-09","7.55e-10","2.85e-09","336211"
336211,"Motor Vehicle Body Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.88e-07","6.79e-08","2.56e-07","336211"
336211,"Motor Vehicle Body Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.14e-07","1.13e-07","4.27e-07","336211"
336211,"Motor Vehicle Body Manufacturing","Methane","kg/2021 USD, purchaser price","4.87e-04","1.58e-04","6.45e-04","336211"
336211,"Motor Vehicle Body Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.89e-09","5.37e-10","4.42e-09","336211"
336211,"Motor Vehicle Body Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.45e-05","6.46e-06","2.10e-05","336211"
336211,"Motor Vehicle Body Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.08e-09","1.49e-10","1.23e-09","336211"
336211,"Motor Vehicle Body Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.26e-09","1.74e-10","1.44e-09","336211"
336211,"Motor Vehicle Body Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.46e-08","3.03e-09","2.76e-08","336211"
336212,"Truck Trailer Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.99e-01","2.77e-02","2.27e-01","336212"
336212,"Truck Trailer Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.70e-07","6.06e-09","6.76e-07","336212"
336212,"Truck Trailer Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.08e-07","1.56e-09","1.10e-07","336212"
336212,"Truck Trailer Manufacturing","HFC-125","kg/2021 USD, purchaser price","6.33e-07","9.07e-08","7.23e-07","336212"
336212,"Truck Trailer Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.65e-06","2.33e-07","1.88e-06","336212"
336212,"Truck Trailer Manufacturing","HFC-143a","kg/2021 USD, purchaser price","2.36e-07","3.38e-08","2.70e-07","336212"
336212,"Truck Trailer Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.58e-08","3.08e-09","1.89e-08","336212"
336212,"Truck Trailer Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","4.25e-09","6.10e-10","4.86e-09","336212"
336212,"Truck Trailer Manufacturing","HFC-32","kg/2021 USD, purchaser price","3.82e-07","5.48e-08","4.37e-07","336212"
336212,"Truck Trailer Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","6.37e-07","9.13e-08","7.28e-07","336212"
336212,"Truck Trailer Manufacturing","Methane","kg/2021 USD, purchaser price","5.05e-04","1.20e-04","6.26e-04","336212"
336212,"Truck Trailer Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.81e-09","4.57e-10","3.27e-09","336212"
336212,"Truck Trailer Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.36e-05","5.30e-06","1.89e-05","336212"
336212,"Truck Trailer Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.82e-10","1.27e-10","9.09e-10","336212"
336212,"Truck Trailer Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","9.12e-10","1.48e-10","1.06e-09","336212"
336212,"Truck Trailer Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.70e-08","2.48e-09","2.94e-08","336212"
336213,"Motor Home Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.23e-01","5.09e-02","1.74e-01","336213"
336213,"Motor Home Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.15e-07","5.03e-09","2.20e-07","336213"
336213,"Motor Home Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.71e-08","1.21e-09","3.83e-08","336213"
336213,"Motor Home Manufacturing","HFC-125","kg/2021 USD, purchaser price","4.67e-07","1.14e-07","5.81e-07","336213"
336213,"Motor Home Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.21e-06","2.93e-07","1.50e-06","336213"
336213,"Motor Home Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.74e-07","4.26e-08","2.17e-07","336213"
336213,"Motor Home Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.09e-08","1.87e-09","1.28e-08","336213"
336213,"Motor Home Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","3.14e-09","7.68e-10","3.90e-09","336213"
336213,"Motor Home Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.82e-07","6.90e-08","3.51e-07","336213"
336213,"Motor Home Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.70e-07","1.15e-07","5.85e-07","336213"
336213,"Motor Home Manufacturing","Methane","kg/2021 USD, purchaser price","3.55e-04","1.78e-04","5.32e-04","336213"
336213,"Motor Home Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.60e-09","3.19e-10","2.92e-09","336213"
336213,"Motor Home Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.52e-05","6.90e-06","2.21e-05","336213"
336213,"Motor Home Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.23e-10","8.89e-11","8.11e-10","336213"
336213,"Motor Home Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.43e-10","1.04e-10","9.46e-10","336213"
336213,"Motor Home Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.65e-08","4.48e-09","2.10e-08","336213"
336214,"Travel Trailer and Camper Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.87e-01","3.31e-02","2.20e-01","336214"
336214,"Travel Trailer and Camper Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","5.26e-07","3.43e-09","5.30e-07","336214"
336214,"Travel Trailer and Camper Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","8.61e-08","8.31e-10","8.69e-08","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-125","kg/2021 USD, purchaser price","4.56e-07","7.58e-08","5.32e-07","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.19e-06","1.94e-07","1.38e-06","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.70e-07","2.82e-08","1.98e-07","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.65e-08","1.30e-09","1.78e-08","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","3.07e-09","5.09e-10","3.58e-09","336214"
336214,"Travel Trailer and Camper Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.76e-07","4.57e-08","3.21e-07","336214"
336214,"Travel Trailer and Camper Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.59e-07","7.63e-08","5.36e-07","336214"
336214,"Travel Trailer and Camper Manufacturing","Methane","kg/2021 USD, purchaser price","5.80e-04","1.16e-04","6.96e-04","336214"
336214,"Travel Trailer and Camper Manufacturing","Nitrogen trifluoride","kg/2021 
