ake System Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.50e-09","9.96e-11","1.60e-09","3363A0"
336340,"Motor Vehicle Brake System Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.48e-09","6.40e-10","2.12e-09","3363A0"
336340,"Motor Vehicle Brake System Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.75e-09","1.16e-10","1.86e-09","3363A0"
336340,"Motor Vehicle Brake System Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.33e-07","5.75e-08","1.91e-07","3363A0"
336340,"Motor Vehicle Brake System Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.58e-08","3.19e-09","6.90e-08","3363A0"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.21e-01","3.05e-02","3.51e-01","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.97e-07","4.55e-09","4.02e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","6.71e-08","1.15e-09","6.83e-08","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.23e-07","8.11e-08","3.04e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-134a","kg/2021 USD, purchaser price","7.12e-07","2.08e-07","9.20e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-143a","kg/2021 USD, purchaser price","8.32e-08","3.02e-08","1.13e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.89e-08","2.15e-09","3.11e-08","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.50e-09","5.45e-10","2.05e-09","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.35e-07","4.90e-08","1.84e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.25e-07","8.16e-08","3.06e-07","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Methane","kg/2021 USD, purchaser price","8.23e-04","1.20e-04","9.43e-04","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.82e-09","3.25e-10","4.15e-09","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.74e-05","4.73e-06","2.21e-05","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.06e-09","9.04e-11","1.15e-09","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.24e-09","1.05e-10","1.35e-09","336350"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","9.42e-08","2.53e-09","9.68e-08","336350"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.01e-01","2.03e-02","3.21e-01","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.60e-07","3.51e-09","1.64e-07","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.44e-08","8.99e-10","3.53e-08","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.61e-06","5.73e-08","1.66e-06","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.13e-06","1.47e-07","4.28e-06","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","HFC-143a","kg/2021 USD, purchaser price","5.99e-07","2.14e-08","6.20e-07","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.28e-08","1.82e-09","3.46e-08","336360"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.08e-08","3.85e-10","1.12e-08","336360"
